Model,Accuracy_mean,Accuracy_std,BalAcc_mean,BalAcc_std,F1_mean,F1_std,ROC_AUC_mean,ROC_AUC_std,Precision_mean,Precision_std,Recall_mean,Recall_std,FitTime_mean,FitTime_std,ScoreTime_mean,ScoreTime_std
XGBoost,0.8114832535885167,0.030024744180542504,0.7911263637668677,0.033559303672139884,0.7408930975793351,0.04353594903118507,0.8724052092305484,0.02258949944875865,0.7858102070177131,0.045980620930522374,0.702746913580247,0.05728512020765696,4.606171870231629,0.14482790003852258,0.01573781967163086,0.0054993469836603194
ExtraTrees,0.8143540669856459,0.027328165857229837,0.7895083934467413,0.031213123569458445,0.7379121678335003,0.042106083327834595,0.8624968821777204,0.02033238063123319,0.8065908645899522,0.041802893605953476,0.6816512345679013,0.05488224870082598,0.641162919998169,0.12973677537582437,0.20410711765289308,0.10031409282847308
LightGBM,0.8057416267942583,0.03036173278287922,0.7836263637668677,0.033644452227222246,0.7309611033082127,0.04467888345171204,0.8686294591587712,0.019332142481570783,0.7815840064507092,0.045830498424277166,0.687746913580247,0.05345371509924474,5.28566734790802,0.2329288950190109,0.017665719985961913,0.0018639330783739479
HistGradientBoosting,0.804784688995215,0.025197343104474003,0.7831412171619293,0.027978574529227307,0.7304208379529217,0.03651930003921107,0.8652580390467985,0.021722726993895998,0.7794109755483518,0.0395042604958456,0.6891203703703704,0.0507063505299295,5.464028668403626,0.03516364369381317,0.01655745506286621,0.005160580490740116
RandomForest,0.8114832535885167,0.02007289661569668,0.7836845705928797,0.02292647883706165,0.7297115626110903,0.031588911248370925,0.8679539683821418,0.015319124038870344,0.813738816821355,0.037363122945506075,0.6629783950617284,0.043516904137817274,1.0335055828094482,0.32950533154436196,0.3589576244354248,0.3108157450390836
CatBoost,0.8066985645933015,0.0242088241926766,0.7819116288041917,0.02778737081753265,0.7278304119066273,0.037090381245862135,0.8714200671116853,0.019373142537514536,0.794146017916894,0.041728560468315516,0.6741975308641975,0.054739171985443674,12.340435433387757,3.6536162930980813,0.015614652633666992,0.003050026001142026
NuSVC,0.8038277511961722,0.023976549247803666,0.7737972832328452,0.028115183461653547,0.7152297196255777,0.03910461604799951,0.8502397358598909,0.024811981206241535,0.8101610553883475,0.04308676688281763,0.6432098765432099,0.05916228276136758,0.4200637102127075,0.05173925301230419,0.08433632850646973,0.02249413385859338
MLPClassifier,0.7846889952153109,0.022328548644338114,0.7658624255311514,0.028211264083140696,0.708697225816387,0.037247114914859325,0.8415819695664656,0.02516689270728032,0.7373909776671939,0.02705688384605113,0.684104938271605,0.05918562526268318,4.851431822776794,0.6760559926636465,0.008487439155578614,0.006353742245255199
KNeighbors,0.7861244019138756,0.019277804297788612,0.7617305035170829,0.02126474028826715,0.7017263286621327,0.029642047762509005,0.8278124327088717,0.018518515675855118,0.7589288674831106,0.04429592945752608,0.6555709876543209,0.049278356056560814,0.03875138759613037,0.002991909243543934,0.06639163494110108,0.0023254821016313533
SVC,0.7956937799043062,0.02572187570471885,0.7618263933749642,0.027766892455171673,0.697820710587415,0.03924217980840643,0.8461985447171978,0.025754146498773448,0.811486611520381,0.05274542227281832,0.6145987654320988,0.05130461521289257,0.34414305686950686,0.05551564838665974,0.0773616075515747,0.013169839889561576
