Model,Accuracy_mean,Accuracy_std,BalAcc_mean,BalAcc_std,F1_mean,F1_std,ROC_AUC_mean,ROC_AUC_std,Precision_mean,Precision_std,Recall_mean,Recall_std,FitTime_mean,FitTime_std,ScoreTime_mean,ScoreTime_std
CatBoost,0.8133971291866027,0.0213977796889932,0.795531936369509,0.02507944401437955,0.7468307377002479,0.032553693739286925,0.8730005562733275,0.019616009114331943,0.7809536808214166,0.03244253878821381,0.7177777777777778,0.05176567893324108,11.823961472511291,4.178191546267907,0.014772915840148925,0.0035564697080434837
NuSVC,0.8081339712918659,0.021569461957006934,0.7928979597329888,0.021433785937424298,0.7443603436534834,0.026317564197976706,0.8578669160924491,0.0250601584259601,0.7660818149850875,0.04138111812164315,0.7264814814814815,0.043349959097446406,0.7664607524871826,0.10091736298800029,0.08670539855957031,0.023546114120664118
LightGBM,0.807177033492823,0.02512151583923819,0.7882675674705714,0.027515330649781893,0.7377724431603062,0.0352165206921431,0.8668551715475166,0.016654857422553612,0.7743888909757513,0.04303916262257452,0.7064043209876543,0.0499449968638595,7.021492338180542,0.2966891173459939,0.018625664710998534,0.0034119397825542893
RandomForest,0.8143540669856459,0.020892533197847285,0.7890779320987653,0.022954041156486093,0.7374902313350071,0.03096691275680547,0.8665548288113696,0.018516804174246407,0.8098284603776081,0.041641880743210936,0.6791975308641975,0.044763834384132076,1.3834192514419557,0.1460452235824025,0.24100611209869385,0.14585460130461053
HistGradientBoosting,0.8028708133971291,0.023634620163116682,0.7853030343812806,0.027427633240145403,0.7337225779644323,0.03585060863296447,0.8691500233275912,0.015466565432058321,0.764501166325651,0.04207763276707985,0.7089660493827161,0.0605744966350111,5.6885936737060545,0.0609051753500016,0.017943191528320312,0.006563696493601653
SVC,0.8004784688995213,0.02187393196299037,0.7845909372308355,0.0233209406679883,0.7336173334168667,0.02911884299846903,0.8543557995980476,0.02542820322109165,0.7557843805112391,0.038091757424571805,0.7153240740740742,0.048508042255983416,0.6368361711502075,0.1315486031690183,0.10102038383483887,0.036654636988480926
XGBoost,0.8033492822966506,0.026635246249623244,0.7845281321777203,0.027534020376901298,0.7331531526973784,0.035086483962590856,0.8705266203703704,0.0204526178248491,0.7689382694341724,0.04790766625312144,0.7027469135802469,0.04637064217976205,4.563819098472595,0.11892147717244661,0.01483759880065918,0.005831054703836194
ExtraTrees,0.8110047846889952,0.027830826741012994,0.784462500897215,0.030852417577468337,0.7309493402090845,0.04170544291813473,0.8600134806560437,0.0214234969288076,0.8086960423447789,0.05226991889219693,0.6691975308641975,0.05457497479120832,0.7493253469467163,0.19156553699986675,0.18881645202636718,0.12682712329941212
GradientBoosting,0.7875598086124402,0.025438471499045455,0.7745408502009761,0.024248800709226817,0.7222765392982946,0.02943356846078568,0.853578026306345,0.023778627315458854,0.7290483301415627,0.04242859831453912,0.7177469135802469,0.03796331147307882,4.3323619842529295,0.11223522191115924,0.008154773712158203,0.0017026149806281994
MLPClassifier,0.7875598086124402,0.025637679486328703,0.7705342018374964,0.029632596914243668,0.7154804581147262,0.03826176175375118,0.8398417761269021,0.02440310971382339,0.7372323169394481,0.034674516677939325,0.6965432098765432,0.053803643429294445,3.0970760583877563,0.2625495769245769,0.010386133193969726,0.00443184249934991
KNeighbors,0.769377990430622,0.023848900341331743,0.7653465268805627,0.02299971169751096,0.713839298999015,0.02660677727252818,0.8276355916236003,0.019157803726295743,0.6851919396746814,0.040510972894792385,0.747608024691358,0.042996500029668316,0.04762232303619385,0.0024273100957715055,0.030428457260131835,0.010787937376084649
RidgeClassifier,0.7583732057416268,0.03769155437989305,0.7520073840798164,0.03746393220695739,0.6976292970619226,0.04380799424581435,0.8193863049095608,0.030459446972818664,0.6748865620381508,0.0504133486045752,0.7240123456790124,0.051068004409433994,0.07833566665649414,0.004390532371151928,0.010479044914245606,0.0018274202852170808
LDA,0.7583732057416268,0.034225301010964826,0.7517867813307494,0.033706737674991404,0.6971551777195764,0.039987978448683736,0.8144749946167098,0.029383892509883887,0.6754991709781051,0.0474079025864765,0.7227777777777777,0.05069142083213349,0.14713361263275146,0.013519693281125799,0.00849320888519287,0.0043238464564747245
LogisticRegression,0.7550239234449762,0.028778930956656984,0.748810606876256,0.029421728959140192,0.6936545875149303,0.03483842416931369,0.8125248079959805,0.030002034298123006,0.6697000745920072,0.037859657871930914,0.7215432098765432,0.05042218750042889,0.1911468982696533,0.04548837132159376,0.011191749572753906,0.006127341307121065
LinearSVC,0.7497607655502392,0.034358820247551033,0.7438670641329314,0.03449993137621503,0.6880410524787751,0.04031685138344413,0.8048912126758541,0.03131685969875706,0.6629184546279115,0.043211346960242605,0.7178395061728395,0.05594978059672947,17.619693565368653,0.5881241706421967,0.009129166603088379,0.005114451454130817
Bagging,0.7727272727272727,0.04257208234462244,0.7486205318690783,0.04417253780446158,0.6856994414827999,0.057691674688062224,0.8377210513565891,0.028751729518881088,0.7343014788228971,0.069422243544623,0.6442129629629628,0.056211277059244405,0.7525627136230468,0.1749137975922068,0.17022325992584228,0.15770516297154136
DecisionTree,0.7425837320574162,0.019894693626172487,0.7297872703129485,0.02028397467986018,0.6680520640328553,0.02545683687480252,0.7297872703129487,0.02028397467986018,0.6641267632135153,0.031250268744498835,0.6741820987654321,0.04311325973229737,0.20999746322631835,0.015042196930679404,0.0064803361892700195,0.00101791112944316
AdaBoost,0.729665071770335,0.03624662895490756,0.7244304478897502,0.03280407551999137,0.6667570933626317,0.037264233727582995,0.8046177863910422,0.03419714044445521,0.6388302792349358,0.05856105132574937,0.7015740740740741,0.04934925778416863,1.103155779838562,0.042677631616384645,0.019049644470214844,0.004903552784044469
ExtraTree,0.7258373205741625,0.026016860987116877,0.7116757509689923,0.023033109276658206,0.6460550989348477,0.027121320405185972,0.7116757509689923,0.023033109276658196,0.6448914343081539,0.04264178376125793,0.6504166666666666,0.043074759964242045,0.05297152996063233,0.002399740605721697,0.01345202922821045,0.01536667975039809
PassiveAggressive,0.7124401913875598,0.03548061884353906,0.7059071517011197,0.03661549454885497,0.6435777859596606,0.044117584445106314,0.7805320036606374,0.029070331311316863,0.6177705233613553,0.05132165633781337,0.6768518518518519,0.07241322216766459,0.07295870780944824,0.008178132846846459,0.008151006698608399,0.0019269484526424066
Perceptron,0.7172248803827752,0.028747978728803417,0.7062008774763135,0.029708725593210358,0.6412671456683224,0.037359475450525426,0.7634264642549526,0.02771363392926526,0.6274165781715507,0.03846582875244953,0.6581018518518519,0.05275893552183117,0.060833525657653806,0.004938923569282806,0.007905387878417968,0.0032166508206448526
SGDClassifier,0.7023923444976078,0.03148052259387642,0.6954676733419467,0.032186836034467,0.6319716511413145,0.037951747706786144,0.7571286875538329,0.04389701687004129,0.6044785666106265,0.041550628719996104,0.665462962962963,0.06099490482439563,0.131837797164917,0.014289235219533805,0.0073328733444213865,0.0022538045198189816
BernoulliNB,0.6444976076555025,0.043330136965713924,0.6512471289118575,0.04024395651554407,0.5961178335770382,0.040298385798687976,0.7151031572997415,0.04137721040618858,0.5319487810190064,0.047369118950066263,0.6804012345679012,0.0469704572732499,0.05857031345367432,0.005257625885659941,0.010244226455688477,0.0014479849052878803
QDA,0.4789473684210527,0.02927406040677732,0.56381935472294,0.027692967905719287,0.5791292463191299,0.020420422498945427,0.7796456224877979,0.032405386773113394,0.42028100502037313,0.01634851447660708,0.9316358024691358,0.03466070606176632,0.13544492721557616,0.008088235172819586,0.01821324825286865,0.0029609582600083244
GaussianNB,0.43684210526315786,0.014274099416436646,0.5370590412360035,0.011965249499084582,0.5703122994581058,0.008085578343045307,0.5396985806057997,0.012025633924465309,0.4036895182820966,0.007087404687442293,0.9714351851851852,0.015394406988122169,0.06857986450195312,0.0053838286032917865,0.010757637023925782,0.003220629709325398
