Model,Accuracy_mean,Accuracy_std,BalAcc_mean,BalAcc_std,F1_mean,F1_std,ROC_AUC_mean,ROC_AUC_std,Precision_mean,Precision_std,Recall_mean,Recall_std,FitTime_mean,FitTime_std,ScoreTime_mean,ScoreTime_std
LightGBM,0.8110047846889952,0.025443470707406407,0.7935476555770886,0.029600975554095726,0.7442642783598425,0.038508158486427635,0.8667377709589434,0.018172388739998196,0.7758321855783686,0.03996457772804536,0.7176851851851852,0.05865533924686347,11.681861543655396,0.40830203024148787,0.018069696426391602,0.003244125924133363
XGBoost,0.809090909090909,0.026347185370056397,0.7931520510335919,0.03069022120685904,0.7439377289406941,0.03930409317320854,0.8704477103072064,0.023673040413907966,0.7681359591564868,0.03999175195325875,0.7238888888888889,0.06065383293252312,5.704090881347656,0.07922665692060483,0.01624884605407715,0.006811535544942337
CatBoost,0.80622009569378,0.024527203348053767,0.7887270537252369,0.025886044035699555,0.7387225626294275,0.03334670155817514,0.8690439725093311,0.020517496977212647,0.7685259542770686,0.04122285703164219,0.7127314814814815,0.0435139123587494,15.32783477306366,4.460392423343894,0.01571362018585205,0.0030272364772845712
HistGradientBoosting,0.8028708133971291,0.024994625868146384,0.7883479579385587,0.0285541422248422,0.7382961090332674,0.036519481383956325,0.8660208961383864,0.023105982489415627,0.7543295018007823,0.036114695409995956,0.7251697530864197,0.05519321759683978,5.848760557174683,0.043943590401922916,0.017994141578674315,0.0048379765034745285
RandomForest,0.8095693779904305,0.021492670530045315,0.7875165087568188,0.02331634297690776,0.7361799073621832,0.03057520832840882,0.8673567596181453,0.020358618802558084,0.7892144180708064,0.0394132231586042,0.6916512345679012,0.04318393119253441,1.3266778707504272,0.3562837660001998,0.42028777599334716,0.33698621315161653
SVC,0.8004784688995216,0.02152223811938656,0.7859938675351709,0.02359366160394498,0.7356395363247392,0.028783472535725208,0.8527512202124605,0.02584277769307754,0.751126847287646,0.03379871839037997,0.7227932098765433,0.046625773760806184,0.6263832092285156,0.10046801399536893,0.09892499446868896,0.035027534102408414
ExtraTrees,0.8095693779904307,0.027047485710622116,0.7872418936620729,0.03093803677637494,0.7353348760512746,0.04168516131154565,0.8588222258110824,0.021597616106248222,0.7898472996258094,0.044416857979371976,0.6903086419753086,0.05835291728944601,0.8313321828842163,0.1336090346954301,0.1357412576675415,0.04403352518967828
NuSVC,0.7999999999999999,0.020892533197847295,0.7855847823356302,0.023794610794608356,0.7350429667132641,0.029614685379292308,0.8566516383146714,0.024274889357301703,0.749890192746318,0.03158643604527662,0.7227623456790123,0.048945480008822505,0.6032456636428833,0.11365110583880594,0.09944870471954345,0.029805580868806116
MLPClassifier,0.7875598086124401,0.028814264218529423,0.7709814635371806,0.034027569877730604,0.7159404752379571,0.043474572542197,0.8397524135084697,0.024283365103629165,0.7354719000339258,0.03463949568842758,0.6990123456790124,0.06179155719159019,2.9811094999313354,0.2745041383931275,0.008747005462646484,0.005178749790797963
KNeighbors,0.7574162679425835,0.03214022804651432,0.7588593256531725,0.03111551997413057,0.7083843651483347,0.035015421568165256,0.8237060588931955,0.023637746107400073,0.6612824419007156,0.046083529204943116,0.7649691358024692,0.043564522960274916,0.06091828346252441,0.004457299173871779,0.024958491325378418,0.0036784306616496633
GradientBoosting,0.7765550239234449,0.03322977128319935,0.7616324603430951,0.03262093911977078,0.7057784407386177,0.04008319600451355,0.8507407631711169,0.028242836445377867,0.718422473978973,0.051396845172011145,0.6966358024691358,0.052865234095792885,4.970029997825622,0.12213291570493984,0.008312487602233886,0.0020706415036233477
RidgeClassifier,0.7497607655502392,0.026114448955337908,0.7447703802397359,0.02480168547079871,0.6897201348595331,0.028931005049029675,0.817684557134654,0.03199156829281827,0.6612911448801022,0.03803815392858839,0.7227469135802469,0.04014753419184097,0.08522298336029052,0.0069941620415529026,0.01121506690979004,0.002474282756253467
