Model,Accuracy_mean,Accuracy_std,BalAcc_mean,BalAcc_std,F1_mean,F1_std,ROC_AUC_mean,ROC_AUC_std,Precision_mean,Precision_std,Recall_mean,Recall_std,FitTime_mean,FitTime_std,ScoreTime_mean,ScoreTime_std
LightGBM,0.7923444976076556,0.020449531642519444,0.7893524574720068,0.022744682407676922,0.7417160353239292,0.02667603805461939,0.8607314097042778,0.01987267778397219,0.7114280885561987,0.026468580321540855,0.7762037037037036,0.04483813639263672,6.4234511137008665,0.15716841355141342,0.017330145835876463,0.0021309967166197362
ExtraTrees,0.8028708133971291,0.015917033428867158,0.7904369212962963,0.019206060099093692,0.7413981417214498,0.02454999441092334,0.8594990848406546,0.019283172543011526,0.7486464452985035,0.028179455461651202,0.7363425925925926,0.04633076277611986,0.5552473068237305,0.12606336810723826,0.12546868324279786,0.038108226113362204
CatBoost,0.7928229665071771,0.014969952191715886,0.7878865426715475,0.016478741805086433,0.7396481831142443,0.019604693318300826,0.8592833046224518,0.018093393503845815,0.7169233662726617,0.026600683084358607,0.7662345679012346,0.044497746101557586,10.558953499794006,3.138943285055654,0.016388726234436036,0.0035829945696222443
HistGradientBoosting,0.7875598086124402,0.026515601200153616,0.785720239376974,0.031064406466517775,0.7371496238399515,0.036880882286816824,0.8625089272896928,0.023234583842135215,0.703166335930902,0.03146898283841147,0.7774845679012345,0.06613123789863244,5.349847316741943,0.04382567027966989,0.01722738742828369,0.006015194514509472
XGBoost,0.7870813397129186,0.01995214673556107,0.7848421125825438,0.0206975029330999,0.7365779857301669,0.024479383666906697,0.8635798431668101,0.019457950051972855,0.7040603250306436,0.030653848785360118,0.7749228395061729,0.048541862296518294,3.8689897298812865,0.10736488074373093,0.018993210792541505,0.0067719739067996585
RandomForest,0.7947368421052631,0.021451207436803735,0.784341332005455,0.01893387890350503,0.734877910548567,0.022044390318737034,0.8597985527921331,0.01944201859932281,0.7334743729681561,0.04158834040351761,0.7389043209876542,0.03569850999307846,0.8001869916915894,0.2171865425314071,0.2531658887863159,0.1558568404113093
NuSVC,0.7827751196172248,0.023134244803149902,0.7720529626040769,0.0272188587725266,0.7191823189304822,0.03350842774352664,0.8482159327447603,0.027934566123874655,0.7149177543739222,0.028447053564903565,0.725246913580247,0.05372085759495424,0.2365572452545166,0.021356887978884704,0.06265273094177246,0.007478674662486438
SVC,0.7861244019138758,0.022220059976865235,0.7722560920901522,0.024667093298766228,0.7186794247065718,0.031107493698155426,0.8408798539333906,0.02830884822085378,0.728312895543831,0.03502531727650845,0.7116512345679012,0.050976418934527375,0.2249377489089966,0.021424774106812223,0.07543711662292481,0.012771977641037643
MLPClassifier,0.7708133971291865,0.02729556856165425,0.7671749389893769,0.031862672839647145,0.7151013521310261,0.03867760427452214,0.8373103736003445,0.021525451604512965,0.6852422883368263,0.03463338522018828,0.7512345679012346,0.06904150744203628,2.4140225887298583,0.137518121697583,0.00959014892578125,0.004569939877378192
GradientBoosting,0.770334928229665,0.029666786663059445,0.7651966246770027,0.030076469328902497,0.7131981511870051,0.03443499074322347,0.8386598523184036,0.028137094141840048,0.687930201385055,0.03909530939662766,0.7426388888888888,0.049772076679730666,2.843285393714905,0.06859411308161292,0.007538938522338867,0.0010822514426951904
Bagging,0.7789473684210526,0.022191422176620224,0.7648918182960092,0.024354433556969826,0.7098003070212544,0.031280926900597195,0.8369020286032157,0.026744873239988816,0.7174133079203064,0.03263993009509693,0.703966049382716,0.04612238999219379,0.5530335187911988,0.010903207027537252,0.04552912712097168,0.0027531443229781246
RidgeClassifier,0.7526315789473684,0.025918905590417554,0.7513017244473156,0.02337247668461308,0.6986208096928775,0.02686501341709837,0.8097163903244329,0.031969414918584876,0.66004746195737,0.038114644082586996,0.7451543209876543,0.0476498075291397,0.037438249588012694,0.0063405988230640494,0.01004483699798584,0.0030536421292428413
KNeighbors,0.7483253588516747,0.028279630314898246,0.745775081646569,0.03033021994357321,0.6910499131159689,0.03648976491799836,0.811169497380132,0.025002838764933748,0.6564616872439887,0.03982584554429804,0.7340586419753087,0.06816536768854363,0.039545440673828126,0.0033534799824136634,0.03256227970123291,0.0199061658311239
LogisticRegression,0.744976076555024,0.034135998051171235,0.7427804469925351,0.032543879651360096,0.6886202818185121,0.03659839374586152,0.8046419663364915,0.035253029707265994,0.6518559481453006,0.04230945711736568,0.7327932098765432,0.05274920461673668,0.10723888874053955,0.008566979773083728,0.009562516212463379,0.0024511148728369406
LDA,0.7416267942583732,0.03181808188717705,0.7402465546942292,0.03064862875415323,0.6861873840277687,0.03437159112479627,0.8032342359316681,0.03510443041569999,0.6460159990856453,0.03980457652717807,0.7339814814814815,0.048791405803610924,0.10449726581573486,0.013237049447476976,0.008410310745239258,0.0037756168217140014
LinearSVC,0.7377990430622009,0.03212043604510136,0.7373798629055413,0.02842709644353519,0.68354103571209,0.03077481738360382,0.7956705336635085,0.03309386473879289,0.6410934787751483,0.04126516677063787,0.7352006172839506,0.0455675642673435,5.604375743865967,0.28490902517657807,0.011185479164123536,0.004225027365490317
DecisionTree,0.7157894736842105,0.020199221944481743,0.7151672633146712,0.021880113884048497,0.6582550082232358,0.02658539153889342,0.7151672633146712,0.021880113884048497,0.6127760414002921,0.02578411205110998,0.712608024691358,0.04477082390560483,0.1401538372039795,0.007017103645665403,0.00748147964477539,0.003162005078821773
AdaBoost,0.7124401913875599,0.03460961788440711,0.7085504818044789,0.034342242771445354,0.6491296811915254,0.03884102302689365,0.7896070871016366,0.03290782735520489,0.6133627607023266,0.04240475324733596,0.6915740740740741,0.05205620006540238,0.7178966522216796,0.02830451257065379,0.025586533546447753,0.017293124683483714
SGDClassifier,0.6995215311004784,0.051225726438547406,0.7011154401737009,0.04463944601594705,0.6458185816815358,0.04121858568062102,0.763121411139822,0.034867746906421034,0.5960461581668206,0.05425541067025063,0.7078086419753087,0.037280875994011475,0.08683657646179199,0.009378123802363,0.008407211303710938,0.0012711731741782326
PassiveAggressive,0.6985645933014355,0.04338587084126137,0.6958086823499856,0.03960067920718161,0.6356009459645587,0.046349656705936174,0.7478125448607523,0.03686630922911809,0.5987066291671956,0.055010401637663346,0.6840895061728396,0.07618684223041391,0.06150641441345215,0.0035692161887610563,0.008230876922607423,0.0022672304622353948
Perceptron,0.6909090909090909,0.03907984215832032,0.688311351564743,0.029645563336319288,0.6281374025868653,0.026818292057365547,0.7360400068188343,0.038853526067144546,0.5905919911600617,0.048794379583006864,0.6767438271604939,0.04956494209948949,0.04936857223510742,0.0030858349807640884,0.009604406356811524,0.001526940558407423
ExtraTree,0.6818181818181819,0.04129826914266045,0.6822273587783519,0.0392622681955366,0.6237263930048575,0.040471388687239165,0.6822273587783519,0.03926226819553658,0.5741899063920723,0.04538177341761954,0.6840586419753086,0.04221167526141008,0.042702531814575194,0.003746198335616522,0.007509541511535644,0.0023484941415022526
BernoulliNB,0.6425837320574163,0.03665139785300224,0.6511564204708584,0.03439118508231028,0.5969985718361013,0.03513120400833014,0.7175140189850704,0.029805718210430685,0.5289138231886346,0.03810335122833794,0.6879475308641975,0.05161551701499031,0.04917364120483399,0.00399806226367154,0.010162830352783203,0.0021589876884021944
QDA,0.4928229665071771,0.026972144378449376,0.5751202268159632,0.022557466121507528,0.5857070094421528,0.0166032113544722,0.7780369383433821,0.0441645123961894,0.42735662638744676,0.014984415122661262,0.9316358024691359,0.03262176802415834,0.10528361797332764,0.004329017499582851,0.016730189323425293,0.002592224804064542
GaussianNB,0.44497607655502386,0.01626481503538368,0.5446112815819694,0.011842209332916591,0.5751604245399358,0.006809973178070183,0.5488727838788402,0.015336024574253633,0.40772278355091196,0.007531528061983209,0.9764197530864198,0.01353707753871007,0.050467491149902344,0.004341355954038752,0.009998679161071777,0.002775797529519034
