Model,Accuracy_mean,Accuracy_std,BalAcc_mean,BalAcc_std,F1_mean,F1_std,ROC_AUC_mean,ROC_AUC_std,Precision_mean,Precision_std,Recall_mean,Recall_std,FitTime_mean,FitTime_std,ScoreTime_mean,ScoreTime_std
CatBoost,0.809090909090909,0.02766582038501499,0.7920127000789549,0.029674041312978988,0.7427725543639372,0.03724996642133339,0.868417178079242,0.017767410455116324,0.772349661508174,0.045890042031328265,0.7177160493827162,0.05155998429227667,11.796935415267944,3.4444042919306184,0.012245106697082519,0.002439410836646412
HistGradientBoosting,0.8038277511961722,0.019533411026979097,0.7869939482845248,0.021163987754253082,0.7365917187288347,0.027044532279085588,0.8656990651019235,0.013990336669515628,0.7625009921966797,0.03413271813389488,0.7139043209876543,0.03946297752685766,1.067962646484375,0.0514282599965659,0.012540507316589355,0.004184177522876816
XGBoost,0.8014354066985646,0.026711537838029053,0.7829532281797301,0.028114669643649354,0.7311803010063557,0.03567063155737813,0.8672950760838358,0.021014051593329183,0.7641911435648863,0.04409136168853807,0.702716049382716,0.04622635320167125,4.248194146156311,0.12917710733190052,0.020543813705444336,0.01999444332486643
RandomForest,0.8057416267942583,0.0199457712291719,0.7804181695018662,0.02179546725318952,0.7261353817374548,0.02908223059527055,0.864735545865633,0.014032301976119826,0.7945165134480344,0.04141574120252524,0.6704475308641975,0.04136635731324347,1.7714530944824218,0.08768168876897582,0.1801814317703247,0.07281875397816528
LightGBM,0.7995215311004784,0.02433981110371246,0.7792554685256963,0.028040016650088286,0.7257123858347592,0.036665412887217634,0.8667282604794717,0.01955965649597641,0.7653027634998126,0.03510071315985231,0.6914506172839506,0.05048921115468033,4.660156178474426,0.06504749854948483,0.014132308959960937,0.002609745591669367
NuSVC,0.7755980861244018,0.03948455700627324,0.7690035529715762,0.038502696030378813,0.7176913349267453,0.044491372710678274,0.8495346594171691,0.026376856855574338,0.699020439965306,0.05655292525902961,0.7401388888888889,0.052314508802128484,0.1849337100982666,0.017537364807295057,0.0500450611114502,0.006741144471608783
ExtraTrees,0.8033492822966506,0.027757611680292206,0.772635748636233,0.03190595797253224,0.713637762859965,0.04465677482436101,0.8543207184898076,0.01642038753657273,0.8100763498093665,0.04569526934006916,0.6393364197530864,0.05549686590949887,0.5894397735595703,0.14041539632766104,0.10818004608154297,0.02966922291346621
GradientBoosting,0.7712918660287081,0.030244213884870332,0.7617828560149297,0.02795903135901463,0.7082918340289578,0.03262904549863489,0.8438804326370943,0.022788238674173872,0.6983941574006375,0.0477005784802633,0.720246913580247,0.03328597140784392,3.7590564250946046,0.0952526110247699,0.0067377805709838865,0.004292711183502992
SVC,0.7665071770334928,0.03419183973425612,0.7590864780720643,0.03224475856597078,0.7056920122831842,0.035832309596686415,0.8359178061297732,0.03101444430288902,0.6885444333725604,0.048636148145731646,0.7265123456790124,0.04597573058702882,0.16023998260498046,0.017741237603981212,0.058988332748413086,0.007160356673025002
MLPClassifier,0.7736842105263159,0.033685932245399626,0.7603707292563882,0.0381814128389026,0.7041247112341427,0.0477205754153929,0.8288080946741315,0.029665812258198965,0.7072662954417599,0.042461406158839,0.7026697530864199,0.06406900954542549,1.9214303970336915,0.1971492985810653,0.007713866233825683,0.004009750784332264
KNeighbors,0.7454545454545454,0.04020910472512134,0.7500675378624748,0.03595031687573156,0.7004231563883707,0.03871154373669236,0.8195809332830892,0.02712483592560279,0.6440274384610293,0.05400555529668128,0.7699691358024691,0.03261026392017531,0.015242934226989746,0.0016579684722940957,0.01906423568725586,0.010260218027578006
Bagging,0.7837320574162681,0.022076499487079144,0.7580450357091587,0.02305995917198884,0.6967315744364522,0.0314374927652371,0.8306387049598047,0.02027683028966866,0.7582956785344712,0.043603849370275595,0.6467283950617284,0.0453700087702433,0.6461926937103272,0.020166368738136844,0.05477728843688965,0.02727779618590801
RidgeClassifier,0.7133971291866029,0.036955506687071586,0.7165579017728969,0.03264088076187433,0.6627486813161357,0.0339019694168024,0.7823470696956647,0.018832416260544653,0.6087564600271433,0.04592180568245799,0.7301543209876543,0.04104288447590799,0.020734667778015137,0.0019374079338207784,0.009363079071044922,0.0011947132885077455
LDA,0.7124401913875599,0.03364059449639469,0.7153230422767729,0.02979238009432643,0.6609578404253236,0.03211458840802859,0.7804832400229686,0.017627256075925635,0.6077501589523834,0.04297922808672035,0.7276543209876543,0.046083920748221846,0.035476970672607425,0.005873320601421758,0.006492161750793457,0.002442132148001338
LinearSVC,0.7110047846889953,0.03673112388002496,0.7134326101780075,0.0319289012440919,0.6589963399140149,0.03285534780755335,0.778024153028998,0.020522085711019482,0.6067610168502253,0.04587671208083002,0.7238734567901235,0.037401049685631654,0.4182727813720703,0.3174909314687272,0.008099079132080078,0.0031818773408826117
LogisticRegression,0.7100478468899523,0.03631323628901487,0.7117510721719782,0.03354499537220225,0.6563704438078576,0.03627792017707362,0.77991108598909,0.0220962572065697,0.605907190149783,0.04462541954029515,0.718966049382716,0.0486045758448032,0.06023375988006592,0.0042789848118080735,0.008221721649169922,0.0007539132775081024
AdaBoost,0.7119617224880382,0.03267008007418021,0.7112477569623888,0.030131486473637382,0.6541038926193699,0.034368648474261,0.7955326317111686,0.03338969224934017,0.6109488846082002,0.04599239357460665,0.7078395061728395,0.05425146949892946,0.7825116634368896,0.015762972525362805,0.014655566215515137,0.004103251285321607
DecisionTree,0.7191387559808612,0.02871256389709114,0.7055311288759689,0.0324351245214992,0.6384748600824292,0.04150874843930815,0.7055311288759689,0.03243512452149915,0.6319809470823282,0.03572272891135783,0.6466666666666667,0.05743280851669243,0.13615195751190184,0.004425579520355569,0.005865836143493652,0.004001697627289291
ExtraTree,0.7052631578947369,0.037007094130202665,0.6919592709230548,0.03826503452994748,0.6232926268028769,0.04679502425762008,0.6919592709230548,0.0382650345299475,0.6141799651241394,0.04956930268403034,0.6343364197530864,0.05586297782281843,0.016834354400634764,0.0016500903151114613,0.007483005523681641,0.0014256653158471815
SGDClassifier,0.6722488038277512,0.036106001348235314,0.6750290473370658,0.03911359974082646,0.6160169670949551,0.04934122967035001,0.7242642836635085,0.034700349379939266,0.5610383124025584,0.04077557090838144,0.6867283950617284,0.07795217997671493,0.03571553230285644,0.006012502926096081,0.005905556678771973,0.0010578793170974146
QDA,0.5650717703349282,0.03303014515752208,0.6263090143195522,0.029153107192540283,0.6122005506777183,0.023306749391988173,0.7427560651737006,0.045881708994670124,0.4664662055255815,0.02151391122288923,0.8917592592592593,0.03806119980571837,0.02920224666595459,0.003105830593860658,0.00860292911529541,0.001979288159554721
PassiveAggressive,0.6248803827751196,0.03270120926663936,0.631880562733276,0.038020999790580406,0.5731807572428151,0.05114131727271552,0.6811925782371518,0.04949216300978363,0.5102231913931065,0.036689128520383696,0.6617746913580247,0.10410259549638348,0.019586753845214844,0.0016945689316068603,0.009783363342285157,0.0012508222920807885
