Model,Accuracy_mean,Accuracy_std,BalAcc_mean,BalAcc_std,F1_mean,F1_std,ROC_AUC_mean,ROC_AUC_std,Precision_mean,Precision_std,Recall_mean,Recall_std,FitTime_mean,FitTime_std,ScoreTime_mean,ScoreTime_std
LightGBM,0.7856459330143539,0.018434683606762207,0.7831816591300603,0.01680182887571864,0.7349880076116075,0.019556000481837914,0.8565287647143268,0.014492057576866892,0.7023310062056896,0.03008599095241585,0.7724074074074074,0.03138549812881931,4.819738054275513,0.15692393975181468,0.015195512771606445,0.0023690276371765694
XGBoost,0.7851674641148325,0.021687071672606115,0.7823746366279071,0.023906071327020897,0.733442421088959,0.02829531970533859,0.8593396048664944,0.015622967740948441,0.7023384482980353,0.028768701455574322,0.77,0.05255128524264041,3.8456709146499635,0.13324721423751482,0.01613571643829346,0.004917735236760374
ExtraTrees,0.7870813397129186,0.021068333036081185,0.7792998358096468,0.023355345293286357,0.7288882213455335,0.028428431054116753,0.8501982172337066,0.01437329500256694,0.7149866437308688,0.031712258144501626,0.7451851851851852,0.046208753537106635,0.48897228240966795,0.06608117218447258,0.11399741172790527,0.024986192120030296
HistGradientBoosting,0.7779904306220095,0.017500308420217183,0.7767490534381281,0.019397358455635543,0.7274010210765883,0.02311586232844577,0.8581892405971864,0.016218079282436935,0.6897148699021219,0.02365287689106369,0.7711882716049383,0.044414609160737285,0.9868655920028686,0.0216197243514236,0.015738892555236816,0.00366013361903601
RandomForest,0.785645933014354,0.021610698163897064,0.7774228843669251,0.020434415824451557,0.7268938595071599,0.02434556456622174,0.8565352919537755,0.01664641654943311,0.7150641424677934,0.038519052729947635,0.7413888888888888,0.03848154727399688,1.0505917549133301,0.14956731823775882,0.24795134067535402,0.1251285864824522
CatBoost,0.7794258373205742,0.019977628414828367,0.7751583360249785,0.020123692664140286,0.7249771852577812,0.02380505074480064,0.856239816609245,0.01809601245774523,0.6979308483177207,0.029484596030053364,0.7563425925925925,0.04258646963504048,9.527372908592223,2.7890571397234334,0.012846016883850097,0.0021628013067779292
NuSVC,0.7645933014354067,0.03448813504504117,0.7628781761412575,0.034688955812896514,0.7115990949151841,0.039462056954764,0.837417904823428,0.028317349834145897,0.67542156350213,0.04822665457604081,0.7550925925925925,0.05632093563514188,0.07534499168395996,0.012222627130450333,0.035421228408813475,0.006397263916890129
Bagging,0.7741626794258372,0.02589435884223593,0.7615174149440136,0.02550562244333736,0.7063327154408661,0.030650129588770347,0.8267643060938845,0.020281204252043435,0.709629970109177,0.043479533763978374,0.706574074074074,0.05227239601667455,0.40668840408325196,0.021947988042900615,0.039025735855102536,0.006446935583316985
GradientBoosting,0.7583732057416268,0.02661613918385748,0.7568518069910997,0.021733609977445105,0.7053029400053641,0.022711560661210894,0.8348888350559862,0.02523042215327513,0.6676887185189206,0.03960298423308303,0.7500771604938271,0.03264514098573465,2.5584393978118896,0.018604551642514802,0.004653334617614746,0.003972959013327473
MLPClassifier,0.75311004784689,0.0465097585498722,0.7546708566609246,0.04769351038445721,0.7034072086882743,0.05294701366277807,0.8251224698535745,0.032466336878519075,0.655566720585711,0.05319470910890545,0.7612191358024691,0.0675555896642204,1.2755435705184937,0.13226346617500898,0.007866525650024414,0.0015994191639212814
SVC,0.7574162679425838,0.03315313425478434,0.7514759411785816,0.030310109962183023,0.697330368048857,0.03388109869479481,0.8213865112690211,0.034034540738336866,0.674544595228502,0.04958069603995248,0.7252932098765432,0.046609676105255876,0.06914074420928955,0.01157469928389753,0.0370070219039917,0.004858681102227634
KNeighbors,0.7368421052631577,0.04084927743178851,0.7413117059646857,0.038372413698150275,0.6902391769216516,0.04177513437468251,0.8071586993970715,0.03217908209364878,0.6343899097004833,0.05362110614145517,0.7601851851851852,0.05149133273948001,0.012160468101501464,0.0009641756082830891,0.029411625862121583,0.020184094058397876
LogisticRegression,0.7086124401913876,0.035837288633634466,0.7117295838716624,0.0314074990827609,0.6574641759959172,0.03116257997367375,0.7765799508326154,0.02916005824321537,0.6031427095112051,0.041588182549526044,0.725185185185185,0.0386614235145822,0.04199995994567871,0.004112112823842284,0.007733392715454102,0.0010657541304290293
LinearSVC,0.707177033492823,0.03976380744433154,0.7107951119724376,0.03423781542768108,0.6568844988156973,0.034518461459790366,0.7738036534596613,0.029554238532624767,0.6020077004844308,0.047517671758239455,0.7264351851851851,0.04425662678011636,0.2105654239654541,0.17959860285567417,0.006721615791320801,0.0017792850417853077
LDA,0.7038277511961721,0.03446231090435901,0.7090161139821992,0.03033553898266896,0.6553675552988025,0.03194400549798461,0.7720343453919035,0.023071177896614684,0.5963413463102162,0.041824869686920514,0.7314043209876544,0.0522906191138836,0.02336907386779785,0.004030533864171109,0.004998970031738281,0.002855947181567589
RidgeClassifier,0.7009569377990431,0.028730276769779624,0.7050598666738443,0.02482475180089321,0.6503626150721153,0.02575085682277697,0.7751294681309215,0.02561043538720983,0.5935587325400342,0.035372334194222504,0.7227469135802469,0.04845417981139089,0.012100458145141602,0.0014926557685056695,0.005984163284301758,0.001415280408843345
AdaBoost,0.7057416267942583,0.05064894579968236,0.7036529437625609,0.04516908429739917,0.6459362080800571,0.04627032391549352,0.7851241297014069,0.04197631708807757,0.6072100443759492,0.06227503419529703,0.6941820987654321,0.047826785445351294,0.5487315416336059,0.008169583014455483,0.0164963960647583,0.0013931311787963487
DecisionTree,0.6933014354066985,0.028212088708279334,0.6929742230117715,0.0284228341328629,0.63427784259727,0.03206281504660662,0.6929742230117715,0.028422834132862878,0.5867706318151708,0.03245262587094186,0.691604938271605,0.04472997369209246,0.09045710563659667,0.005054615766754936,0.006886410713195801,0.0010618277156343987
QDA,0.5645933014354066,0.046003844025058874,0.6256410377189204,0.034870676435643524,0.6120114225479117,0.02508590544731231,0.7657899081251794,0.03235965378620903,0.4678461639726663,0.031992991233019075,0.8904475308641976,0.052353694213365526,0.021626043319702148,0.002856571334380448,0.008828377723693848,0.0011540954307882486
ExtraTree,0.6660287081339713,0.026668650674422305,0.663581188989377,0.023356431884568853,0.6007130849985437,0.025995492254095098,0.663581188989377,0.02335643188456887,0.558423162885908,0.03951883640419087,0.6529012345679013,0.0401720845982846,0.01623058319091797,0.0010844252986611173,0.007392358779907226,0.001245844430774495
