Model,Accuracy_mean,Accuracy_std,BalAcc_mean,BalAcc_std,F1_mean,F1_std,ROC_AUC_mean,ROC_AUC_std,Precision_mean,Precision_std,Recall_mean,Recall_std,FitTime_mean,FitTime_std,ScoreTime_mean,ScoreTime_std
NuSVC,0.7588516746411484,0.03362168572389502,0.7467993762015068,0.03417496661435545,0.688020747415903,0.043350971715767635,0.8212684227568982,0.037142105237350356,0.6835096737717861,0.053122088545818624,0.6943254456280298,0.04724028886142808,4.939796805381775,0.09103812971912631,0.4697056770324707,0.06441621718651408
SVC,0.7555023923444977,0.031854036790604695,0.7437271600270678,0.03345953660366846,0.6844033817273543,0.044886472712549114,0.8135072027846023,0.03314585081503738,0.6772574895023722,0.05418975508062271,0.6927266280813142,0.042908127157730507,4.4224694013595585,0.3249973542929688,0.5834831714630127,0.22772040047633058
MLPClassifier,0.7526315789473684,0.04858809204091209,0.7375610161682993,0.04665264276608864,0.674699499469345,0.05434613307310983,0.8123692286811259,0.04270922340121503,0.6863128453015415,0.06750577477612088,0.6681942430545935,0.06892807697813706,2.707324981689453,0.37961756987602596,0.015598607063293458,0.00468464047030128
LightGBM,0.7688995215311005,0.04122429099254513,0.7405286206271338,0.041454155538855786,0.6707235792294017,0.05671490196693464,0.8173289913013491,0.03968294784006868,0.7411683735613718,0.06299071648559203,0.6147869827063412,0.06412525977265579,42.47788751125336,0.8881694987767335,0.02580876350402832,0.004425371286353639
XGBoost,0.7665071770334928,0.036841760045884284,0.7380811225106139,0.03897616001043194,0.6673704864571482,0.055204624481743424,0.8171643096891629,0.037034492877070446,0.735546166922611,0.060842982542180055,0.6136800978717073,0.06697087129575413,54.12766282558441,0.3965542911727162,0.027315783500671386,0.00860270488640824
KNeighbors,0.7157894736842105,0.04607014794227957,0.7207131792584878,0.04712119460719158,0.6653856485865505,0.05237820987216873,0.7852350241520653,0.0457315590711008,0.6091747053746052,0.06081884380148912,0.7373766903505323,0.06416605056638053,0.05195436477661133,0.00240340142075687,0.053451371192932126,0.0012007834122932178
GradientBoosting,0.745933014354067,0.02830210836495768,0.7302484922653212,0.030661208434861247,0.664247997198631,0.04295820132986585,0.7953895664707245,0.03516520341922527,0.6742960056518392,0.05817831591334594,0.657978572606168,0.05379277663864508,45.55805270671844,0.341109217309584,0.010573148727416992,0.004131083313618758
CatBoost,0.7583732057416268,0.03802749287899957,0.7330299250325865,0.040737663232068504,0.6620955058540555,0.05433461424390689,0.8109025641976342,0.034862644017588124,0.7142833536563178,0.06092957695603939,0.619615815018532,0.06543404006766416,87.13757417201995,23.926146033273074,0.03209474086761475,0.012065397494922853
LogisticRegression,0.7272727272727273,0.04567088058461355,0.7184914081511841,0.04671660659308559,0.6550968093436907,0.0517129235075677,0.783078529651063,0.03394659336091759,0.6394188506917247,0.05619925840163505,0.6750810352245056,0.06737650284749457,2.432269835472107,0.042773434259857586,0.019350290298461914,0.010233073995372079
RidgeClassifier,0.7114832535885169,0.048588092040912106,0.709031412037038,0.05162896251343196,0.6494634272937786,0.05751042075252487,0.7656704520689809,0.039163446777112906,0.6098951725050207,0.06036414652891157,0.6970773469242042,0.06991465234644613,0.08840436935424804,0.006270589682644898,0.011196279525756836,0.0015630907441064401
HistGradientBoosting,0.7507177033492823,0.0336405944963947,0.723418194555372,0.031167583170035706,0.6494212597808545,0.04058034651519115,0.8072496340487649,0.03894935584343998,0.7070445836684867,0.0443578059523735,0.6025561578459565,0.05172197683442581,15.800842332839967,0.07670173350969405,0.024683451652526854,0.0070243799362317005
RandomForest,0.7574162679425838,0.03480018477697259,0.7201881185523848,0.03807823516002576,0.63735311723853,0.05735487105228107,0.8099454869488618,0.03625557497924168,0.7462015326719373,0.07688235937267306,0.558013521922309,0.05580139156637451,7.062190365791321,1.2447015490700832,1.2088592767715454,1.2287805159281846
LDA,0.6971291866028707,0.041531663955685236,0.6943685632821331,0.044595641077410826,0.6327798088741958,0.05229493129602858,0.7522869841522567,0.04335661242298971,0.5922575644840358,0.05657902138118899,0.6814066908807286,0.06096194302248902,0.2763415098190308,0.016080632717292695,0.013249468803405762,0.006224718990366345
PassiveAggressive,0.6961722488038277,0.04386689805255207,0.6929054355330755,0.04644195495471846,0.628109377396693,0.053545285943077496,0.7450430962095116,0.04949959153822813,0.5958276331865198,0.0654931559017478,0.6711759356536555,0.07723412462493554,0.19842162132263183,0.030278535240976196,0.011075377464294434,0.0037192939882405456
SGDClassifier,0.6956937799043061,0.0442680708372072,0.689139266597422,0.04348011419714156,0.6241815628253821,0.045052218396414774,0.7503613144486323,0.04024682784277197,0.5967026428603008,0.05988805690661595,0.6577798658142665,0.05107652211856359,0.250492525100708,0.037926234994493976,0.010872721672058105,0.0023129521080039505
