Model,Accuracy_mean,Accuracy_std,BalAcc_mean,BalAcc_std,F1_mean,F1_std,ROC_AUC_mean,ROC_AUC_std,Precision_mean,Precision_std,Recall_mean,Recall_std,FitTime_mean,FitTime_std,ScoreTime_mean,ScoreTime_std
NuSVC,0.7813397129186602,0.01901207409274079,0.7800337203857479,0.023343238544398126,0.7300046942884142,0.03342925949481032,0.8457086816214435,0.02743235897063191,0.6918233096690227,0.03600452562025695,0.774883927046897,0.05282690307867076,0.3075087308883667,0.015712049648536498,0.08965926170349121,0.00760967026068893
SVC,0.7717703349282297,0.029927157669854612,0.7663353443675354,0.035685039856496154,0.7127368040111369,0.04765895358689004,0.8356198867529615,0.026616362276124062,0.6858980516247122,0.04236891038380901,0.7436246336201555,0.06598212264174286,0.28390495777130126,0.02123792111228491,0.09594016075134278,0.01231270057959302
XGBoost,0.7679425837320574,0.031273798327157216,0.7640916649487972,0.03290721057935232,0.7116151276878848,0.042095758173073226,0.8334787300483123,0.03149128692536551,0.6793220313040469,0.04898389733205189,0.7486159252991278,0.04694261517476509,20.363646984100342,0.17339214487423613,0.02201242446899414,0.007012966698990096
QDA,0.783732057416268,0.02077042500299804,0.767020175811218,0.0252214244515877,0.7099810021880937,0.034250563277446314,0.8104578826967254,0.03223255174327931,0.7310602561597135,0.03938905907209523,0.6935179648415959,0.05911855400876052,0.11664152145385742,0.007481267092015365,0.014044666290283203,0.002683005681346055
LightGBM,0.7679425837320574,0.03231387494314961,0.763065724331351,0.034910705521922755,0.7099402042569508,0.04546341299574649,0.8336491481545147,0.029811713509782473,0.6809680930447495,0.04956339941872586,0.7435095966629652,0.0571853532049319,16.89217801094055,0.3984497985300853,0.01889357566833496,0.003414630074558576
RandomForest,0.7660287081339712,0.03863798894802665,0.7584456548106433,0.03928997022005832,0.702948023537801,0.05153547360232182,0.8302318918575645,0.02937293518026536,0.6862827601831177,0.06547346784762802,0.7233372744357169,0.054473508742567456,3.3899436473846434,0.030019083641476384,0.10653767585754395,0.0254380547002858
ExtraTrees,0.7665071770334928,0.03500061684043431,0.7572978519530971,0.038614212504769894,0.7014213601337033,0.05199598565536941,0.8366329907606869,0.024561040808131363,0.6872907591644857,0.05576890946152345,0.7186358780541803,0.06545339425011433,0.774310851097107,0.05906873634419736,0.1158715009689331,0.023650774988985945
HistGradientBoosting,0.7578947368421054,0.026801852041594888,0.75561916647364,0.02749414886083554,0.7012546200867183,0.038556492724595416,0.8278655913383517,0.027748331374183893,0.665996496502389,0.053841846639086324,0.743184206900923,0.04178102229664009,6.1315630912780765,0.05128930337273098,0.01905198097229004,0.004926589268305077
CatBoost,0.7593301435406697,0.029239282775958334,0.7551025837302969,0.03125847767267159,0.700820039333072,0.0420639831590786,0.8286200563815583,0.025542027445057947,0.6688292841612782,0.04741276138254045,0.7374826334839675,0.04732911203625866,43.36491665840149,12.553333087791179,0.01788637638092041,0.008730401685279342
MLPClassifier,0.7516746411483253,0.03512032702624751,0.7518622530695664,0.03821619202624648,0.6988520698452476,0.050186372150206195,0.8147324883124746,0.03988516107895131,0.6526979071816845,0.05540152823145776,0.7543478803601484,0.060032846866985505,1.0613555192947388,0.1362489763400879,0.009892034530639648,0.0031865287005909118
