Model,Accuracy_mean,Accuracy_std,BalAcc_mean,BalAcc_std,F1_mean,F1_std,ROC_AUC_mean,ROC_AUC_std,Precision_mean,Precision_std,Recall_mean,Recall_std,FitTime_mean,FitTime_std,ScoreTime_mean,ScoreTime_std
XGBoost,0.8038277511961723,0.01790266692236337,0.7786973494773217,0.022284523851206137,0.7218191757116309,0.03464800849139925,0.8464837716786594,0.025770198782972178,0.7907598186755049,0.05731254440685581,0.667015476647622,0.04758220047973217,22.584525680541994,0.48635606496715755,0.01808803081512451,0.005892440980080092
CatBoost,0.7971291866028708,0.023243938376059554,0.771330574134683,0.023729088532568002,0.7121214388894871,0.03334448977291032,0.8391416832846492,0.02909258174921311,0.7843902267756651,0.05154114385280147,0.6567181976051024,0.058122038560146326,37.3157723903656,12.138210355170548,0.017154955863952638,0.002197176433100021
NuSVC,0.7832535885167464,0.0316618054945392,0.7666115972263771,0.03555340760832295,0.7094855468365212,0.04927142023123176,0.83877153993994,0.035952128329505555,0.7286237704851961,0.05352835933858284,0.6932273197225514,0.05820148231016263,0.6597621440887451,0.09022198272058504,0.09600164890289306,0.033413263119642905
LightGBM,0.7966507177033493,0.024733751864865754,0.7689840298280555,0.029036655573119064,0.7083367742886147,0.04402439557982649,0.845660574414867,0.025326828450050038,0.7856422299497737,0.045701706435274006,0.6482519992075066,0.0627957807093351,19.55826246738434,0.4110286859215191,0.01925194263458252,0.002500782974436228
MLPClassifier,0.7822966507177034,0.025443470707406407,0.7664998580579044,0.03193839002544718,0.708110915868329,0.049432132643450116,0.8284284487485761,0.03354662817335542,0.7284383769912314,0.07106838042900972,0.695064701746501,0.06991763260951038,1.4127156734466553,0.19578153695297187,0.008367156982421875,0.0019179198888089567
HistGradientBoosting,0.7913875598086124,0.023461786983646944,0.7632909941893087,0.02602321985742249,0.7017391077087213,0.03956177757298268,0.8378781029388028,0.021852818481781163,0.7754881980278623,0.03944824369478009,0.6427087778905103,0.05278808132126778,6.749649906158448,0.06893486374826191,0.01885056495666504,0.0068562632899840355
SVC,0.7679425837320575,0.031917856612742435,0.7510621694633329,0.0372270341904955,0.690072830344326,0.05478917744991576,0.8265825172556381,0.032942074353185226,0.7050186837729672,0.06457701513991193,0.6773433599526322,0.05647588397802914,0.6278863191604614,0.12308334712852476,0.123042631149292,0.0650721845291247
RandomForest,0.7942583732057417,0.01496145377934109,0.7580883502649165,0.01883943755827151,0.6894528539563857,0.03280838022929128,0.8366422186377326,0.02421947173707723,0.8183696644003117,0.049564734613557704,0.5987003635721602,0.048264011757163154,3.7881405115127564,1.3416789660749466,1.541777992248535,1.3192458612447602
GradientBoosting,0.7679425837320574,0.024938589746589933,0.7496270663516745,0.024774923539897926,0.6882798478589006,0.03602873013935608,0.8236888521083039,0.0213289784138739,0.711070704250915,0.054936807999222625,0.6694239208132403,0.04242332759429046,21.03735761642456,0.3378086928229723,0.008223867416381836,0.002370540982424312
RidgeClassifier,0.7315789473684211,0.03709291376710871,0.7287542739521166,0.03823230672203594,0.6711652852095735,0.05175275051854483,0.7952975230750864,0.032930591213100484,0.6334880482067974,0.06405018518524849,0.7160950807299781,0.04928523715581569,0.03680267333984375,0.004241105062700358,0.009478473663330078,0.001813092198586721
