Model,Accuracy_mean,Accuracy_std,BalAcc_mean,BalAcc_std,F1_mean,F1_std,ROC_AUC_mean,ROC_AUC_std,Precision_mean,Precision_std,Recall_mean,Recall_std,FitTime_mean,FitTime_std,ScoreTime_mean,ScoreTime_std
XGBoost,0.8023923444976078,0.02210528617225984,0.7808857216876269,0.03205875833008779,0.7250234228078098,0.0505147892875106,0.8452985428525752,0.03301701023582387,0.7724168817447985,0.053432770062706365,0.6871704858998064,0.07150243073851756,24.28094964027405,0.2965642978303487,0.021224212646484376,0.006091359471331014
CatBoost,0.799043062200957,0.020174020160563827,0.7780380685335352,0.026568349593307217,0.7217577983937402,0.04037377180081382,0.8418340611439004,0.027911620669472895,0.7678231495090476,0.04534102183565567,0.6847169463526039,0.06298414828671477,43.780743265151976,12.912020725631535,0.020499110221862793,0.004934587326267956
LightGBM,0.7966507177033493,0.02130843575101659,0.773330371159026,0.03341852052630592,0.7142515268865646,0.053179666757618954,0.844136810120391,0.02898068623561077,0.7684259061554679,0.044275510051324955,0.6723181197880368,0.08205204610386088,18.40041902065277,0.19439571339389192,0.01874086856842041,0.0022580673384949225
NuSVC,0.7837320574162681,0.028243628224789357,0.7690984406730795,0.03428425008214966,0.7129996101341234,0.050546015981444856,0.836975842134769,0.0314465583578109,0.7228528579628865,0.0509551965735818,0.7060454876963351,0.06594409709230037,0.8804609775543213,0.2288870741497534,0.12919297218322753,0.03458510021438796
RandomForest,0.7976076555023923,0.025523324872223,0.7686114696861777,0.0310418958122231,0.707242798180103,0.04819868307613315,0.8369603830101309,0.02458619152256841,0.7909947513023171,0.04654296190003688,0.6419519911441964,0.062462980923493255,5.7258442640304565,0.024058089275323564,0.09890491962432861,0.01917412763876012
MLPClassifier,0.775598086124402,0.026443554328835977,0.7598205662146549,0.02865743631167893,0.7011331777408384,0.0455172775820706,0.824505204612953,0.030449457408553048,0.7171913864540975,0.07146063185269837,0.6904571112866957,0.052275398236340476,1.6981876134872436,0.229318290470265,0.010919713973999023,0.003964658404671114
HistGradientBoosting,0.7832535885167464,0.019409305169475328,0.7614548366336826,0.027038233602373077,0.7002426940367859,0.045176896167582685,0.8369173039521645,0.02850557113044817,0.7434387231000503,0.05677129144513098,0.6661616055090064,0.0645508650353189,6.983964729309082,0.04692775902317922,0.019545316696166992,0.005063765219890506
SVC,0.7717703349282297,0.025523324872222978,0.7566987765985163,0.029166137017348336,0.6985498251820685,0.04299441980253755,0.8291340068447312,0.030571472350532213,0.7055674668647162,0.04380376105251796,0.6932507703471714,0.05414428564498222,0.7679643154144287,0.25699473981903614,0.15688869953155518,0.06160688263757585
ExtraTrees,0.7956937799043062,0.023007450656284935,0.7624745182044507,0.031149478656472163,0.6965892680410981,0.04984469224271465,0.8381777258527878,0.02984039240961906,0.804015488149086,0.042659066245775965,0.6170490384207483,0.06517766370369685,1.23111093044281,0.07579813912819895,0.11758434772491455,0.0719498074024113
GradientBoosting,0.7655502392344499,0.025116452548682014,0.7502208163903381,0.025971495517428604,0.6906400737592998,0.03473625437396917,0.8233384840776091,0.02836254732409733,0.6996039276017665,0.038254200773562244,0.6844018131470395,0.053653759206523786,24.082888007164,0.24449176370389575,0.009852862358093262,0.0036379160582998417
