Model,Accuracy_mean,Accuracy_std,BalAcc_mean,BalAcc_std,F1_mean,F1_std,ROC_AUC_mean,ROC_AUC_std,Precision_mean,Precision_std,Recall_mean,Recall_std,FitTime_mean,FitTime_std,ScoreTime_mean,ScoreTime_std
NuSVC,0.7272727272727273,0.05063638872850893,0.6956569524473581,0.058172488589349126,0.6074976626389379,0.08803296494768002,0.765314103593353,0.04889860227252398,0.6778500952707802,0.10503612482132725,0.5552494942787949,0.09323448046561272,2.2155592918395994,0.5128098067366724,0.445425009727478,0.28614066431831736
MLPClassifier,0.7105263157894737,0.04421344904506894,0.686740028319606,0.04466176122853254,0.6063839911704589,0.06359792342975205,0.739421124916398,0.04925114815537696,0.6405869261254706,0.09429779003057903,0.5836256861173744,0.07686828177554837,5.137623310089111,0.9891096163094345,0.015576887130737304,0.006202117443732794
LogisticRegression,0.692822966507177,0.035791122558656005,0.668452902601288,0.03492112103513822,0.5839206572568594,0.04691056765548772,0.726488566670958,0.04974968321791661,0.6096233707908549,0.062116334060509336,0.5625918369964465,0.04846489070373334,1.6775761365890502,0.30944804655740726,0.020270872116088866,0.011629405060670676
LinearSVC,0.6751196172248803,0.04370423385236991,0.6571020186658398,0.04651154044550587,0.5769753298337542,0.062302877600903285,0.6962228407373805,0.048969885392931435,0.5770414227593681,0.07124031443270358,0.579450828730253,0.06646318128418835,5.153018140792847,0.41481316609659763,0.016222119331359863,0.004383949135016084
RidgeClassifier,0.6832535885167464,0.04176070902469702,0.6606708658604772,0.04312480691114556,0.5762179535232308,0.057388470762602534,0.7113215280394105,0.04513822952993164,0.5931653880167813,0.06869906006581031,0.5624193734270848,0.058386718966859194,0.07284209728240967,0.007643737768952499,0.01711244583129883,0.0045616185105634656
XGBoost,0.7186602870813397,0.04810139648138898,0.677569583850048,0.05191605196149525,0.5727228551362231,0.08331515177560977,0.7424616631192129,0.060869836391244526,0.6848728205992551,0.09082910470068206,0.49626611170481755,0.08756399469544048,51.46745386123657,0.34119727893830687,0.02516465187072754,0.008230082139922604
HistGradientBoosting,0.715311004784689,0.05343497788756285,0.6746465234619976,0.05882218151707728,0.5675529086241815,0.09140589271518047,0.7417773561216633,0.06620224439850338,0.6802803082443059,0.1017968476657515,0.49311079202924313,0.0996953198518989,14.563818335533142,0.09516671165079361,0.024868226051330565,0.00823939498413578
KNeighbors,0.6889952153110048,0.04583766463540643,0.6605241004880991,0.04253877198644204,0.5663126553391409,0.05587516871668258,0.7084402983254905,0.04440104174773672,0.6130376102012092,0.06127479946089547,0.5308547584251183,0.06871714124324782,0.04555559158325195,0.001360325998409103,0.045916628837585446,0.00139368945367605
LDA,0.6645933014354066,0.05848943901393064,0.6467927378169993,0.06130475390768605,0.566034831515672,0.07989701984178639,0.6898912985274303,0.04392860009185659,0.5636132218586967,0.09261346032250628,0.5707187113796353,0.07368750085764803,0.2420370101928711,0.013927018448688773,0.014348602294921875,0.0024413728804841017
LightGBM,0.7095693779904306,0.05270643750862841,0.6696154301416626,0.06062650703402072,0.5619461238444534,0.09518692942640664,0.7427019199188358,0.06172188163679079,0.6637585426566073,0.10354050334401328,0.49228932343323056,0.10170513603901432,43.38434321880341,0.7436913186563244,0.02525649070739746,0.0037798961905839154
