Model,Accuracy_mean,Accuracy_std,BalAcc_mean,BalAcc_std,F1_mean,F1_std,ROC_AUC_mean,ROC_AUC_std,Precision_mean,Precision_std,Recall_mean,Recall_std,FitTime_mean,FitTime_std,ScoreTime_mean,ScoreTime_std
MLPClassifier,0.709090909090909,0.0392487104695937,0.690045043094299,0.04386957111455853,0.6129920329070175,0.06622268383252464,0.7402289505134088,0.04224710534886113,0.6286993417430642,0.08595111887843107,0.6054247070877719,0.08299877815996533,4.6649627685546875,0.5297053091932512,0.0152069091796875,0.0031787581508707654
NuSVC,0.7105263157894737,0.05044765758830848,0.6876182739465392,0.055857112724201075,0.6074181884409653,0.07833857938036169,0.7577967381958101,0.050536027967765004,0.6348300011183788,0.09627833659277889,0.5868106027442908,0.08347926073196597,4.810642743110657,0.49929501301848556,0.5315515995025635,0.31370750811235143
RidgeClassifier,0.6684210526315789,0.05178134964549716,0.660150932728773,0.05365193432489019,0.5901992330500285,0.06647969998983455,0.7011742869167177,0.047697180019816994,0.5628756211108126,0.07673893359564327,0.6231990209742538,0.06606726142374936,0.09074280261993409,0.0046374168984527455,0.013624858856201173,0.0018616072036345143
LogisticRegression,0.6688995215311004,0.03691073924884873,0.6596092582864056,0.03673817937375496,0.5893113598090363,0.04531433333961222,0.719024552537788,0.05095118043539225,0.563701343934006,0.05705527422748605,0.6197112647318727,0.04576122720021501,3.1039675951004027,0.12196757339932637,0.019468855857849122,0.012012663416969362
XGBoost,0.7157894736842105,0.04689103710404907,0.6806793678525046,0.05027497487221667,0.5864150252674091,0.07503270914067334,0.7399837787197536,0.05175432267430782,0.662908786217421,0.08541817859308377,0.527720719823474,0.07471091151439727,53.21331648826599,0.5365888576398706,0.027205276489257812,0.007929714611727432
KNeighbors,0.6483253588516746,0.04203088980256599,0.6490564102473269,0.043255006987775464,0.5856641286238098,0.03914998584710392,0.6943993638862155,0.04463730342592984,0.5360669655835253,0.03652320568915824,0.6489730083022305,0.06307754173324855,0.052643775939941406,0.006582310059340353,0.04990870952606201,0.0020330663899676546
HistGradientBoosting,0.7066985645933015,0.036512329251132215,0.673925098607645,0.0434086175297663,0.5790817191378423,0.06941194358469721,0.7313284446571944,0.05232100446008209,0.6432355950047869,0.08427992106009906,0.530582101517812,0.07471520885812824,15.380178427696228,0.07101806226959323,0.02668492794036865,0.004739257992435796
SVC,0.6727272727272726,0.03631323628901487,0.6571917614065761,0.03647889414312985,0.5786455236045713,0.053339209187803584,0.7127481897919712,0.03951316914740809,0.5747120148927377,0.0751237332469614,0.5877296315401916,0.05573704719984845,5.439364171028137,0.056339595014789585,0.7689730644226074,0.03601548166590368
LightGBM,0.7100478468899523,0.050040110689050586,0.6733283799672504,0.054586488394350645,0.5736408634372686,0.08183288832165153,0.7442368262392028,0.05680326849135594,0.6589154783477971,0.09925513756040262,0.511741790624673,0.083575543458693,44.96046559810638,1.3746092802815355,0.0269134521484375,0.0035405340932770355
Perceptron,0.6406698564593302,0.04541675588549008,0.6380152305305623,0.045979471177038274,0.572849278760869,0.060272123319147136,0.6880523172999566,0.05226674444758908,0.5274739875686038,0.0689939956255388,0.6289376329720939,0.05501901060109819,0.11619462966918945,0.02112036804295192,0.012090206146240234,0.0017610540052541293
LinearSVC,0.6588516746411484,0.039907480587733704,0.6472784555543816,0.04378965497397059,0.5724246844418339,0.05853544522001512,0.690852716910227,0.050303280113981996,0.5515702610747887,0.0644780094199034,0.5979810188905622,0.06873423803094475,7.8294576644897464,0.6799447087323731,0.01745460033416748,0.004692070538066712
GradientBoosting,0.6775119617224881,0.047963706414882235,0.6556661397993031,0.048493135822663964,0.5715912484441197,0.06511128674094462,0.7175996650497866,0.058149012748779344,0.5861146400486061,0.08674844462211,0.5611854102458681,0.0591426874666663,45.13376686573029,0.21874332602761157,0.011820626258850098,0.001797248059187681
SGDClassifier,0.6488038277511963,0.057602038650121645,0.6404292135040672,0.056885980894291824,0.5688895901305766,0.07084607032377935,0.6882501195632036,0.06715356863956554,0.5424296870245757,0.0913636749096218,0.6033452455587816,0.06383578815578927,0.2889854907989502,0.029847183046648157,0.012128829956054688,0.0020808988923495613
PassiveAggressive,0.6454545454545455,0.03935550107349249,0.6384650155973641,0.04279890938148214,0.5686790386634393,0.06317043692412691,0.6803074143300705,0.047470043760416386,0.5331200122264876,0.07079181509138155,0.6119893270331273,0.06444021776012583,0.17359509468078613,0.029889244544840512,0.01044449806213379,0.001711254928617721
LDA,0.644976076555024,0.05346115342549413,0.6366814707743025,0.053736348922019485,0.564783671548518,0.06777404441808979,0.6820915372281414,0.04504468256009206,0.5359312979633433,0.08333583510608482,0.6001871424061892,0.05957531056407627,0.2912058591842651,0.015613850208095912,0.014326167106628419,0.0033137928020207483
CatBoost,0.6990430622009569,0.0511089002611544,0.6632389276276216,0.05763682509282239,0.5629347198626303,0.08968207067354236,0.7296136239290936,0.05985705433262189,0.6335733109208475,0.10282952449755042,0.5096524650650103,0.08813614940865831,87.03240671157837,24.215551405081765,0.030251312255859374,0.010490859379877393
RandomForest,0.7100478468899522,0.04147957124420017,0.6642318376648945,0.04456864196224417,0.5492569950131541,0.07271057043093543,0.7310429065302135,0.059624489643590926,0.682770781321177,0.09591756910081838,0.464025572381797,0.07481453364198194,6.927128148078919,1.930902513767298,1.5759341239929199,1.9183044371845386
AdaBoost,0.605263157894737,0.04450017999458916,0.605551433007216,0.04181718848264813,0.5393481542538978,0.05550497118020216,0.6456471039295781,0.04870631706917785,0.49252287081352425,0.07493602663523735,0.602860986619496,0.05417413557289396,8.55915265083313,0.02746036307521929,0.02233424186706543,0.005805027655264123
DecisionTree,0.617224880382775,0.05432021169354513,0.6024634447171133,0.05633596148356499,0.5170278646443441,0.06890776741628435,0.6024634447171133,0.056335961483565,0.5044308270221846,0.07984888918944212,0.5346873401941674,0.07420462755061795,1.8081841945648194,0.16985607896883523,0.01163337230682373,0.001381146705629916
ExtraTree,0.6143540669856459,0.024522017344539168,0.594375441803313,0.02943739719727402,0.5001752003530283,0.046208422500958454,0.594375441803313,0.029437397197273996,0.49823828274204995,0.05689055368729189,0.5053701400613134,0.054886907134048216,0.06199290752410889,0.0016024058148721128,0.012730813026428223,0.0006200912486745523
ExtraTrees,0.7038277511961721,0.04619421128035411,0.6454317303382755,0.04690518102038656,0.5001517210061908,0.08195705413500734,0.7342084733933287,0.05910237690909212,0.7106073994182813,0.10536332849351049,0.3892036459224627,0.07618898084236142,1.6603383064270019,0.20466267026577126,0.23566277027130128,0.19589859639747195
Bagging,0.6564593301435406,0.047676464157022966,0.612425479806901,0.05480776857689358,0.4822111284842582,0.08854598963385668,0.667246540514553,0.06457550656051801,0.5718268410143473,0.10684003269475092,0.4215858627974224,0.08954399155311812,8.32523250579834,0.11206656326073582,0.05308265686035156,0.02679330698886526
BernoulliNB,0.5555023923444976,0.0337914837689444,0.5438098277799952,0.03468580130450224,0.4615245865961398,0.05516780102441638,0.5559214782834626,0.04340139788739819,0.43189071962405495,0.06444154306593167,0.4971521310993359,0.04563495234595852,0.08663084506988525,0.004523147374992689,0.018278098106384276,0.0023705730802190883
GaussianNB,0.5784688995215311,0.03071573243804225,0.5370720620922828,0.03399424914260983,0.396707102228512,0.058874682439498546,0.5688872378794703,0.04814884806610416,0.442133876304584,0.08043915944611911,0.3620547939737241,0.04892115984013744,0.07818655967712403,0.0023305475791015693,0.02079000473022461,0.0007780526841609078
QDA,0.615311004784689,0.03768817987302565,0.5,0.0,0.0,0.0,0.633172590701302,0.0439455171701318,0.0,0.0,0.0,0.0,0.7321589231491089,0.04114148733639107,0.028417229652404785,0.006607523483785451
