Model,Accuracy_mean,Accuracy_std,BalAcc_mean,BalAcc_std,F1_mean,F1_std,ROC_AUC_mean,ROC_AUC_std,Precision_mean,Precision_std,Recall_mean,Recall_std,FitTime_mean,FitTime_std,ScoreTime_mean,ScoreTime_std
NuSVC,0.7712918660287081,0.041943044525873045,0.7462773266911327,0.04287090577586144,0.6808149052782355,0.056026835658497864,0.8193118258566686,0.03410201009299443,0.7323427913223359,0.044881299933573954,0.6380987964559276,0.07152194697404571,1.8341472625732422,0.5226893903121178,0.4533322811126709,0.29082334661011455
KNeighbors,0.7555023923444976,0.030632806443214023,0.7378704768604665,0.031743518814925355,0.6734876782496564,0.043205002127753266,0.8046263413563157,0.034264126436081455,0.6919995919004361,0.061787515070404114,0.6587458720812209,0.0475414364475719,0.043633031845092776,0.003992413358524064,0.04406874179840088,0.0016765397910636075
MLPClassifier,0.7330143540669857,0.031399616465262424,0.7162820373260869,0.03036728016259806,0.6481524978777189,0.03883993672629139,0.7970847171399438,0.046039929566101825,0.6572966515137331,0.05431427749353831,0.6416220531566018,0.04258264892350748,3.700879979133606,0.30783589690132157,0.015377306938171386,0.0034123665599554
XGBoost,0.7602870813397129,0.028659359594620223,0.725024700848776,0.027153211755609117,0.6449214728659376,0.039712503171786005,0.8109170027157981,0.041706997798430435,0.748888232499303,0.05125811057914821,0.5687561707377529,0.0500586724445579,51.618267917633055,0.3400757552941573,0.026645183563232422,0.005735560930503996
SVC,0.7559808612440192,0.028351497343909387,0.7187846726437953,0.02477667145062757,0.6351374862528096,0.03573287546786417,0.8125199773234225,0.03236152982698941,0.7471692428362234,0.04585806458299031,0.5540303810986021,0.043019870274877296,1.6776960611343383,0.4583945331407114,0.4903994560241699,0.29609081820271815
LightGBM,0.7497607655502393,0.031257526838892824,0.7131494109788142,0.03233490839037434,0.6284115406874914,0.05042441300866009,0.8091561597941643,0.03997562047925804,0.7304143170898397,0.05675778238533144,0.5539373524657516,0.059790730219393406,41.49074840545654,0.9219009349198126,0.024061417579650878,0.004220646746619393
HistGradientBoosting,0.7478468899521531,0.03383661934173722,0.7101291133999647,0.03390796537425081,0.6251706805795575,0.05018319712773842,0.8012642556758328,0.038614534475518006,0.7273232292330352,0.06480120446092742,0.5490262815723718,0.047222355382033024,15.493580436706543,0.040781780329662155,0.024309587478637696,0.0068834118016128905
CatBoost,0.7392344497607655,0.035394483287355887,0.6974878335487282,0.03610235999930847,0.6021999472487931,0.056685559991847004,0.79629028021463,0.03994052285808753,0.7240201273963852,0.05974383775843973,0.5164002580830177,0.05677104517318649,86.2603010892868,23.560556189797403,0.028149676322937012,0.011202522579501165
GaussianNB,0.6904306220095694,0.026976859376191625,0.6738572429919291,0.023361187606875798,0.6003497564511171,0.02938622105907815,0.7344291474757119,0.034183392860175216,0.5955181161639127,0.0369828770376426,0.6064554364394662,0.03431435755439742,0.05957179069519043,0.0013314141140547886,0.017496824264526367,0.0025372500159635447
Perceptron,0.675598086124402,0.0356486981076836,0.664632378988834,0.03288717350873819,0.5926638640512885,0.03886388120864769,0.7134837749158761,0.02954094499835154,0.574748921186888,0.05489620270562052,0.6156168865022018,0.0484107032448054,0.09373993873596191,0.011744908836763941,0.010913515090942382,0.0031674030602267854
