Model,Accuracy_mean,Accuracy_std,BalAcc_mean,BalAcc_std,F1_mean,F1_std,ROC_AUC_mean,ROC_AUC_std,Precision_mean,Precision_std,Recall_mean,Recall_std,FitTime_mean,FitTime_std,ScoreTime_mean,ScoreTime_std
SVC,0.7708133971291866,0.03916111973490685,0.7545678115143132,0.04017809907274361,0.6953458979971734,0.04879570440233625,0.8152183113925755,0.033302737701649855,0.7104087553105194,0.04958305810792371,0.6830907897504714,0.06247929943440382,3.1973001956939697,0.7203103337799678,0.6434139251708985,0.32479833848926165
NuSVC,0.7688995215311005,0.0353801069734861,0.7522237400036362,0.03764095742262302,0.6921024778292812,0.05010688810097999,0.8202873530502168,0.03206573827134387,0.7084557462649452,0.05618751528535223,0.6796843893531743,0.0658311674547978,3.3940555572509767,0.9078431301775418,0.6380096435546875,0.41474639408966096
KNeighbors,0.7186602870813397,0.025398442408158705,0.7217871647642425,0.02771407014839709,0.6654353339833582,0.039208936544017414,0.7988991531820899,0.034353649823595254,0.61214780452633,0.05284813654269117,0.7321019166231209,0.04521895580023791,0.05240786075592041,0.003305408961414263,0.04691340923309326,0.0045017590290033155
MLPClassifier,0.7358851674641148,0.0333634624943997,0.7189900367159332,0.03341947139880641,0.6521920623385606,0.04385329506994178,0.7965415296679395,0.046303946328499566,0.6598066168138781,0.05441197660272859,0.6467052701243372,0.04844887732963925,2.190998101234436,0.15945896725389017,0.01441497802734375,0.004895371671958187
XGBoost,0.754066985645933,0.027734692337204686,0.7213592000663459,0.026794538932774885,0.6434805944053126,0.039864717866347564,0.8132718999615749,0.041787706626993694,0.7250678805841392,0.05118840363265609,0.5797235727917799,0.04310376192423073,53.69195835590362,0.3336624166272967,0.025823140144348146,0.006479002679439536
LightGBM,0.7545454545454546,0.03685901694881477,0.7203956495991781,0.03723951376596943,0.6412448866595843,0.05515426497562321,0.8127294703968714,0.04230395514639702,0.7307858016611596,0.06782907214534989,0.5733085207252788,0.058341678436224564,45.931508135795596,1.333097998912152,0.026581645011901855,0.004837935780857118
HistGradientBoosting,0.7435406698564593,0.03822431178040252,0.7117824520401423,0.04033253922283019,0.6319398202029797,0.058123235456465513,0.7937539318353061,0.04461936945828627,0.7019103856810646,0.06428998865640638,0.5755305738406087,0.058442232024227554,16.107905077934266,0.07952405585998783,0.02268671989440918,0.00687959233105314
GradientBoosting,0.7291866028708134,0.038884082826592094,0.7064488729871801,0.03761462626864995,0.631873857694161,0.046861830408283886,0.7770062824673376,0.05297156065475385,0.6617270044607524,0.05609093473947859,0.6060119903736919,0.04847551251011253,45.09917483329773,0.19204612288822842,0.011296820640563966,0.001540239532280318
CatBoost,0.7454545454545455,0.03180208888195093,0.7125105122401969,0.0338239664181555,0.630496277268195,0.051621530089524685,0.8012445234572774,0.03852868635849929,0.7097566259771364,0.051401393803884095,0.5688892227984631,0.0594353117603615,86.38640048503876,24.148047195605166,0.033161354064941403,0.013184649624293334
RandomForest,0.7492822966507177,0.026706775998640478,0.7045166327750927,0.02295792745125918,0.6082475051745173,0.03341653690440904,0.8079877010236075,0.030773165879087877,0.7618500545863874,0.05197410661473712,0.5074977139816259,0.036332956097039945,6.363753700256348,2.046117202149957,1.646513867378235,2.015750998936676
RidgeClassifier,0.676555023923445,0.02764282493562143,0.6698337285079553,0.027327371201044656,0.6025886430969127,0.038569443148337976,0.7150393440088253,0.0285805755304098,0.5710770966000778,0.05164143921500805,0.6406521154193245,0.042558006793605996,0.09921023845672608,0.005339293221097653,0.012900900840759278,0.002059467696878952
LogisticRegression,0.6827751196172249,0.04448874623797841,0.6720247944178741,0.045175807993098005,0.6009653614257431,0.055856048483604835,0.7271464953206717,0.03982946202591441,0.5819640209212478,0.06228566436814747,0.6241026080548526,0.0626322408747816,1.5015143871307373,0.07537546324525304,0.018999910354614256,0.011907222393627032
LDA,0.670334928229665,0.02812178089427903,0.6629144843965605,0.026527687736252747,0.594751930593832,0.03645697203275185,0.7110980136314369,0.02949243247398538,0.5640299035769589,0.05002301192302975,0.631698350316552,0.03919468843228067,0.27404839992523194,0.014252394155882708,0.014372658729553223,0.0029104186342727395
GaussianNB,0.6827751196172249,0.022560878334618173,0.6666337859579314,0.0223847432405625,0.5907253865229337,0.03349164589942869,0.731492587297069,0.032226028065255985,0.5853258195868042,0.04643682804371532,0.5980438373022345,0.03565893316262171,0.07746508121490478,0.0039035952464371356,0.018039941787719727,0.001155409184027273
SGDClassifier,0.675598086124402,0.04194304452587303,0.6638762250746404,0.043004747282608655,0.5902307779722061,0.04939739737777203,0.7185824876452054,0.03182103589862393,0.5742582867243528,0.05357367182649061,0.6112458058599911,0.06902953938026472,0.20641026496887208,0.04686830717186568,0.011178135871887207,0.002615351010551208
PassiveAggressive,0.6645933014354067,0.02857046558521166,0.6566952263276796,0.028071010396770454,0.5867428898668947,0.03483279860018359,0.7151722592541045,0.030262146270646367,0.557728979154579,0.048701017427878086,0.6214004862355141,0.03602683261606501,0.18828094005584717,0.025703787111733014,0.011129999160766601,0.0015914630678411977
Perceptron,0.6602870813397128,0.029147794070968194,0.6546461208373733,0.029124487870600006,0.5835908606913798,0.034178386701589826,0.7178011537362013,0.03058183654337314,0.5532270333059309,0.046478314672809676,0.6226848285780278,0.05442706158065196,0.11296317577362061,0.012240574282448556,0.01235215663909912,0.0015680054513287787
AdaBoost,0.6569377990430622,0.03494606755770106,0.6526134281550138,0.039553013228316815,0.5834101604339931,0.055092004223132464,0.7121875379724134,0.03911577791733025,0.5464821193499131,0.0603376809494623,0.6301843392447137,0.0713980975610095,8.646706461906433,0.028885295149864283,0.0242218017578125,0.004170022244476145
BernoulliNB,0.6540669856459329,0.024402435077983425,0.6459783964765698,0.025012650420486695,0.574758036077214,0.03889392694806173,0.7117260557222553,0.02816203485734883,0.5447435118450384,0.04967239383439431,0.6116397160007041,0.04940707664559863,0.08167572021484375,0.00917420897762336,0.016085386276245117,0.002793104019674744
LinearSVC,0.6564593301435406,0.02904288265413728,0.642719309690459,0.030635148312672295,0.5642750828456806,0.04396553357046659,0.6917872932472563,0.03218164818681549,0.5509816895939521,0.06257653174015773,0.5808503106576535,0.03713223999424955,16.25609929561615,3.225883672856815,0.01870737075805664,0.005156993755985862
ExtraTrees,0.738755980861244,0.033847893830640685,0.682032907183937,0.0258981698220499,0.5603337654718588,0.042485872058876155,0.809623820330582,0.02987959246347748,0.7975183503881255,0.072084339311072,0.4339196565340687,0.04096745601650775,1.6563517570495605,0.0657863313091303,0.14515368938446044,0.058593330101693424
Bagging,0.6966507177033494,0.03246701282296515,0.6536796658741323,0.036821731277700026,0.541334332051552,0.06044786164318186,0.7343492906315966,0.040208828456671716,0.6446044839291571,0.08303613147034618,0.46878044418771925,0.05633551353847388,7.807655382156372,0.10901047753521165,0.040757369995117185,0.008072765588583481
DecisionTree,0.6387559808612441,0.03270509833239213,0.6168545099460381,0.030983460703615226,0.5263855151799304,0.04400222393728183,0.6168545099460381,0.030983460703615223,0.5309673629107042,0.060472413733629174,0.5238202131973041,0.03852054531277738,1.6836538076400758,0.12142808306433085,0.010722041130065918,0.002877104355895005
ExtraTree,0.6062200956937799,0.035737779905098285,0.5879016933847095,0.035982603282002215,0.49648499904851134,0.043871895781759575,0.5879016933847097,0.035982603282002215,0.4877056539222573,0.04310965241318553,0.5077869207664917,0.05659412106177798,0.06196880340576172,0.004729766899933645,0.011594748497009278,0.0017126940951433048
QDA,0.615311004784689,0.03768817987302565,0.5,0.0,0.0,0.0,0.5945317626796267,0.032563268889837314,0.0,0.0,0.0,0.0,0.7004815340042114,0.04614123459724052,0.025991034507751466,0.008459197375193893
