Model,Accuracy_mean,Accuracy_std,BalAcc_mean,BalAcc_std,F1_mean,F1_std,ROC_AUC_mean,ROC_AUC_std,Precision_mean,Precision_std,Recall_mean,Recall_std,FitTime_mean,FitTime_std,ScoreTime_mean,ScoreTime_std
NuSVC,0.7741626794258373,0.035290122324566076,0.7571677498008015,0.03671939522274397,0.6983962893202705,0.048377007449864444,0.8190070396634723,0.03465024892936306,0.7170958595481259,0.05469352965824053,0.6834855129898891,0.062118835780406924,3.623562955856323,0.7613119289109884,0.6050181150436401,0.3467705198818556
SVC,0.7665071770334928,0.0344881350450412,0.7493252131970904,0.03470153743450979,0.6888332928683919,0.04559282530153313,0.8150367982066575,0.034095464502065714,0.705582225623489,0.05377493513716445,0.6746746963164488,0.051249670163235825,4.439630603790283,0.13761913564279135,0.5643664598464966,0.1100695029191642
KNeighbors,0.6851674641148325,0.03732193729704307,0.7099686325257347,0.03392291897683358,0.6638421795357972,0.04900387796561865,0.7966140869640277,0.04023223088775969,0.5636354930306868,0.062119624917971704,0.8135737804848933,0.05648986455745435,0.076969575881958,0.011718302667636061,0.04874799251556396,0.005193625986207451
MLPClassifier,0.7435406698564593,0.030445397126609288,0.7276820639140709,0.0335336506688618,0.6623152348529432,0.045601464049672316,0.798763558190893,0.04499710408255525,0.6689243214583399,0.050743015649375195,0.6584475357538235,0.06016555755793603,2.097686505317688,0.19703037688985722,0.015087103843688965,0.006659774733087442
HistGradientBoosting,0.7583732057416268,0.03452130912585862,0.7325582843965396,0.03782646444910313,0.6620194318059741,0.05510794020952491,0.8016473286248444,0.03760285252488714,0.7132391180312607,0.0570712350246225,0.6199173965731899,0.06545030015940402,16.122671580314638,0.07371685866791121,0.023343396186828614,0.007946043216216475
XGBoost,0.7516746411483254,0.03540885376431315,0.7255969396404456,0.034405739925991434,0.6543475233325557,0.04702607631904816,0.8123719990810013,0.04433555740597517,0.7034789669086778,0.056586067802011926,0.6133838574736468,0.05110512513835998,54.45534522533417,0.8503255872796666,0.022914910316467287,0.008132293997416717
LightGBM,0.7521531100478469,0.0389886101195471,0.7248930810071031,0.041677350732317445,0.6514493189546607,0.05964023152936995,0.8066394397945459,0.04575392085706762,0.7078105550269529,0.07439973554727071,0.6057963001022884,0.06205187738913459,42.90085277557373,0.6418993678550906,0.02302379608154297,0.0042099504455477025
CatBoost,0.7464114832535885,0.03699334451273749,0.7197405899166822,0.03494528269491341,0.645606379135962,0.04690069200074174,0.7982858496801265,0.04344339042232574,0.6973871199420106,0.04125506582688847,0.6034372385342168,0.06170602232639773,86.69096961021424,23.71912207551735,0.02968120574951172,0.013483390884809234
GradientBoosting,0.7220095693779905,0.03633074423867924,0.7062530378650937,0.033374169390398355,0.638735152436087,0.042521864072014914,0.7715404783022263,0.0394604099716196,0.6391295200896979,0.057023311380932286,0.6402373823764655,0.04087376511298266,49.50925765037537,0.45166931633704255,0.010917139053344727,0.004151280350222633
RandomForest,0.7550239234449762,0.034414300374510196,0.7190464567142486,0.03385767912741519,0.6383384042098391,0.04866347941665819,0.8110834222489322,0.034396764328492514,0.7359879672921187,0.06140136466226271,0.5642771871333003,0.04450453785338085,7.5731812715530396,0.9615651189012705,1.2644042253494263,0.930781585106567
ExtraTrees,0.75311004784689,0.029854823494220337,0.7105358837411946,0.026322171136214004,0.6194959907020685,0.03943276875881269,0.8108592650202876,0.03109924999460829,0.7591555769506296,0.05050955765903162,0.524445207596316,0.041491557911713786,1.7029695510864258,0.08622593121050148,0.16030821800231934,0.07548514390209875
GaussianNB,0.6559808612440192,0.033866676304662946,0.6611426332807795,0.03478411804914853,0.6021808776685355,0.03591957178220099,0.7076452765282182,0.03598907516205736,0.5430759778477519,0.04545904316991666,0.6800676111342374,0.05301895864241712,0.09801554679870605,0.008932347621653866,0.01900820732116699,0.0018403197781479068
LogisticRegression,0.6818181818181819,0.03659583382961327,0.6709357781709031,0.03815942128916776,0.5998878466726058,0.0493208186122881,0.7270276389772985,0.039355309821554274,0.5799209905005326,0.05459187059876287,0.6235942218257428,0.05674903528631337,1.5607011795043946,0.03866931671012341,0.01980271339416504,0.00933485248120809
RidgeClassifier,0.6741626794258373,0.03318381030507119,0.6667119466878386,0.03253274097266373,0.5989046152269651,0.043905282349454455,0.7176738214211664,0.029288801206919388,0.5686651806786431,0.056649032549208445,0.6352338021721549,0.044603252645231316,0.1160696029663086,0.005284494096106467,0.014250469207763673,0.001705578541321787
AdaBoost,0.6698564593301436,0.04219699060709076,0.6646820866984773,0.04201784037404106,0.5983347169041373,0.05050682889917304,0.714814995270503,0.03922810116543445,0.5628884350502955,0.059570186550709066,0.6421618864836864,0.061375230459312737,9.41586892604828,0.07223162145529485,0.020612692832946776,0.004576472183470382
