Model,Accuracy_mean,Accuracy_std,BalAcc_mean,BalAcc_std,F1_mean,F1_std,ROC_AUC_mean,ROC_AUC_std,Precision_mean,Precision_std,Recall_mean,Recall_std,FitTime_mean,FitTime_std,ScoreTime_mean,ScoreTime_std
NuSVC,0.755023923444976,0.03172200291024388,0.7522391862304597,0.03611764574087088,0.6983027576742618,0.04361703201579123,0.8160688584955962,0.02955765830664703,0.660757181898932,0.03690695818256034,0.742663309862326,0.06563475220043759,0.8651923418045044,0.12196254760198524,0.35450809001922606,0.09334608809136884
SVC,0.7583732057416268,0.028641602864542214,0.7508174513558076,0.03181295014885051,0.6943959997277359,0.03883831732874665,0.8098344991538504,0.03184131733951807,0.6744842284722742,0.03909272100766907,0.71845784288806,0.060638855178250496,0.7818660497665405,0.14967692454779677,0.3471815586090088,0.12308120280368233
LightGBM,0.7454545454545454,0.03536212836214502,0.7410158553376621,0.03982441433122311,0.684840875758241,0.04865057454607997,0.8061796109824048,0.038165394790605926,0.6511630089083862,0.04616559072410273,0.7239996393403333,0.06407482504522972,41.95475070476532,0.8238951899083957,0.025449275970458984,0.003707197254159315
XGBoost,0.7435406698564593,0.03659235827674638,0.7386757757192204,0.040675720924715046,0.6820946983548477,0.05281274903099155,0.8066203941320472,0.04454677037524903,0.6487916847641144,0.053035424051351615,0.7206743987553573,0.06346439810701793,45.626337146759035,0.34867156093898954,0.025826168060302735,0.005980318483228057
ExtraTrees,0.755023923444976,0.02869040742809423,0.7414749517570449,0.0311587768405288,0.680706502920537,0.041659063297427086,0.8102965528350483,0.022695124277586538,0.6803692368773568,0.04411762268903595,0.6831802366753351,0.0558224881774872,0.9931931257247925,0.09112829300799181,0.158737850189209,0.06505846557915212
CatBoost,0.737799043062201,0.039763807444331514,0.7326238581425535,0.04148152086563775,0.6749256053640014,0.048837765415251096,0.7990423260643443,0.040221350623547196,0.6444704967961682,0.0558813049476343,0.7107997466026619,0.057714719249260873,85.73676142692565,23.747986491186072,0.030077409744262696,0.012888401159172365
KNeighbors,0.7186602870813397,0.039699785816196646,0.7231335693780282,0.04128055869932122,0.6683616156761726,0.05063561358083286,0.7910095997264642,0.038940429514507456,0.6109264778278137,0.06003008082237828,0.7406919401664204,0.054906347439413146,0.047812271118164065,0.002128113860867797,0.03799424171447754,0.0008713146228161401
RandomForest,0.7401913875598086,0.0191454002289284,0.7285532942035774,0.017190685158879292,0.666923919942086,0.026225904798450488,0.802574193194652,0.025386062841103462,0.6563069453847178,0.04178800907353484,0.6789429675756107,0.01838234639630753,3.868074870109558,1.4669783960238583,1.0817320346832275,1.4549614273313525
HistGradientBoosting,0.7291866028708134,0.036661806732235055,0.7224172418586401,0.03935155255020336,0.6621978359863371,0.048668861837435747,0.7998992897992816,0.041526834112013106,0.6347354736201808,0.05473641382775966,0.6941383264175643,0.057300808510330994,14.403926539421082,0.08140367388642572,0.02537391185760498,0.0063282371786834
MLPClassifier,0.7172248803827751,0.035552239059424694,0.7176876349571417,0.03849754529257645,0.6595555521367611,0.046174648672170936,0.789324651089953,0.044593881219550366,0.6136399835642787,0.05405311308349296,0.7165666903459224,0.06138283514078787,1.6320190668106078,0.16977778980538996,0.014746546745300293,0.0033220375569801477
GradientBoosting,0.7181818181818181,0.03120866147263149,0.7097801018130246,0.03261143162964959,0.6458920437248896,0.04095095804919538,0.7704198184186701,0.03735381926987569,0.6251801916169158,0.05641693877721422,0.6714428672403441,0.05076473796292209,29.60589210987091,0.3838298398542799,0.011549949645996094,0.001657203400686093
