Model,Accuracy_mean,Accuracy_std,BalAcc_mean,BalAcc_std,F1_mean,F1_std,ROC_AUC_mean,ROC_AUC_std,Precision_mean,Precision_std,Recall_mean,Recall_std,FitTime_mean,FitTime_std,ScoreTime_mean,ScoreTime_std
NuSVC,0.7473684210526316,0.03366704893641789,0.7213251527568654,0.035910952921764536,0.6473854494537603,0.0505749608019217,0.7987412368494038,0.02790744000118473,0.6967506576017369,0.0589860742290849,0.6065790631364691,0.057381136357644455,1.6077074766159059,0.5481356628738177,0.4572303056716919,0.3278333291737555
XGBoost,0.7502392344497608,0.022532673700094857,0.7171554833185174,0.026588776060065506,0.6346280343613777,0.040745291922311556,0.8049766761302326,0.03270863870755113,0.7235518222014012,0.04961836228613271,0.5689372238285696,0.0607393481597845,52.94877996444702,0.450651063838587,0.023964905738830568,0.005642877751224554
LightGBM,0.7507177033492823,0.027481318024067516,0.7165438497161399,0.03133783314261441,0.6323242436092972,0.05067106185042834,0.7988628057191326,0.03371445574900707,0.7279623680340501,0.04467657201762949,0.5640615158959792,0.07482491651338338,44.348618388175964,1.2008200718566506,0.02435312271118164,0.0037619998673557083
CatBoost,0.7502392344497607,0.027605992374378063,0.7144012023113382,0.03063902523461716,0.6277231958393455,0.048517593987008015,0.7999991943553308,0.03529698344070268,0.7355176687196084,0.06913824634520016,0.5529174039234448,0.06666319820531776,85.98549094200135,23.59902991912301,0.029568409919738768,0.013686601623074387
MLPClassifier,0.7191387559808613,0.031338799796770914,0.700843935237731,0.035191311601836535,0.6252616765210276,0.05007836135385391,0.7754933231567359,0.02835075347505959,0.6422748915702265,0.06264383035157052,0.615249865072571,0.0728948778584209,3.4323172092437746,0.3544371852054478,0.014720010757446288,0.005954152007947681
HistGradientBoosting,0.7392344497607656,0.023139741831813238,0.7049262344859846,0.029243531307553628,0.6176394707120759,0.047623416781235536,0.7889481142483794,0.032019141215621286,0.70450126439859,0.05006775402510616,0.5532240043023655,0.06455881313828862,15.025887656211854,0.05119542982567975,0.02388463020324707,0.007899657786856607
KNeighbors,0.7186602870813397,0.03521796906502208,0.6948403549918061,0.039621635379265656,0.6149325120449227,0.060370865408295164,0.7620763721542654,0.03589611513516224,0.6483966172279068,0.07726858082353524,0.5895403915036093,0.07224946511200987,0.046178340911865234,0.001034813722765393,0.045688939094543454,0.004590955652136403
LogisticRegression,0.7076555023923445,0.04124896511774848,0.6892025345185684,0.039035800982500105,0.6143336658917442,0.044578092342285436,0.7360869430792932,0.04417601661203415,0.6262799753443493,0.06406983099438933,0.606424725488993,0.05014320136266163,1.1636153697967528,0.17362791473196218,0.020711660385131836,0.010016971605505817
RidgeClassifier,0.6966507177033492,0.03223111471532793,0.6841928482248147,0.03768985600889035,0.6130964610600839,0.050932778049679134,0.7241645129487528,0.04622159734103414,0.5998113534924341,0.05362118157189014,0.6297889600524689,0.0657525986395101,0.07326107025146485,0.005870273682241111,0.013738226890563966,0.0019293751021685554
LDA,0.6889952153110049,0.03205701952510651,0.6767698443989908,0.03873891769542408,0.6054936264701088,0.05582050805748538,0.7146322456972433,0.045966538945953865,0.5881411673659435,0.056324972928676525,0.6260298314838225,0.06792212770252035,0.22557857036590576,0.01802850125421346,0.01357889175415039,0.003295997572039463
GradientBoosting,0.7349282296650717,0.02420882419267659,0.696765798914692,0.023145332740061943,0.6029095666231294,0.03637205561680865,0.7794076941713991,0.02509516586362662,0.7115405781052374,0.053472878260018564,0.5267047035867536,0.05259309572864933,38.40831120014191,0.19541318324669066,0.010992121696472169,0.0020880996038489157
