Model,Accuracy_mean,Accuracy_std,BalAcc_mean,BalAcc_std,F1_mean,F1_std,ROC_AUC_mean,ROC_AUC_std,Precision_mean,Precision_std,Recall_mean,Recall_std,FitTime_mean,FitTime_std,ScoreTime_mean,ScoreTime_std
SVC,0.7363636363636363,0.03681758679302899,0.7237568339979751,0.04027247051349256,0.6598299331330166,0.05162110149095281,0.7907533049629168,0.037745073582259536,0.6525133107076209,0.05145542884905014,0.6695501854150082,0.06603503606037374,2.8944872856140136,0.7988362214262744,0.6569294452667236,0.3926169508528852
NuSVC,0.7349282296650717,0.036731123880024946,0.7233148908045756,0.04095829704759108,0.659117495986732,0.05262454838283883,0.8024742153189974,0.031705867269282824,0.6500385131350166,0.05485039271565389,0.6713850243388467,0.06897363242198505,4.602319860458374,0.39232954346435134,0.4754079580307007,0.24485708500067654
XGBoost,0.7511961722488038,0.022667735890832385,0.7205391262815571,0.0285726916200916,0.6415751221000742,0.04580633608442487,0.8021003086864171,0.03653382839517607,0.7166539495695632,0.06786823149385536,0.5838074380867527,0.05213948338468828,54.83070607185364,0.8053974885083001,0.026970696449279786,0.007862586759704507
CatBoost,0.7421052631578948,0.03054965534943772,0.7147999985457244,0.031657859793126,0.6373824486173455,0.04459842499868927,0.7966355350654443,0.038010236574188117,0.6924380594777014,0.04069241820289879,0.5937958402120583,0.06501654453134256,86.35003201961517,23.93448274686272,0.0321444034576416,0.010607806072266832
GradientBoosting,0.7263157894736841,0.02999083706167314,0.7071676563112332,0.03266834949455634,0.6337338994988275,0.04447159023036631,0.7707831152920769,0.03693428199091548,0.652548195215686,0.05820324060577221,0.6197729609060921,0.05845409293028421,45.118025469779965,0.2844226146618372,0.011830806732177734,0.001366051234119503
HistGradientBoosting,0.7401913875598086,0.029756679736831663,0.7122819933656233,0.03446022974097474,0.6320818903016354,0.04828789453065936,0.7877353795530324,0.03207883216171232,0.6921876241165313,0.05095278047469019,0.5857120402231839,0.07068010889038398,15.687881112098694,0.07405265564333666,0.024866437911987303,0.006779868098008305
MLPClassifier,0.7191387559808613,0.02781254104472814,0.7027067267274258,0.02909955167300894,0.6318743140041253,0.03663512817875589,0.7710807532803713,0.02249399600130465,0.6357049294596404,0.0379844218003489,0.6305713656862798,0.0545378316459528,2.4067084074020384,0.29176110253199955,0.014907908439636231,0.0036909584980124167
RandomForest,0.7488038277511961,0.0325491732567122,0.7142615793198518,0.029285213905117846,0.630069473957386,0.040106235594366234,0.7971391163526509,0.04160140404474068,0.72690403303788,0.03956328244207439,0.5590227739476459,0.05735071758707296,6.151251983642578,1.8792549260444134,1.8808447122573853,1.8601322040651103
LightGBM,0.7435406698564593,0.029683930141325286,0.7118585249473668,0.03325552479609745,0.6293420806835514,0.050485006111501286,0.7952823798976655,0.032885750710568054,0.7068374828801646,0.0655173235270341,0.5707491228188875,0.061820239562763175,40.94290363788605,1.0068651549026593,0.04206507205963135,0.05414161616985139
LogisticRegression,0.7028708133971292,0.0412489651177485,0.6932150730097868,0.04034461583052877,0.626132859030679,0.04628518701317566,0.7303988721728003,0.04472055782924157,0.6089478775542367,0.06429366769416005,0.6485487334531435,0.053938601684158496,2.313490104675293,0.05070444032211344,0.01705789566040039,0.007241584470908902
KNeighbors,0.6856459330143542,0.03595067563202675,0.6861835032926267,0.034739790116485536,0.625563979947108,0.0485321970825711,0.7553752051398078,0.03897101742930377,0.5783930193893012,0.06662279680764702,0.6863809855157739,0.05495272859431514,0.05118987560272217,0.006643627216695138,0.04754166603088379,0.0026229966424169164
