Model,Accuracy_mean,Accuracy_std,BalAcc_mean,BalAcc_std,F1_mean,F1_std,ROC_AUC_mean,ROC_AUC_std,Precision_mean,Precision_std,Recall_mean,Recall_std,FitTime_mean,FitTime_std,ScoreTime_mean,ScoreTime_std
XGBoost,0.730622009569378,0.025423467975770938,0.7284030419087802,0.028671881297638372,0.6694634183071253,0.03953062982315205,0.8004889947962687,0.02971724293696809,0.632988973672633,0.04916164368476172,0.715202393375447,0.06339374907404914,47.03389356136322,0.5403434478366993,0.02580759525299072,0.008050234505937117
LightGBM,0.7277511961722489,0.02485685715560863,0.7245494679863572,0.030631245966017545,0.6635476382482492,0.04212031797501112,0.7971308138233805,0.027895402269159545,0.6314406937431336,0.049186103494413505,0.7057062683006484,0.077433019304533,40.58920390605927,0.9700439168127947,0.025918865203857423,0.005016056119155812
NuSVC,0.7177033492822966,0.027066288275083148,0.718579945869392,0.030266311845176898,0.6611822423185857,0.04250936622161103,0.7928330699955584,0.0268444292644824,0.6125797872953173,0.04937931051504377,0.7216550380099076,0.05833878254774163,0.868886160850525,0.1368274983992791,0.2565311908721924,0.08108974932021201
HistGradientBoosting,0.7248803827751196,0.025040380331910028,0.7204074356611825,0.03023237968577581,0.6586697453711361,0.044962146500490116,0.7905020528715173,0.029135056152348432,0.6287540654078443,0.05765592536355403,0.697199084796263,0.06848882133778769,14.313808059692382,0.06984519798866017,0.02374405860900879,0.005653075800574047
ExtraTrees,0.7330143540669856,0.03313394730123865,0.7226564031172864,0.04146646418094804,0.6572191545032108,0.05831339693365336,0.7957337703427476,0.03439313317430584,0.6459421420868091,0.05777345924842781,0.6748649761690821,0.08870151068578025,0.8954901695251465,0.16951031908089118,0.287433123588562,0.15510016697642307
CatBoost,0.7220095693779904,0.02794028960891183,0.7176678449233809,0.03557829935328503,0.6548498461161082,0.05008104334516752,0.7949175546083447,0.032444998609710916,0.6247803357621681,0.053896386869226626,0.6941515558080631,0.08203947719852493,85.46247856616974,23.699562184107634,0.03188602924346924,0.01234635337399095
RandomForest,0.7277511961722488,0.02454793640614981,0.718737349504012,0.028137904488303785,0.6546528629557382,0.04123741657311759,0.7942208085768316,0.032337474325257035,0.6379386751822811,0.05362831136827416,0.6762460764411797,0.05728103758585072,4.268232464790344,0.30899065088681843,0.42205018997192384,0.19841369795436284
MLPClassifier,0.7023923444976077,0.028062924973426173,0.7059476938385422,0.02755844225526476,0.647449930070934,0.037304160064771,0.76329569223641,0.02716424458341597,0.5961591665950337,0.05990640362838562,0.7145200343095538,0.0505703490022974,1.7324443817138673,0.11326846956570985,0.016205883026123045,0.0041797287228417645
SVC,0.7186602870813398,0.02341837938497944,0.7111918442775389,0.02714377627718607,0.6468379949355916,0.035445441636942195,0.782337957623102,0.0297785424106794,0.6245153339111987,0.045331956693823616,0.6746549991942505,0.056527603882216816,0.7437902212142944,0.12934546123869545,0.303772497177124,0.10592892046545373
KNeighbors,0.6894736842105262,0.030632806443214023,0.6936015726721918,0.03536409861530442,0.6369818750972094,0.04814538962402909,0.7552601410453879,0.03477395124125128,0.5768632511542984,0.048151925453466804,0.7144604703687223,0.07056751770215118,0.046843433380126955,0.0009654404943971902,0.03912065029144287,0.0025883653493278874
GradientBoosting,0.7014354066985646,0.03151282688415559,0.6968287490655356,0.033317976365294634,0.6323549126523147,0.03916828307034638,0.769610298189102,0.03267138163148739,0.601016293763746,0.0480291941046915,0.6716348657344857,0.06029798115936217,29.59719762802124,0.3993947704318607,0.011608171463012695,0.0023639612378136155
LogisticRegression,0.683732057416268,0.03750211438628596,0.6860398168452069,0.03664277720765282,0.6269325727431853,0.042100122156665094,0.7290398886698164,0.03600337527526992,0.5746681609379747,0.054544240230936916,0.6930758935550186,0.04449798325875489,0.5815412044525147,0.13680382376571282,0.015543365478515625,0.005236720185005957
AdaBoost,0.683732057416268,0.03660973274155749,0.6812274912172571,0.04144072733491239,0.6167687562463251,0.049599499542937873,0.740538580115574,0.04067428489449096,0.5766226376061532,0.049594655212562254,0.6672151971956011,0.07500079295209293,5.680116677284241,0.060957239429494964,0.02275726795196533,0.0015877096481609256
Bagging,0.7038277511961721,0.013617463608380578,0.6861386903431662,0.017146749569035693,0.6085615056229303,0.02628131429376322,0.7432865555970469,0.019024981155938762,0.6197155897087678,0.05199917522795909,0.6028533849978457,0.049271814314175044,4.800826072692871,0.05774265283917897,0.041974973678588864,0.011874277935541798
LinearSVC,0.6578947368421053,0.03488778764629564,0.6625033803501894,0.030750640455264832,0.6040399800501114,0.03712596809625818,0.693118711989369,0.03362563878291347,0.5462792617573164,0.05595425798231448,0.6800645922154481,0.03551301224472939,8.995084071159363,1.0849437342367754,0.015784716606140135,0.005702785389170207
RidgeClassifier,0.6540669856459329,0.03376135986389822,0.6572667764953515,0.03278282551220618,0.5968231698794304,0.046024568007944695,0.6983211221512178,0.03853956623802475,0.5415083095005755,0.05929115725633631,0.6692224636593125,0.05062094270683399,0.07531890869140626,0.005168774415646032,0.012226486206054687,0.0013834476597864253
Perceptron,0.6464114832535884,0.03777245210353728,0.650461581095354,0.041632163730324655,0.5893370777213837,0.06187620511507092,0.6921740733951189,0.04677286904870429,0.5320794300084402,0.06775466813094355,0.6668547418223735,0.08281125398551928,0.07755327224731445,0.006985467721567599,0.010651922225952149,0.0029404361203295847
LDA,0.6425837320574163,0.03268953929329446,0.6466509862528147,0.02918553139127141,0.5875930220045155,0.042954693615257555,0.6763551811835754,0.03742434838394003,0.528845086016799,0.05691377561569302,0.66467871265518,0.03752368505386849,0.20493688583374023,0.012343039920176747,0.012916970252990722,0.001974572871689584
SGDClassifier,0.6363636363636364,0.038476357517750616,0.6441192555627734,0.03567806625604603,0.5871027390285078,0.04072582101960194,0.6931653697545905,0.04171647226201545,0.522954453870386,0.05507973897722983,0.6742514060013522,0.04498132067491398,0.14920711517333984,0.01916037827030979,0.011188602447509766,0.0018001111102697088
PassiveAggressive,0.6454545454545455,0.021804047017715305,0.6469425990298734,0.026530258316169997,0.5820060282393327,0.038685803933021054,0.7016171120332857,0.023741417638904805,0.533231106726773,0.04586568764551743,0.6485993506939429,0.07766315518314516,0.12324368953704834,0.019794450314244327,0.011976218223571778,0.0025398110290628033
GaussianNB,0.6138755980861245,0.05241606836784919,0.6236219144853667,0.056620826688378166,0.5669009185659931,0.05835763163739535,0.6628971611833621,0.05333414217464167,0.4986206535614738,0.0489256574711484,0.6624252137907107,0.0927379858364111,0.054489946365356444,0.004386289768375701,0.018312239646911622,0.001916536485554757
DecisionTree,0.6296650717703349,0.03495698422404461,0.6283054654868017,0.03622827657738834,0.5611003297473618,0.04315481729674225,0.6283054654868016,0.03622827657738838,0.5165335072567174,0.05344933988461066,0.6185500918616156,0.05574647003235371,1.067889666557312,0.10809621808435294,0.008837485313415527,0.0031998018205796792
BernoulliNB,0.6143540669856459,0.044382844353240435,0.6156088378440809,0.04555433461916437,0.5511648457319606,0.04551388730988729,0.6693333521525741,0.045993708156373755,0.4999606251092956,0.047281991904457275,0.618305261670056,0.06511439576113268,0.06876394748687745,0.0055537699891925535,0.017240214347839355,0.0018258012216790915
ExtraTree,0.6124401913875597,0.031657788263603194,0.6131304479735326,0.0305555017655009,0.5470115546087839,0.034567016602569285,0.6131304479735326,0.030555501765500922,0.49835909248937443,0.048323519749112566,0.6113782007297306,0.04951888642642682,0.054171204566955566,0.0011981928326665046,0.011637234687805175,0.002098308998600277
QDA,0.5033492822966508,0.024994625868146398,0.5369646208449781,0.02552676792850176,0.5161896972009411,0.04312532621988761,0.5493605752430466,0.04295110489253808,0.41166141721585836,0.034096664974073335,0.6949569729560544,0.07521869288805641,0.3609164237976074,0.019143156299395385,0.02552211284637451,0.004501756127332706
