Model,Accuracy_mean,Accuracy_std,BalAcc_mean,BalAcc_std,F1_mean,F1_std,ROC_AUC_mean,ROC_AUC_std,Precision_mean,Precision_std,Recall_mean,Recall_std,FitTime_mean,FitTime_std,ScoreTime_mean,ScoreTime_std
XGBoost,0.8066985645933015,0.017500308420217176,0.7868003965690497,0.018956809919099774,0.7357180209527561,0.02496195414743782,0.8665508362044214,0.01607857768854892,0.777155151809249,0.035550297524420356,0.7003086419753087,0.03974110849717618,33.056013345718384,0.2339806822612093,0.028437542915344238,0.007761737989450135
NuSVC,0.7999999999999999,0.020770425002998052,0.7837070458297445,0.018259927824696032,0.7328691657023608,0.022404401958360503,0.8566171403962102,0.024478860323405426,0.7578697367539428,0.04754828963680412,0.7127932098765433,0.040729856929420126,4.719673919677734,0.48441423099372577,0.44136316776275636,0.17912229650284833
SVC,0.7966507177033493,0.023683002240697772,0.780054999282228,0.02078700698494808,0.7283848166310747,0.024930161908968615,0.8519853125897214,0.025169518984873625,0.7533073168253337,0.0482399481490362,0.7078086419753087,0.03578525909619805,3.8596802949905396,0.7622714996319805,0.45888524055480956,0.23205754010249935
LightGBM,0.8009569377990431,0.02142154180590852,0.7791307780648866,0.025349817648307973,0.7248359973939251,0.03403754732386462,0.8551055573499857,0.017282593796988224,0.774563425867978,0.03850097945410137,0.6841820987654321,0.05683224091655264,37.766757822036745,0.9276269536998232,0.02551264762878418,0.0043544080302208524
MLPClassifier,0.792822966507177,0.02128454736261976,0.7776264848908987,0.02635201522329202,0.7244690494833741,0.03390625765521537,0.8424960971145564,0.020671986934598496,0.7417912977396103,0.03446007305933257,0.711496913580247,0.06338330541280908,5.334637117385864,0.287975414376196,0.018827652931213378,0.0067512037357213735
HistGradientBoosting,0.7995215311004784,0.026250462630325766,0.7776785233634798,0.027321826450757355,0.7236361802111828,0.035192738685282006,0.8594980081826012,0.016462618756609114,0.7722951262238509,0.04762169681580655,0.6828703703703703,0.04676918975347569,15.353231620788574,0.06174248357000335,0.024320411682128906,0.006938534052925969
CatBoost,0.7961722488038278,0.012188180653615809,0.7749807771676714,0.013240493564064098,0.72019296593901,0.01800170009478419,0.859116108598909,0.01623774794390055,0.7647803085133054,0.03367718961016385,0.6829012345679013,0.03995842921888199,67.80568943023681,0.8917953103574944,0.034916019439697264,0.01277318085791604
ExtraTrees,0.8057416267942583,0.02993990438343175,0.7724720741817398,0.032475324525639865,0.7128774720033202,0.04621447057575103,0.8531906088501293,0.019969547893852677,0.826866217961763,0.05824435062923941,0.6281018518518519,0.05051296011365314,1.6165960073471068,0.16405964336882026,0.25929315090179444,0.15709120726368003
RandomForest,0.8038277511961722,0.022667735890832378,0.7718440460809646,0.026268264848639707,0.7122401265405226,0.03706576104567125,0.8576279877260982,0.016716713562448932,0.8172806007691772,0.04336969714656821,0.6331018518518519,0.050609454900740945,5.0203601837158205,0.19358905062794837,0.3059187173843384,0.20245749806055444
GradientBoosting,0.7779904306220096,0.027826256443463333,0.7628214272896928,0.025526071289518205,0.7073998374232646,0.0309899647989603,0.8441008335127762,0.023579256936785288,0.7212515646095041,0.04933696105781865,0.6966820987654322,0.03910887831301223,27.577898955345155,0.1442486407426073,0.013120937347412109,0.0018324217546972523
KNeighbors,0.7588516746411483,0.030942633015062903,0.7572135192362905,0.033314385111062675,0.7050614581967865,0.03900858539482714,0.8191719602354292,0.030966267483877857,0.666033400045977,0.037346974577426584,0.7500617283950617,0.05134441675661288,0.09731862545013428,0.0025229656776114425,0.06059451103210449,0.025729622094738683
RidgeClassifier,0.75311004784689,0.03019370862188002,0.7498203775480906,0.02855271565162029,0.6961156313202703,0.03264141933984081,0.7993160529715763,0.026185103041912634,0.6642842706807138,0.04644863719773682,0.7351543209876542,0.052780475067246924,0.18261754512786865,0.003814955540778283,0.015869832038879393,0.0012549605171795772
LogisticRegression,0.7559808612440192,0.03026103024084574,0.7486466408268734,0.028117747735927744,0.6935114780204443,0.031943105923690596,0.8083435615848404,0.024421770555093304,0.6738032863021848,0.045437141853095865,0.7165277777777778,0.03731544380830062,1.698820662498474,0.02999782487555034,0.019666433334350586,0.012048825857303309
LDA,0.7435406698564593,0.02976949944579292,0.7432406061584841,0.028088567037013155,0.6898833301074474,0.03153767363614116,0.7808260210307206,0.02619720389774499,0.6480936082003321,0.04656612545528199,0.7414351851851851,0.050996607328332666,0.6453098058700562,0.027967473191423033,0.018070435523986815,0.004691886450319793
LinearSVC,0.738755980861244,0.021182721168592013,0.7318143258326155,0.01920757873799506,0.6739181459296414,0.02157265608218808,0.7916297014068332,0.023991191568218308,0.6498877622258054,0.03122634605920197,0.7015586419753087,0.03404296347818458,41.97206163406372,4.573124569190629,0.015786170959472656,0.004271621925656751
AdaBoost,0.7277511961722488,0.04485318081231635,0.7236503866996842,0.04317070856437235,0.6659758255947403,0.050673475374967206,0.806480404823428,0.03665415444512399,0.6346536890141687,0.059429413440501434,0.7053858024691358,0.06809380233813982,5.714005160331726,0.03392513909299777,0.030760955810546876,0.003815852276467855
Bagging,0.7650717703349283,0.032642817679193255,0.7346134348980764,0.03654456999709605,0.6624306421682384,0.05287714207298241,0.8203227731122595,0.028807946162144507,0.7406544130454809,0.05374965457152531,0.6021604938271605,0.06708607845753,4.997606515884399,0.06784184659336358,0.05059306621551514,0.02030382836166254
SGDClassifier,0.7263157894736841,0.03492786553159109,0.7196021299885157,0.03384901683248784,0.6600230054862503,0.03933486912760996,0.7753483437410279,0.028901591660254487,0.6346314453581242,0.04782025582804777,0.6903549382716049,0.052158781657924286,0.34167096614837644,0.04205991371951454,0.013642096519470214,0.0035844778176314256
Perceptron,0.7138755980861244,0.0323571410600721,0.7095353547588286,0.031409082424637094,0.6497756776623771,0.03569426228657146,0.777595239376974,0.029802604202136443,0.6164832900089785,0.04368230515917668,0.6903703703703703,0.05365427064412704,0.15907435417175292,0.014108122604753016,0.01320350170135498,0.0032612156246808826
PassiveAggressive,0.7124401913875598,0.03356489549295332,0.7059013870944588,0.03142058419911649,0.6444155866784558,0.03557915374525365,0.7700789997846684,0.0313082964009151,0.6182633951016305,0.052777434485551646,0.6768827160493827,0.05112686383754559,0.196519136428833,0.02304569959974308,0.01215224266052246,0.0030132332002189613
DecisionTree,0.7,0.02949911563261532,0.6823271515216767,0.031798768068318835,0.6071589093591101,0.04311757261848377,0.6823271515216767,0.031798768068318835,0.6134078577835679,0.04321847881523803,0.6056790123456791,0.07001279389449429,1.1377682209014892,0.07066548862281337,0.01083204746246338,0.0017864650073554352
ExtraTree,0.6899521531100479,0.023634620163116682,0.6736549849267873,0.027745183546709726,0.5986970250171493,0.03761623260046335,0.6736549849267873,0.027745183546709726,0.5956576710632968,0.02902171959715729,0.6031481481481481,0.053236849025773095,0.11095764636993408,0.0030335619087262355,0.01955304145812988,0.013883905511392458
BernoulliNB,0.6698564593301436,0.03847635751775061,0.6519911444875107,0.04126958156400618,0.5717889937170673,0.0533835381791309,0.7244285188774046,0.03851665128896499,0.570786052506852,0.050933637214621755,0.5745370370370371,0.0641734549134964,0.13112049102783202,0.0037015978180179156,0.019783568382263184,0.0012909515656066503
GaussianNB,0.43923444976076553,0.015756413442077784,0.5385450760838357,0.01327069638317666,0.5707298097239425,0.009316933295220863,0.5398576792635659,0.011558128239602741,0.40454944351487077,0.008044818100252068,0.9689506172839506,0.01765322379968516,0.15589096546173095,0.006155904543620509,0.027917194366455077,0.003834615072611584
QDA,0.7062200956937799,0.030193708621880026,0.6289185642764857,0.03915630841543037,0.4297787735632575,0.08908161908179327,0.7528211581251794,0.03372454966522572,0.8324067245240601,0.03730635230357666,0.29361111111111116,0.08004360522863309,0.7340218305587769,0.048033193443037275,0.04395270347595215,0.0097901894968294
