Model,Accuracy_mean,Accuracy_std,BalAcc_mean,BalAcc_std,F1_mean,F1_std,ROC_AUC_mean,ROC_AUC_std,Precision_mean,Precision_std,Recall_mean,Recall_std,FitTime_mean,FitTime_std,ScoreTime_mean,ScoreTime_std
XGBoost,0.8095693779904305,0.016696972667690466,0.7846888682529428,0.018888147623429427,0.7318036996084777,0.025766416804913126,0.866730099770313,0.01900021420955095,0.7994422286429846,0.035408732751758924,0.6766512345679012,0.04180026402549057,32.28188021183014,0.381022352848683,0.025199055671691895,0.00599504510178899
LightGBM,0.8038277511961723,0.015463093644071226,0.7800842933534311,0.018790406558866924,0.7258569800510546,0.025751538188871954,0.8584337765575654,0.017285593582682102,0.7850033229227302,0.02694450123036374,0.6767746913580247,0.04363875986645177,31.656740832328797,0.70153844046395,0.023210883140563965,0.0033935668741987934
MLPClassifier,0.7894736842105263,0.025913998100912158,0.7718422067901234,0.0273194323877302,0.7169708352150549,0.03476384649403561,0.8409460235429227,0.027048000476247384,0.7454827993033807,0.049165982101054995,0.6952469135802468,0.06178888497091767,5.043150520324707,0.38772077474485317,0.015522480010986328,0.005277300559310465
HistGradientBoosting,0.7976076555023923,0.0192778042977886,0.7717461150588572,0.0198973379678638,0.7145720896373681,0.027315088272638323,0.8555681165661786,0.017340702263050775,0.7831336639633655,0.04371765079478985,0.6592746913580247,0.03942413477598376,10.52270154953003,0.06315181549835285,0.021135163307189942,0.004877795894425187
CatBoost,0.7985645933014354,0.021212720788734585,0.771582440604364,0.0221037944613025,0.713935174431565,0.029760120920187465,0.8552183821418318,0.01829238974509158,0.7892992684684242,0.047589226027332496,0.65429012345679,0.04377186952642614,68.77711899280548,0.3923983593523968,0.029665541648864747,0.013200707677931718
NuSVC,0.7976076555023924,0.02210528617225984,0.7668408385371805,0.019974175868872106,0.7066807921106784,0.026840500120215684,0.8494677271748493,0.02433257875610447,0.803530778746459,0.05752132116267682,0.6331790123456791,0.03405458578695835,1.2210213899612428,0.3626225366280713,0.20475392341613768,0.1149345935929301
ExtraTrees,0.8019138755980861,0.02641949504414501,0.7672826272250933,0.029224333124110286,0.7050573934115916,0.041663380012890903,0.8458724519092735,0.017655909323791567,0.8257524231276501,0.052723691528614475,0.6169598765432098,0.04946064292595254,1.2328200578689574,0.05839549344794454,0.15150299072265624,0.044156094123399166
KNeighbors,0.7712918660287081,0.026573098053790795,0.7533804146927936,0.026267375804698494,0.694398226536764,0.033305902108335235,0.8140839434395636,0.02938852926690723,0.7170814413653182,0.04905215051638397,0.6754320987654322,0.04315526629421711,0.05739784240722656,0.0010997139025275436,0.08438525199890137,0.0015958940274602776
GradientBoosting,0.7837320574162681,0.021013931855822142,0.7549183982917025,0.025288356056478552,0.6904008326426905,0.0368087577357103,0.8401438460020098,0.024513989993288427,0.7682425062287491,0.03494030525234517,0.6295679012345679,0.056546058865215076,23.260296654701232,0.09275310664457895,0.010205554962158202,0.001001633126956659
RandomForest,0.7928229665071771,0.022334243976312985,0.755469355620155,0.025554735048502888,0.6872317516154169,0.03716178147204058,0.8493937517944301,0.018000917522617867,0.8198827528719603,0.04673096384151384,0.5933333333333334,0.04705307396491034,5.121754503250122,0.10840928531924605,0.16998093128204345,0.1030988412755842
RidgeClassifier,0.7502392344497608,0.026953276139429192,0.7321154984926788,0.029111356589491266,0.6674137884736031,0.03811056818506578,0.8042219799741602,0.026815428870630393,0.6852682617215484,0.039992993030669756,0.6531481481481481,0.05529561195230935,0.0647669792175293,0.006154332086270726,0.012651634216308594,0.0026136345462995716
LDA,0.7392344497607655,0.02718350964762251,0.7254861111111112,0.02797051413546446,0.6623549353481224,0.034423585008083776,0.7919239430806775,0.027785742315255966,0.6612399797865061,0.0393303464200349,0.6655555555555556,0.04723089567727539,0.2505392074584961,0.010374105820413265,0.013249492645263672,0.0027665870730929367
LinearSVC,0.7363636363636364,0.028747978728803445,0.7226055349196094,0.030210718355688896,0.6590439918706846,0.03673584121472672,0.7923937248779787,0.032015062816493925,0.6563889310831371,0.03830632511329615,0.6629012345679013,0.04543198693849184,20.484651064872743,3.4418371317193377,0.01374802589416504,0.003279369489018801
SVC,0.7746411483253588,0.03177408175288801,0.7353347060723514,0.032754139269959646,0.6584332330209872,0.046636381047064586,0.8385141670255527,0.026243120470396154,0.7919331661415632,0.06363796270254081,0.5647222222222221,0.044542525330907974,1.1353971481323242,0.33288004647434805,0.21993842124938964,0.12395550611618004
LogisticRegression,0.74066985645933,0.029217525735386246,0.7226524144056847,0.029126231598560128,0.6564423247258256,0.0356574788618273,0.8034906599913867,0.028802713768844686,0.671180055558885,0.0426234062520008,0.6443055555555557,0.04566820454298169,0.7254304647445678,0.0851247464372255,0.01705472469329834,0.005261839583963362
Bagging,0.762200956937799,0.028889203913927998,0.7273238766867643,0.031027070014618328,0.6503871919029269,0.04469964696886169,0.8168664091659489,0.03125376881173385,0.7492888138631528,0.053464245445499624,0.5759413580246913,0.04808861697754032,4.111514019966125,0.037512465403785715,0.04210166931152344,0.007840719990351719
DecisionTree,0.6990430622009569,0.025761402236994035,0.6855958180806775,0.027159864918199834,0.6149568533834313,0.03707102213389333,0.6855958180806775,0.027159864918199834,0.6070784936457161,0.03972412844384953,0.6269753086419753,0.061977839618445475,0.9031192779541015,0.04617403541887308,0.010117220878601074,0.0010048197839648233
AdaBoost,0.7277511961722489,0.03619044348582029,0.6967170677217915,0.033992987660886285,0.6137583196868823,0.043190687680801296,0.7985752898004594,0.03747389380140173,0.6815654659764488,0.06655659491973696,0.5621296296296296,0.051410083700821015,4.6170045137405396,0.010502248904651105,0.027473807334899902,0.001815650638480153
SGDClassifier,0.6976076555023923,0.023955321665733446,0.6809226735213896,0.02696353061047602,0.6066488174327889,0.03632687345916271,0.7498657766293426,0.03089131377657961,0.6077389257790803,0.03324061754363605,0.6083024691358024,0.056922846562726816,0.1926499605178833,0.020555534737067258,0.011952495574951172,0.0011602217893523458
PassiveAggressive,0.6813397129186602,0.040611961168489266,0.6642429075150732,0.04142404840584814,0.5870308332706313,0.05220848548026597,0.7166385838357738,0.054013168030949604,0.5870096260988064,0.05400999400820934,0.5897685185185185,0.06369339195752323,0.10568411350250244,0.015393604216549962,0.011233043670654298,0.0023563004033584187
ExtraTree,0.6784688995215311,0.02275733203411413,0.6631843956359459,0.030102101167035454,0.5867697343975771,0.04345755975181882,0.6631843956359459,0.030102101167035464,0.5787287691455104,0.02564422107674099,0.5969598765432098,0.06658397943612135,0.05982544422149658,0.0009470886588154786,0.012498760223388672,0.0007636863327650763
