Model,Accuracy_mean,Accuracy_std,BalAcc_mean,BalAcc_std,F1_mean,F1_std,ROC_AUC_mean,ROC_AUC_std,Precision_mean,Precision_std,Recall_mean,Recall_std,FitTime_mean,FitTime_std,ScoreTime_mean,ScoreTime_std
XGBoost,0.8129186602870814,0.01866096864852153,0.7916430699109963,0.020985746108935183,0.7415701530103268,0.027612082538783826,0.8650447261699684,0.018388596289157268,0.7921876293797296,0.03619949528296383,0.6991049382716049,0.04449703250262201,31.907513046264647,0.20617858170531908,0.031194067001342772,0.02564650082729535
LightGBM,0.8052631578947367,0.019926632470986264,0.782871693762561,0.022567256954068193,0.7297772479363843,0.030632014828446123,0.8567081180017228,0.01678219379457241,0.7837935079697156,0.038872387693622196,0.6854320987654321,0.049859357396499514,35.28784651756287,1.2874148741500377,0.024735355377197267,0.004545730021875283
NuSVC,0.7942583732057417,0.021751485960105038,0.779023650588573,0.017716897408299546,0.727564731031851,0.02137062046332533,0.8544150157909847,0.024022782522727243,0.7453153746301127,0.0453178510130399,0.7127469135802469,0.02568466686187403,1.86474711894989,0.6094463996497461,0.20692820549011232,0.08304484742674076
MLPClassifier,0.7870813397129186,0.023029551958841543,0.7733796071992536,0.027074737474777205,0.7198737522125144,0.03391296643209087,0.8375843382141832,0.026833723086291877,0.7289053329472812,0.033597094354051275,0.7139043209876543,0.05924414003585605,3.5408838510513307,0.37327504591287897,0.014063358306884766,0.005236451740506873
HistGradientBoosting,0.7952153110047847,0.02509618917099961,0.7730350766221648,0.024625003557181266,0.7177345135783699,0.031462359270638,0.8553579888027562,0.016689300812288702,0.7668630560698587,0.049638416501439936,0.6766358024691359,0.03887719738465762,10.431599116325378,0.04415359379932908,0.019303345680236818,0.005857369271769029
CatBoost,0.7956937799043062,0.027258266776462026,0.7722386861182888,0.030307535130216556,0.7155114942097589,0.040374938016580764,0.861651189707149,0.018958299991455874,0.771952700323728,0.04967718124326653,0.6703858024691358,0.060908844942672354,67.03667800426483,0.6438134629993236,0.06766571998596191,0.04356560545920091
SVC,0.7827751196172249,0.02827963031489825,0.7657213160350272,0.02536652432529222,0.7106281072130745,0.031198519506021115,0.8463458225667526,0.024100194155129463,0.7327670732627054,0.05237577619368115,0.691604938271605,0.028905913406018446,1.5950510263442994,0.4605809121126046,0.24771318435668946,0.1732732073130434
GradientBoosting,0.7794258373205742,0.028302108364957706,0.7649536588429514,0.028213603898017116,0.7098018576298653,0.03594677727535289,0.8379576469638244,0.02161089310653864,0.7214761287507686,0.04833687210496226,0.7016975308641976,0.05192854736786266,26.593509912490845,0.12448825430926592,0.01050422191619873,0.0015866079798864498
ExtraTrees,0.8,0.024994625868146405,0.7629263790195234,0.028238268932434196,0.6978481530984662,0.04150451105652839,0.8461154177433248,0.017636199447330688,0.8326220233477211,0.047856612280822185,0.6020216049382715,0.047513516622109966,1.4472382307052611,0.23033433826072092,0.30665247440338134,0.20336611558333215
RandomForest,0.792822966507177,0.022220059976865224,0.7606015826873385,0.023478390529079293,0.6971600171825983,0.03260924365752814,0.850156631316394,0.017019715966919754,0.7987824840019051,0.05174988198679315,0.6206944444444444,0.0425538984741421,5.842707943916321,0.04800145972147772,0.19145045280456544,0.06430165534221774
KNeighbors,0.7440191387559809,0.028103684508303195,0.7451445862044215,0.026787169801464873,0.6929449844150997,0.029007802743585845,0.8106988407981625,0.03193316163768535,0.6448450174154681,0.03545534257275252,0.7500154320987653,0.03372998910312528,0.06521444320678711,0.001402456200938885,0.03877415657043457,0.011129292016662051
RidgeClassifier,0.7425837320574162,0.019507349092721733,0.7398666738443869,0.019787774027006363,0.684874181797398,0.022929713574958974,0.8068956359460235,0.02748130880300732,0.6482536724020731,0.027029620170319037,0.7277469135802469,0.04136050706060865,0.11276781558990479,0.002786094008667527,0.01311495304107666,0.0008455700250975549
LDA,0.7334928229665072,0.018051239319835297,0.7327201990022968,0.021221457725779738,0.677384031489961,0.02561528800686364,0.7934634295147861,0.029322369569796097,0.6341515673460781,0.021958897056696337,0.7290123456790123,0.04987807748322653,0.28750669956207275,0.014681782834735934,0.014498710632324219,0.004590861743479848
LogisticRegression,0.7392344497607655,0.03019792062003426,0.7336290778423773,0.02819815818675529,0.6766213241782639,0.03183997906438571,0.8030162575366063,0.028469633727460895,0.6495341833379786,0.040860314229492344,0.7090277777777779,0.04792120165017155,0.8604912996292114,0.21564945183513157,0.019449782371520997,0.011742472988514729
LinearSVC,0.7354066985645933,0.028176000316521652,0.7298023210953201,0.02869940725061133,0.6720431966950728,0.03354487366813406,0.7930308372810795,0.031465877631673536,0.6435364585476945,0.03785422829478862,0.7052623456790122,0.047543803242136154,33.14455235004425,6.206973413483173,0.012916278839111329,0.003933779336818149
AdaBoost,0.7148325358851675,0.03110661208072702,0.7072830085414872,0.0335107834731592,0.6445041384503054,0.04198150693351759,0.7932885174418605,0.028228299539304804,0.6199020783720404,0.037754435033203214,0.6742438271604939,0.06452751868517678,5.340223717689514,0.036671004893252174,0.02241189479827881,0.003197939386550834
Bagging,0.7478468899521531,0.02984204043925869,0.7160784749138674,0.029643432872019822,0.6384097145120107,0.039682750198768886,0.8029867167312661,0.0334289711011383,0.7146439825205003,0.05726124738934742,0.578287037037037,0.0380956569103209,4.894812083244323,0.04707936146039758,0.041179776191711426,0.006797185903585548
Perceptron,0.69377990430622,0.024501262353647853,0.6955609612761987,0.02029790286107651,0.6378142165739465,0.0246699320048816,0.7650478664226241,0.022961884042284244,0.5889162987409773,0.0388809896162686,0.7029012345679013,0.06852523014867708,0.10115036964416504,0.010260650337156656,0.010155463218688964,0.0015800606392686347
SGDClassifier,0.6942583732057417,0.02226580384407177,0.6884447450114843,0.02491241117382764,0.6246727957216833,0.031192636052390425,0.7572640773040483,0.029756622927709853,0.5920783785541881,0.027354627820573334,0.6629783950617283,0.05116419971791287,0.19570660591125488,0.026075133251145223,0.011587285995483398,0.0027769558412881912
PassiveAggressive,0.6875598086124403,0.04244042813400622,0.6818719046080964,0.042795505834163174,0.6176535116830026,0.04920026962163057,0.7316223442434684,0.04356003946171942,0.5861182660147888,0.0537446630876458,0.6568518518518519,0.06808135636891406,0.11444854736328125,0.013530928456323478,0.010941028594970703,0.0024590697492207704
DecisionTree,0.6909090909090909,0.03894944525770887,0.6762137973729543,0.03916908289319439,0.603488237321293,0.04852967147106172,0.6762137973729543,0.03916908289319443,0.5982383028120136,0.05639134720486256,0.6121296296296296,0.06216674774391421,1.0268346548080445,0.05449794049066024,0.009242749214172364,0.0012583350666192205
ExtraTree,0.6808612440191387,0.02366151130864844,0.6646244257823715,0.023699412255836577,0.5886077310600977,0.031053338398287902,0.6646244257823715,0.023699412255836598,0.5850236202660285,0.03514835122843778,0.5944135802469136,0.046894669858478226,0.07662374973297119,0.0017393329636063229,0.013846898078918457,0.0010717085092748207
GaussianNB,0.4980861244019138,0.019065516430326782,0.5744201074863623,0.018660233185567657,0.5811574900224971,0.015760728109371368,0.7038861748133793,0.03980686745069957,0.42802147627606324,0.011622969541149287,0.9054475308641976,0.03380322867685865,0.09763813018798828,0.004647946622644728,0.01602826118469238,0.0023591681006999215
BernoulliNB,0.6416267942583732,0.039484557006273235,0.6265173476528855,0.0423502383478702,0.5454581233212102,0.054794094611996184,0.7019169896640827,0.03832740318574342,0.5330188210199625,0.05188552679727163,0.5609259259259259,0.06948584347472851,0.08754818439483643,0.003672872466943861,0.015613174438476563,0.001688694035174443
QDA,0.7200956937799043,0.029169603123081145,0.64644969763853,0.03797298722067699,0.46916523468145754,0.08309711559942728,0.7529946795147862,0.036346297049248716,0.855431623931624,0.053443758657237016,0.32709876543209876,0.07705806644666059,0.26803128719329833,0.01410067736123937,0.027518415451049806,0.005088630609764778
