Model,Accuracy_mean,Accuracy_std,BalAcc_mean,BalAcc_std,F1_mean,F1_std,ROC_AUC_mean,ROC_AUC_std,Precision_mean,Precision_std,Recall_mean,Recall_std,FitTime_mean,FitTime_std,ScoreTime_mean,ScoreTime_std
XGBoost,0.8038277511961722,0.022214335370309594,0.7844858509187481,0.024869238898453667,0.7326752643246788,0.032508576550910794,0.8639158053402239,0.01696508454593676,0.7702971915022021,0.034902078475408466,0.700354938271605,0.04751822790449428,33.843124055862425,0.1850941501234077,0.025884032249450684,0.006193189767932968
CatBoost,0.8004784688995216,0.03093029953964501,0.7815440622308355,0.029481965539210193,0.7296142062352767,0.03684848518505663,0.8564771748492678,0.01860482778890475,0.7667077331585299,0.05711465861156016,0.6990740740740742,0.04575298481596788,69.84118049144745,0.7460614554089551,0.07152607440948486,0.04381882160572946
HistGradientBoosting,0.7961722488038278,0.027550651204707108,0.7777758936261843,0.028769395009339,0.7247519422765493,0.03610322866023668,0.8557777957220786,0.01996340292783871,0.7551118580624623,0.041304904454605405,0.697824074074074,0.041761719679488246,10.522973775863647,0.03631957238005706,0.019808483123779298,0.004629909360978771
LightGBM,0.798086124401914,0.018156618144507437,0.7779740435687625,0.02100929441679015,0.7240731633975034,0.027875298884256407,0.8567873420901522,0.015959525795117762,0.7639659571521122,0.03199326313591743,0.6904320987654321,0.04770984464118799,32.187144827842715,0.895842459227791,0.024709153175354003,0.004657914703254811
NuSVC,0.7866028708133971,0.022351321264886575,0.7718895797444733,0.019405318395098497,0.7186891434051683,0.023497949201190155,0.8467772484209014,0.02362932700764594,0.7321792780444513,0.04125838300107426,0.7077932098765433,0.03247072738201229,1.737925362586975,0.526920316223295,0.17507314682006836,0.06984903873622368
RandomForest,0.8014354066985646,0.026231075284527148,0.7741209086993971,0.02789024495858298,0.7172905239051622,0.03784643103962652,0.8536940362115992,0.01679473198561842,0.7940771071836447,0.04790939644318551,0.6555092592592593,0.04391636878726302,6.307638168334961,0.16637230721379634,0.26727938652038574,0.16360485401136132
MLPClassifier,0.7875598086124402,0.028189538877557527,0.7700271631854723,0.03399685756617474,0.7142848632799852,0.04283275012104679,0.8344662916307779,0.027472446549359937,0.7384321929458505,0.034276575483875325,0.693996913580247,0.06655788044416781,3.483497452735901,0.3023839508343308,0.013272738456726075,0.005544003622575485
ExtraTrees,0.8028708133971291,0.02509618917099963,0.7724624066896353,0.027763094923414108,0.7138431367266275,0.039033707897822754,0.8440484810149297,0.018295234449995007,0.8083656642897038,0.04486050523212136,0.64054012345679,0.046631789088319754,1.3740875482559205,0.2104853059254234,0.2785099983215332,0.20179203516320768
SVC,0.7779904306220095,0.03110661208072701,0.7634903683964973,0.0248550598976666,0.7091182590579705,0.02823462502609161,0.8398221719781798,0.024952024866061732,0.7211333515289212,0.056963082463701846,0.7003395061728396,0.023838116808357377,1.6161617279052733,0.4370346690146825,0.2253079891204834,0.11934174054686093
GradientBoosting,0.7727272727272727,0.03324507748911617,0.7589618549023831,0.03095097177284331,0.7034763374831778,0.0375791540034906,0.8370662638171117,0.024768570843740737,0.709805176911204,0.0538484992529105,0.6990586419753086,0.03591871957973341,29.363565111160277,0.1902791532679568,0.009880423545837402,0.0016942495710054232
KNeighbors,0.7291866028708134,0.03966132323411688,0.737337379773184,0.037606090690455486,0.6876672685241596,0.038793241680328744,0.8050078730620154,0.031818172508537246,0.6203034030728574,0.04498862103808309,0.7725308641975308,0.035114345818441625,0.08432662487030029,0.003218594812074684,0.03620195388793945,0.0016507905149269818
LogisticRegression,0.7368421052631579,0.03501514896347711,0.7321383550459374,0.033088662915713635,0.6754931764760044,0.03740155458470661,0.7971681650157909,0.030524022597659805,0.6453589863706733,0.045754314957679884,0.7114969135802468,0.05016902549030851,1.1999069690704345,0.04845735707289395,0.014875841140747071,0.008809851952950757
RidgeClassifier,0.7320574162679426,0.03165778826360321,0.729906330749354,0.03189639726427615,0.6739704682469866,0.036311702773217665,0.7981662270312948,0.02868331819684515,0.635100684276763,0.040207157020544546,0.7202777777777778,0.05224849720204695,0.12847588062286378,0.011069461431178854,0.013162851333618164,0.002527763448807348
LinearSVC,0.7330143540669857,0.02685873612123877,0.7290254674490381,0.029081248069768525,0.6717867503741135,0.03481567010396341,0.7880042348550101,0.033722499792526416,0.6375917846132109,0.03282943348902079,0.7114969135802469,0.05095684568687518,22.775312900543213,4.46730666087365,0.012945032119750977,0.003915468521367983
LDA,0.7220095693779905,0.03177408175288802,0.7217301670614413,0.033106341482538784,0.6655869453944276,0.038010817593303575,0.7869695216049382,0.029749099806511817,0.6206693596581859,0.03943447261958867,0.7202469135802471,0.058326383485082886,0.3096118450164795,0.01776474182786142,0.014027237892150879,0.00418950995708334
AdaBoost,0.7253588516746411,0.0331646410987433,0.7180593462891187,0.031139007217405517,0.6580451918686518,0.0368155811038193,0.7942156097473443,0.03324980413218243,0.6345948024140616,0.049880598108242406,0.6865123456790123,0.049559984898792646,5.792833161354065,0.020578213012266186,0.021849417686462404,0.00358423005618027
Bagging,0.7526315789473684,0.028534830441209396,0.7274582570700546,0.03140761928233822,0.6569102990916648,0.04290618026089241,0.8072150445018661,0.03747318245995655,0.7055482275301559,0.04636478046055508,0.6182098765432098,0.06422942583756498,5.202741885185242,0.06287238214305162,0.04587101936340332,0.020022676843005016
Perceptron,0.701913875598086,0.03609190845099733,0.6939985509977031,0.036258590350139515,0.6296839927964247,0.042139610560204856,0.7467080731409704,0.034684139774314275,0.6052429504052247,0.04821518477169591,0.659320987654321,0.058258220196765735,0.1309501886367798,0.011714643336535002,0.014321994781494141,0.002262838338212748
SGDClassifier,0.6966507177033493,0.03270120926663937,0.691534192865346,0.03123212473804024,0.6294445119185863,0.03482759624628156,0.7491388978610394,0.021069994527018857,0.5955388909624959,0.04196572839622812,0.6691512345679012,0.04011194371594456,0.2411571741104126,0.0309566191627595,0.011794376373291015,0.00283682718749979
