Model,Accuracy_mean,Accuracy_std,BalAcc_mean,BalAcc_std,F1_mean,F1_std,ROC_AUC_mean,ROC_AUC_std,Precision_mean,Precision_std,Recall_mean,Recall_std,FitTime_mean,FitTime_std,ScoreTime_mean,ScoreTime_std
LightGBM,0.7856459330143539,0.021013931855822142,0.7816443708728109,0.021860325714615745,0.7324074121056797,0.026185875266869878,0.8527081090295722,0.013700765706586281,0.7064071794373513,0.034488593907644756,0.763858024691358,0.05437210191803371,28.539634704589844,0.6875711997855168,0.02103545665740967,0.003618992087365956
RandomForest,0.7909090909090909,0.0280855764622812,0.7789097939994258,0.025874116223899988,0.7278612578770409,0.03194096181813269,0.8441652086922193,0.01634757877719791,0.7331910914014996,0.050534873503844446,0.7264969135802469,0.05093460509239906,3.2647752285003664,0.22421991036861294,0.4126012325286865,0.1595039055366194
CatBoost,0.7832535885167464,0.025721875704718875,0.7768338178294574,0.02432917279122265,0.726613870428827,0.02852670169664523,0.8527596988946311,0.014594890554321968,0.7084229756042044,0.04217716691024011,0.7487499999999999,0.04590411449494743,64.37051470279694,0.9842833686150927,0.06760661602020264,0.0380830239991232
ExtraTrees,0.791866028708134,0.02291883231770321,0.7777559754521964,0.021943028335006155,0.7257662243480041,0.027440137860252057,0.8451793084266438,0.011923549775363038,0.7386286888470968,0.042599067225072965,0.716388888888889,0.04579690649467169,0.8654571771621704,0.16171968414216437,0.2803135871887207,0.13129336236314926
XGBoost,0.7799043062200957,0.020548801797009776,0.7748364601277633,0.015699945023154773,0.7246877356817419,0.018137513537687958,0.8590737600488085,0.014050207306461986,0.7020235277801025,0.03919556299685975,0.7525617283950616,0.0432062143264834,28.50314950942993,0.47406637125090056,0.02509274482727051,0.006535210120258953
NuSVC,0.7803827751196172,0.02585995425042718,0.7735757159776055,0.024280281966573055,0.7227118198069005,0.028772424065525628,0.8395909148004594,0.02247621364036146,0.7050978274413471,0.04059775957264184,0.7437962962962963,0.04300047240758702,0.7468417882919312,0.04554647997970606,0.14619405269622804,0.02848921917921644
HistGradientBoosting,0.7760765550239234,0.022868833593537363,0.771046915374677,0.02385056961733985,0.7197179728121921,0.02913976426780012,0.8523572082256674,0.013074279451345155,0.695715608363182,0.034634327460706646,0.7488888888888889,0.056930516212913986,9.7341388463974,0.03651210778600434,0.021106243133544922,0.0045249014484333395
MLPClassifier,0.7607655502392343,0.031334741155324565,0.7600456682457651,0.029100199333345393,0.7087325607699626,0.03318992276178481,0.8332620944588,0.023680129573687914,0.6696264364028811,0.042475932152833545,0.7564043209876543,0.053615643413707656,3.2024549007415772,0.24963878335524312,0.015542745590209961,0.005032549584779787
SVC,0.7717703349282297,0.029585219480754172,0.7584257240525408,0.024939013980055273,0.7030076615567689,0.02883977651691624,0.8317103161785816,0.022676118123055544,0.7084637645890997,0.049294578370124485,0.7003240740740742,0.033541575844246316,0.6167321920394897,0.06328561166323025,0.17404701709747314,0.03814609395138506
GradientBoosting,0.7559808612440191,0.02311224361433723,0.7517191088860178,0.016432341238677393,0.698162893171399,0.017720606380992,0.8306092763063451,0.019162349653672285,0.6701928673767668,0.04124704650993596,0.7327623456790123,0.04353925084279667,18.115710806846618,0.05677817991651676,0.011396193504333496,0.0011755741319472606
