Model,Accuracy_mean,Accuracy_std,BalAcc_mean,BalAcc_std,F1_mean,F1_std,ROC_AUC_mean,ROC_AUC_std,Precision_mean,Precision_std,Recall_mean,Recall_std,FitTime_mean,FitTime_std,ScoreTime_mean,ScoreTime_std
XGBoost,0.8043062200956937,0.02226580384407179,0.7848640719207579,0.02001197867134285,0.7338295040582143,0.02485629892991017,0.8654007410996268,0.01949254980046313,0.7730739077407539,0.046171280461329824,0.7003240740740742,0.030220784079182137,36.02348845005035,0.6300823652426407,0.028921866416931154,0.006109367733488133
CatBoost,0.8043062200956937,0.02327128097859143,0.7843832095176573,0.022361627306021724,0.7330345666623356,0.028725127104541136,0.8610377189204709,0.02012083632903105,0.7739007066052064,0.04540613932877448,0.6978240740740741,0.03286424767645116,73.60999853610993,0.711941949459169,0.03816022872924805,0.01609454847326588
NuSVC,0.7985645933014354,0.024754311928154003,0.7825472832328451,0.02667700317301628,0.7309821993686197,0.03317744661535042,0.8517082974447316,0.02437505464539177,0.7532799572782397,0.041941851313124966,0.7127932098765433,0.05323875018644237,5.6802191734313965,0.01568010700375784,0.6452798843383789,0.020982945345393873
HistGradientBoosting,0.8,0.02286883359353737,0.7813649556775768,0.022392797782445628,0.7292542102892525,0.027906697326857674,0.8607801284811945,0.020322986250254072,0.7636796854355675,0.044798988557984906,0.7003086419753087,0.041348810471639956,15.860958075523376,0.04975478471401894,0.02430121898651123,0.006302322022328497
LightGBM,0.7985645933014355,0.0193305119950567,0.7795056793712317,0.019905845410865826,0.7267133766382822,0.02603124160768083,0.8589350057421763,0.015932985389779435,0.7615967625787373,0.03808097496624903,0.6966203703703704,0.03785969440331792,31.09200761318207,0.3224367494083403,0.02566063404083252,0.004183459288330233
SVC,0.7947368421052631,0.021804047017715305,0.7782829322782084,0.02386653094094008,0.7255892854189401,0.02975605085931016,0.8487069336778639,0.025804068238253992,0.747904475453254,0.03453335662849149,0.7066203703703704,0.04779276943987928,4.689055299758911,0.034404494493494905,0.6200788021087646,0.021830606440209257
ExtraTrees,0.80622009569378,0.02873027676977961,0.7793934601995407,0.0323040006945164,0.7240061883353512,0.044641908403573904,0.8503746321418317,0.019311264647585053,0.8003567284699027,0.04797968298560257,0.6629475308641976,0.05622724240027098,1.4557077169418335,0.19280820611929395,0.29265925884246824,0.14464979781462153
RandomForest,0.8038277511961723,0.02571693061658229,0.7777129988515648,0.02558340711401842,0.7226786258041974,0.03452618724632995,0.8519291693583118,0.0192081224193278,0.7952472849151658,0.054773731879465874,0.6642438271604938,0.039997365051699756,4.858618068695068,0.5215376181285681,1.0088911771774292,0.4958560704996372
MLPClassifier,0.7818181818181819,0.029077895183612947,0.766802078847258,0.03337562226020401,0.7112958472698739,0.04253310302102619,0.8401117481337929,0.02048204211297437,0.7243268961052131,0.04341702366815599,0.7015123456790124,0.06417954896150882,5.661881017684936,0.5083043291070374,0.0188385009765625,0.005700525047870059
GradientBoosting,0.778468899521531,0.030012033500153294,0.7627265019379845,0.029020118243462054,0.7069631245722804,0.035875140689068365,0.8406553931596326,0.026335373473549667,0.7227465927684609,0.04877687410177919,0.6941666666666666,0.04388700053238214,31.274230074882507,0.13579445780143956,0.01320054531097412,0.0016448954856723597
KNeighbors,0.730622009569378,0.02790384969825261,0.7354659910637382,0.02868855602243171,0.6835765300858576,0.031618417723615205,0.8144083091085271,0.03024356345352563,0.6242910391175018,0.032372375212483255,0.7563425925925926,0.042027564327131554,0.13911242485046388,0.002361641715451904,0.060025382041931155,0.0016440323424030223
RidgeClassifier,0.7401913875598086,0.031742043346199636,0.737957602103072,0.02691097523252474,0.6833303876450239,0.028142700894951835,0.7941159740166522,0.02567590178664839,0.6477560246692458,0.046603041802337646,0.7277623456790124,0.04996910773639734,0.219502854347229,0.0034207546068130783,0.01735193729400635,0.0010128901742412623
LogisticRegression,0.7464114832535886,0.02789929136289618,0.7394813199827734,0.026206970578758336,0.6827777388892793,0.030116875601767835,0.8053600523973585,0.026371889400299726,0.6607758719639388,0.043410618333366464,0.7090740740740741,0.043768423613226984,1.714465284347534,0.036396235698509895,0.02182481288909912,0.009995831599416931
Bagging,0.770334928229665,0.02470802772700108,0.7455566770743611,0.024251022479606584,0.6810359173859992,0.03226992769730261,0.8205001076658054,0.024048985135508665,0.7349812599387071,0.05397643159064131,0.6380246913580245,0.04808557671419919,5.624018907546997,0.08885236225911779,0.06463782787322998,0.050919068656541146
LDA,0.730622009569378,0.026308538946070725,0.7303879782156187,0.022671869977840098,0.6756631376838692,0.024702149174481,0.7744017818690784,0.02509143167477993,0.6323662771339649,0.0414008786441627,0.7289506172839506,0.04334379355849373,0.8218193769454956,0.06825530632539292,0.01764829158782959,0.0048463356974950324
AdaBoost,0.7320574162679425,0.035662966148322,0.7254907093382142,0.0326168339527532,0.6671034536539351,0.03776717192248493,0.7996702286103934,0.0339226031312169,0.6428795339860607,0.054046610141607776,0.6966512345679012,0.04685816173435675,6.408253765106201,0.02439620822989695,0.03320448398590088,0.0020799294770992775
LinearSVC,0.7301435406698565,0.026419495044145015,0.7236401135874246,0.02646463003313635,0.6644845389502683,0.030909250064805324,0.7872712998851565,0.025108122895081596,0.638485055603066,0.036979691592497546,0.695324074074074,0.050065741658157165,43.424382257461545,3.0630557749387837,0.016937899589538574,0.004305468518769636
SGDClassifier,0.7177033492822967,0.03552002783304637,0.7082136672767729,0.0366528613138552,0.6448363927312445,0.043576784487893226,0.7732039549239162,0.03620434841376512,0.6260218003586304,0.044422915047378594,0.666820987654321,0.056363204169599126,0.3494515657424927,0.034445889944758216,0.014894866943359375,0.0034785440297970104
Perceptron,0.7066985645933015,0.0404141821122762,0.7030547032012633,0.04142043650722424,0.6430322530148931,0.04708199931342083,0.7636485249784669,0.03638954059342707,0.6059070898568614,0.048324211165890224,0.6867901234567901,0.05731367814862948,0.1976099729537964,0.012246294923789359,0.01520845890045166,0.002510066637536282
DecisionTree,0.715311004784689,0.033168475826292544,0.7055628902885445,0.03639711550414716,0.6406389165195531,0.04737904681967473,0.7055628902885444,0.03639711550414714,0.6238680332302601,0.04585522246814258,0.6630092592592594,0.07610439986175574,1.4564405918121337,0.07070447791581896,0.013151192665100097,0.0015938048207262512
PassiveAggressive,0.7004784688995216,0.02836943565468471,0.6935711177505025,0.028486544233657388,0.6296630841151349,0.034884877021862576,0.7609828990812517,0.02621567751985477,0.602043174627095,0.03795086631421339,0.6631172839506172,0.056996302608740154,0.22398128509521484,0.023735811435896363,0.014225625991821289,0.002658101811777627
ExtraTree,0.6856459330143541,0.031822078882593495,0.6716345912288256,0.03553709933304895,0.598410103873892,0.04514067307980257,0.6716345912288256,0.03553709933304895,0.588071955281311,0.038419802847026015,0.6107716049382715,0.06166083408390706,0.16169414520263672,0.003515636397328978,0.01581878662109375,0.0012190570293849174
BernoulliNB,0.6775119617224881,0.03191387161283767,0.6631043191932242,0.033156879190157515,0.5883846852011521,0.041955083689501675,0.7350028037970141,0.03005491797939535,0.5790734443070066,0.041202386455903565,0.6006635802469136,0.05879254053725787,0.16501915454864502,0.0035835716172017665,0.01999640464782715,0.002046421770134374
GaussianNB,0.4444976076555024,0.02010455236256066,0.5416367669753086,0.016319765717136125,0.5715045901079906,0.01082750083142392,0.545528549382716,0.017142368416895308,0.40645533387220123,0.0099023468620846,0.9627006172839507,0.017534143815508035,0.1955012083053589,0.0035331957521968806,0.02568955421447754,0.0018132092778647168
QDA,0.7057416267942583,0.028194050286544953,0.6278093821777203,0.03704840091345152,0.4264865813765747,0.08563992165649756,0.7526937535888601,0.03353465590063827,0.8380631035402095,0.042457994032476395,0.2898302469135803,0.0765746777681551,0.8298819065093994,0.07417016670625504,0.04513266086578369,0.011851212515355643
