Model,Accuracy_mean,Accuracy_std,BalAcc_mean,BalAcc_std,F1_mean,F1_std,ROC_AUC_mean,ROC_AUC_std,Precision_mean,Precision_std,Recall_mean,Recall_std,FitTime_mean,FitTime_std,ScoreTime_mean,ScoreTime_std
XGBoost,0.7866028708133971,0.02335311670522887,0.7814374282227965,0.0245436794268471,0.7319143971176025,0.029495476053374277,0.8620142926356589,0.015793402789551284,0.7098426323684948,0.03547610893942785,0.7587808641975308,0.05648258008256423,27.491028475761414,0.301279472817012,0.027603721618652342,0.006426706871401331
ExtraTrees,0.7976076555023923,0.021164700985688855,0.783164275588573,0.027527605513355514,0.7313760371127894,0.03600232011505976,0.8503333378194086,0.017872628779902602,0.7461293977074158,0.029012200325549603,0.7202469135802468,0.06494975827724576,1.114430022239685,0.04575863694905744,0.12626936435699462,0.025646214628549827
LightGBM,0.7818181818181819,0.02431367017564213,0.7780473011771462,0.020878303704777477,0.7287471363747906,0.023991486837298074,0.8543413095750789,0.01402452475173501,0.7020864717725664,0.04232801500656686,0.761327160493827,0.04598099076201585,26.830688691139223,0.27071516592141515,0.027772402763366698,0.0050572637995049165
HistGradientBoosting,0.7818181818181819,0.018762923342714826,0.7765997344243468,0.018033879142364914,0.7264692670802438,0.021614672439465226,0.856012641759977,0.017819744954513002,0.7036932488910532,0.034473410654826495,0.7537808641975309,0.04611959018142875,13.482067561149597,0.057978582559796696,0.021819233894348145,0.006142047777252457
MLPClassifier,0.7741626794258373,0.02609008618395984,0.7751005329457364,0.030641032219679277,0.7253972342450699,0.03559849202876245,0.8346640378265862,0.018817150271520068,0.6819431542663759,0.03466327737131169,0.77875,0.06963421145324135,3.7426449060440063,0.47406615750886255,0.02542142868041992,0.02413651240507393
CatBoost,0.7794258373205742,0.02109246630062088,0.7730473011771462,0.019007718932321328,0.7220030763700666,0.022926573254192582,0.8545793855871375,0.012829315679102565,0.7035194340009111,0.03735005666607761,0.7450771604938271,0.04875205197923275,63.625074577331546,0.9899549162463623,0.06964693069458008,0.034420686952309466
RandomForest,0.7889952153110048,0.02625046263032575,0.7740542231912144,0.02160018535950436,0.7215141414365683,0.02589437080751,0.8464412862474878,0.019676970459745955,0.7383909860012353,0.053822540690532175,0.7090277777777778,0.038756814749307006,3.207309103012085,0.04919401613284467,0.16092925071716307,0.03845003681103077
SVC,0.7861244019138757,0.026114448955337915,0.7708206377404536,0.026550069028954182,0.7168768978163046,0.03257316550348424,0.8427333207723228,0.027039421073751842,0.7321326079700723,0.041096384506828836,0.7041049382716049,0.04315375789473338,0.9044981718063354,0.11458231616146711,0.33199570178985593,0.08937200562650569
NuSVC,0.7818181818181819,0.022690168094135564,0.7691992580031581,0.024677403133616965,0.7153467839547599,0.030819863956131757,0.8493138547947172,0.026669162211800518,0.7191348147744577,0.03589430254804948,0.7140586419753088,0.049831872087115245,0.9943453073501587,0.14255235695426038,0.3045186519622803,0.10907989531044791
GradientBoosting,0.762200956937799,0.031176042010911502,0.7567314007321275,0.027978647296801287,0.7035073808502927,0.03175945808402574,0.8395667124246339,0.024733194972437974,0.6795097584545727,0.043555167604367534,0.7326851851851852,0.04682730452110272,17.687640953063966,0.1010275627588417,0.01176915168762207,0.0023224732011441485
KNeighbors,0.7435406698564593,0.031993477303017125,0.7423372900516796,0.03196006539317879,0.6881242871127478,0.03692925776862611,0.808994177074361,0.031248316717045782,0.6490522313149156,0.04375399087342377,0.7365277777777779,0.06403604294933905,0.08908619880676269,0.0012768615186878384,0.050845551490783694,0.024836091647194053
RidgeClassifier,0.7354066985645933,0.021044172095752132,0.7373044744114269,0.025424092036748946,0.6835502238539133,0.030392611440409157,0.7902764768159634,0.021351636872718086,0.6329111131880032,0.023673811028989765,0.7451697530864199,0.05723046068297255,0.0945777177810669,0.004801157066184619,0.01404111385345459,0.0023777253546405797
LogisticRegression,0.7320574162679425,0.026400231829739773,0.7320429586563307,0.025331711497409346,0.6773300393408479,0.028684212910921644,0.800488668173988,0.024212570216554423,0.6328778434324152,0.034862903786329356,0.7315277777777778,0.05055885970885851,0.7494385719299317,0.1139823842773678,0.030764079093933104,0.018153994015612393
AdaBoost,0.7330143540669857,0.021373991155025147,0.7286382742965835,0.02092939749469798,0.6710594621683457,0.026519392540576156,0.8035221073786964,0.030177714912982895,0.6395204118647876,0.03226955907166957,0.7091358024691358,0.052232217471504604,3.694574809074402,0.021874688919916913,0.02957141399383545,0.003318621085142102
Bagging,0.7483253588516746,0.015495958917373058,0.7330765279572208,0.015518549381369246,0.6704953422863762,0.02084680230851128,0.812711675459374,0.023727608216018874,0.6770702117986425,0.03042882344547241,0.6667283950617284,0.044416703257403,2.9459015130996704,0.040980773006386834,0.0458186149597168,0.008295048737610096
QDA,0.7650717703349282,0.026443554328835987,0.736264961060867,0.030771164329702384,0.6660233920048575,0.0456311121002585,0.78298588680735,0.033576920515670336,0.7340640992981987,0.04222184970973388,0.6117438271604938,0.058602048081735844,0.3852370262145996,0.025268840369409764,0.04363186359405517,0.006051931912040244
LinearSVC,0.7200956937799043,0.02400305732582519,0.7211266553617571,0.024503238637863415,0.665629952233336,0.028591605875092293,0.781147941788688,0.019349351973810568,0.6171166164551671,0.032118661760127044,0.7252777777777778,0.05282207007231527,19.756703281402586,1.0567589264336006,0.025788640975952147,0.015700941151490462
LDA,0.7129186602870814,0.018735789672202147,0.7173972688774045,0.018533022835029646,0.6635784422035939,0.02072100228652456,0.7625887794286534,0.021389892761772382,0.6050272134507165,0.02428765171759078,0.736466049382716,0.03974137815998379,0.4222578763961792,0.022791745424572445,0.015585064888000488,0.003246225563006792
SGDClassifier,0.7071770334928229,0.032592127016127084,0.7074194525193798,0.03397662078523369,0.6497971542952126,0.03890619879869343,0.7661066250358886,0.024376167740672455,0.6031440652664108,0.0381185658268311,0.7079166666666666,0.06562455721652291,0.21841061115264893,0.021858516762283283,0.015073037147521973,0.0029561588140476756
PassiveAggressive,0.6985645933014354,0.023440093232374906,0.7013549068690783,0.0320155768384336,0.6440681528717921,0.03879224305068406,0.7625789100631639,0.03143380032372613,0.5887099876668866,0.018060518137655916,0.712962962962963,0.07165949892615028,0.17458226680755615,0.013682028722522098,0.01781909465789795,0.0033706466325035137
DecisionTree,0.6861244019138757,0.03094263301506291,0.6881049023830031,0.029847164566378225,0.6307886031118719,0.0325751846761245,0.688104902383003,0.02984716456637824,0.5773770433017461,0.03692440391723044,0.6965586419753087,0.04018678723109276,0.6965496063232421,0.04590406221542768,0.01144111156463623,0.0014813939782287841
Perceptron,0.6866028708133972,0.029256676758922077,0.6871573535745048,0.025953561375086767,0.6285849695903634,0.02795417520854707,0.7555774027418891,0.02816318231159605,0.5796878565615879,0.03434947639793196,0.689212962962963,0.04519374429362185,0.12865762710571288,0.0073804183380858064,0.014404582977294921,0.0022711748333449607
ExtraTree,0.6564593301435406,0.031641714239584666,0.6586566896353718,0.030541884829286218,0.5996410643928716,0.030968556364330112,0.6586566896353718,0.030541884829286235,0.5445604976050865,0.034140787799338365,0.6680401234567902,0.03480374137416148,0.09745817184448242,0.002079977147540113,0.015086007118225098,0.0009309640615238708
BernoulliNB,0.6789473684210526,0.0304662773136372,0.6617033403316108,0.029740335967396385,0.5843359493881273,0.03623927342618685,0.734534255670399,0.029472386679647848,0.5837580881409621,0.041276512199620724,0.5869907407407408,0.045967974471885054,0.10579218864440917,0.004776785010041094,0.019196605682373045,0.0020856832444080668
GaussianNB,0.44688995215311006,0.018212570875432467,0.5454692883290267,0.012668355037402183,0.5750917425246473,0.006997711563084085,0.5506322225811082,0.014890404617936533,0.4083340035940318,0.0083706403269285,0.9726851851851853,0.013956169913579765,0.117822265625,0.00519876335715088,0.023415088653564453,0.002707369226965774
