Model,Accuracy_mean,Accuracy_std,BalAcc_mean,BalAcc_std,F1_mean,F1_std,ROC_AUC_mean,ROC_AUC_std,Precision_mean,Precision_std,Recall_mean,Recall_std,FitTime_mean,FitTime_std,ScoreTime_mean,ScoreTime_std
LightGBM,0.8033492822966508,0.017536608621886392,0.7791970822566754,0.02182567193475572,0.7244055924495739,0.029768680516587608,0.8598921098908987,0.012312948341693471,0.7856469848480209,0.02988990582024595,0.674212962962963,0.0498456232720197,29.214278364181517,0.5954162544544239,0.027109956741333006,0.0049780073190269225
XGBoost,0.8028708133971293,0.019112155890201262,0.7771416074504738,0.022686575911877574,0.7214423116990555,0.030729324721423514,0.8658547767728969,0.018495701397743196,0.7902042166026526,0.03289011696293568,0.665462962962963,0.04719227871573821,31.93031840324402,0.5100615880831009,0.025770163536071776,0.00845025662435899
CatBoost,0.8043062200956937,0.026635246249623285,0.776937805053115,0.029974136834609727,0.7204565056047066,0.040736078082381076,0.860716291630778,0.018663792096978517,0.8007102895506305,0.050817482257851786,0.6579938271604938,0.05851109863072832,68.12504334449768,0.7716587256420177,0.07990508079528809,0.048694016252779776
MLPClassifier,0.7904306220095694,0.029563717028985033,0.7735827366853287,0.032450255583571126,0.7193492058865166,0.04124004124771629,0.8381416433390754,0.020253984376394033,0.743067681533822,0.047700871086327375,0.7003086419753087,0.06188799668912895,7.750668239593506,0.77324161547921,0.018945598602294923,0.006545911326468275
ExtraTrees,0.807177033492823,0.02949911563261535,0.7759612313379272,0.03213215789291132,0.7184024364156942,0.04465588539637632,0.8533449522681597,0.019772404528699696,0.8198589437090771,0.05332139226997161,0.6405246913580247,0.04858953404464808,1.4815705060958861,0.05936815897173885,0.15043962001800537,0.04326295115038435
NuSVC,0.8047846889952153,0.02732816585722985,0.7752370217843811,0.027022992630366754,0.718292372969196,0.03699632043363884,0.8537194946884868,0.024651169437060694,0.8115209511677335,0.05962159382868341,0.6468827160493827,0.04437221449313611,3.2352986574172973,0.1289484398021426,0.44780826568603516,0.09964768372337539
HistGradientBoosting,0.7961722488038278,0.01705868192296131,0.7701027535529715,0.019782604429994886,0.7121079762195818,0.027583107951355886,0.8569951370944588,0.01840304010337245,0.7802279233946002,0.032800633235802346,0.6568055555555556,0.04294096523563778,14.362696313858033,0.04520904651002162,0.0238361120223999,0.00668892090030714
RandomForest,0.7961722488038279,0.020573544493265844,0.760761735572782,0.02446139946049732,0.69542416109985,0.03550549469210146,0.8519750619078381,0.016858037824298594,0.8178185726959699,0.04092608703715299,0.6070370370370369,0.04988737124243231,4.4962984085083,0.028459441919645504,0.12151916027069092,0.022182161434730088
RidgeClassifier,0.7641148325358852,0.02906477042772716,0.7506284767082974,0.026673234611947205,0.6928456833628127,0.03096100926856456,0.8020350631639392,0.02710815936728787,0.6994507185480439,0.05578473944684607,0.6916820987654322,0.05494397646510149,0.14647772312164306,0.003804747904239817,0.01575756072998047,0.0025910001281177013
GradientBoosting,0.7842105263157895,0.02748131802406755,0.7557372416020671,0.029652820459086068,0.6919820779079509,0.04039321042310128,0.8474549373743898,0.02877878147875255,0.7693245024272864,0.050356545336214864,0.6319444444444444,0.05585297047451104,22.839507937431335,0.11075246311493753,0.012221455574035645,0.0013579006502368637
SVC,0.7889952153110047,0.02961959093525076,0.754470239376974,0.030892126213012405,0.6875283504362798,0.04423108198802456,0.84663266221648,0.027160080849155884,0.8015452376016254,0.057930582347165846,0.6045679012345679,0.05316228986789128,2.8258387804031373,0.1068399102144241,0.48520214557647706,0.0740614628578364
KNeighbors,0.7727272727272727,0.027183509647622523,0.7496778773686477,0.030110222689544153,0.6868557084158546,0.04083804860406765,0.8182978709086994,0.03182459272501217,0.73080963330759,0.04190264117115832,0.6493981481481481,0.05122668855818321,0.08943161964416504,0.0014934539084436522,0.09768090248107911,0.0020425909399913013
LogisticRegression,0.7626794258373206,0.020696814287091976,0.7454744697459087,0.01787166356959607,0.6849182385971939,0.02104369308479968,0.8106941304191789,0.025503234705308592,0.7034353530470625,0.042046727932040825,0.6705092592592593,0.0396929026711879,1.095021939277649,0.09612662432364524,0.01699368953704834,0.010608107533098403
LDA,0.7473684210526316,0.030244213884870308,0.736995383828596,0.02642528684265116,0.6784115666056455,0.03027982612889426,0.7830168855871376,0.026719163703254147,0.6697711062057817,0.056959894241691546,0.6916203703703705,0.0437516889399964,0.6476749658584595,0.052192182078839716,0.01772639751434326,0.0044945685421778755
Bagging,0.7679425837320575,0.013766089714220154,0.7348235850918748,0.014992953830815699,0.6615016760900032,0.023270414264510896,0.8185717906617859,0.01673793774710592,0.7560811599493997,0.03895359116464729,0.5909104938271605,0.04438054164655121,4.289043617248535,0.0664856718094851,0.04570448398590088,0.011402305547988099
LinearSVC,0.7397129186602871,0.021182721168592017,0.7242055385084697,0.019292112916809878,0.659961600298993,0.02263627835077549,0.7929312015503875,0.023953519862483796,0.6657720461689117,0.03667800156201956,0.6567746913580247,0.03929229401978626,30.65197515487671,2.649255520790689,0.01695542335510254,0.00441103379381103
AdaBoost,0.7497607655502392,0.032611632749524486,0.7185418461096756,0.03389763267535897,0.6413027832255941,0.04709506411184488,0.8141858446382428,0.036321072734963274,0.7182522392548452,0.06197773903939566,0.5832561728395061,0.06204736902886338,4.660589241981507,0.03305204972769245,0.029092574119567872,0.002101723946970243
PassiveAggressive,0.7220095693779903,0.038373749301780335,0.7073748160709158,0.03773837080585483,0.6401132595832264,0.04534061383841104,0.775636349770313,0.028757087679848928,0.6414809080846713,0.05650228549670329,0.6432561728395062,0.06157641828171354,0.15924644470214844,0.02545584549341379,0.013159823417663575,0.0034774023382145598
