Model,Accuracy_mean,Accuracy_std,BalAcc_mean,BalAcc_std,F1_mean,F1_std,ROC_AUC_mean,ROC_AUC_std,Precision_mean,Precision_std,Recall_mean,Recall_std,FitTime_mean,FitTime_std,ScoreTime_mean,ScoreTime_std
MLPClassifier,0.7535885167464115,0.041848937044344274,0.7350883768729221,0.04344298039606708,0.6691132577851417,0.05659506095358809,0.801841152704684,0.03705071541680839,0.6924863333878727,0.06616761502437075,0.6521976549380636,0.07595918558329738,4.593411087989807,0.36710831884573913,0.016155099868774413,0.005135446344209662
LightGBM,0.7669856459330143,0.03801411233921904,0.7349856192088924,0.041165202858878945,0.6600309707816145,0.06111438814447219,0.8158694640379851,0.03765321306191319,0.7473680855934729,0.047160073500161874,0.5946666762036047,0.08097975793412446,42.436679935455324,0.2020160123089318,0.023441886901855467,0.003165158119695395
NuSVC,0.7545454545454545,0.03406140006417206,0.7260443485102901,0.03405618845242349,0.6525000361466151,0.04775806331129583,0.8170043683437997,0.04011352310729552,0.7157344457735024,0.053746006108889924,0.6027409207703647,0.06338964118641215,1.74888756275177,0.5206206979725855,0.471273136138916,0.29035392556087997
XGBoost,0.7631578947368421,0.04227227521753931,0.7297546623460355,0.04391903209071003,0.6507029986382697,0.06615890472799879,0.8216817864634661,0.03853567141689541,0.7495428710313674,0.05941721507801597,0.5799789984543329,0.08629644463859813,53.77350022792816,0.609680481385646,0.026144814491271973,0.007917081668362334
HistGradientBoosting,0.7602870813397129,0.03688661120081657,0.7263032108595207,0.03702688895192569,0.6483774643787985,0.05593601607244802,0.8095183330462026,0.04318219945935566,0.7415738942027135,0.059843794506879794,0.5789059891784414,0.06631471304516995,15.432551622390747,0.0751954551662536,0.02322983741760254,0.009034900868594384
KNeighbors,0.7320574162679426,0.030176854750278315,0.7092789991920385,0.033741986324456436,0.6326157048254099,0.04985890041201006,0.7861507894852204,0.03339711184267392,0.6673931967690162,0.0512602233147876,0.6062687036656282,0.07449465175845696,0.044141292572021484,0.003887886420692462,0.04263594150543213,0.003887782236538888
LogisticRegression,0.7186602870813397,0.032513987064298575,0.7022870872473078,0.03622842395567739,0.6304762519086933,0.047561932680398857,0.760422752584242,0.041747643352892695,0.6360513246866824,0.05158871675140466,0.6285642855118843,0.06706397962578003,1.1868693351745605,0.09664736046680857,0.019517803192138673,0.009651044889130276
CatBoost,0.7497607655502392,0.040034757200416674,0.7142783405318812,0.041212108090306086,0.6297966283412945,0.06368379224817536,0.8087154382444082,0.0447699903234579,0.7279031868913014,0.06358698141910236,0.5585452209069877,0.07520893619723037,86.65749745368957,24.293132267416006,0.02876701354980469,0.010562810901759685
ExtraTrees,0.7612440191387561,0.04167839780523155,0.7158205059531723,0.0404150152027444,0.6216896220018795,0.06675260140780506,0.8161546461136769,0.04309389322270443,0.7928579227071015,0.0650211778533211,0.5146711660885489,0.07410687335104879,1.067004179954529,0.3238248501958073,0.3890830993652344,0.31699541263603764
SVC,0.7511961722488038,0.03794378709209032,0.7089454061275234,0.0366762752187228,0.6172563876730581,0.05755267933999843,0.8078218727341472,0.037403382180134594,0.7529930669287481,0.05803233421252276,0.5247401135280546,0.061853930703301085,1.6276767253875732,0.4906368696569327,0.5180269718170166,0.3024247399869945
GradientBoosting,0.7401913875598086,0.04140898856156707,0.7033127576894787,0.04069336317862302,0.612862232420295,0.06066843922437342,0.7885939990422959,0.039747247067269884,0.7177201630257317,0.06673716669072359,0.539437152070411,0.07536687412499594,38.72933571338653,0.19518083448041737,0.01102445125579834,0.0046320759234608705
RidgeClassifier,0.6985645933014354,0.041894499319182446,0.6846573697113192,0.04473037091246318,0.6124570556576892,0.057987816747337745,0.738071693004384,0.04945041152899351,0.6062554770086822,0.07161535251340594,0.6225229918069723,0.06509640847618921,0.07517099380493164,0.0062418952641258,0.012549591064453126,0.0031068773039712315
RandomForest,0.755023923444976,0.03711690770727618,0.7091704215520152,0.033262339421392194,0.6123401003102635,0.05599246554060448,0.8080399358566188,0.04065417516050208,0.780482246202453,0.04617112314830471,0.5070538600930641,0.06665719046966416,7.011807465553284,0.05195808140328688,0.12690153121948242,0.043996706801317294
LinearSVC,0.692822966507177,0.031155637504497038,0.6782429759034512,0.03372334379641948,0.6056582448150787,0.046323209598537946,0.7331834936958608,0.035438608595278434,0.5960820191753253,0.050044381783859046,0.6166905945146313,0.050561035916936496,19.96504476070404,4.827998480815208,0.015909790992736816,0.0043279456245244536
LDA,0.6899521531100479,0.04378273668076171,0.6762374828490509,0.04727741880395369,0.6037230145380292,0.06381470953228939,0.7281276592935914,0.04829037541613702,0.5931732525692461,0.07626055996953984,0.6174329084250709,0.06515853980646931,0.24389853477478027,0.013957014573765521,0.015664291381835938,0.003525451997714778
SGDClassifier,0.6947368421052632,0.039313466676750584,0.6780559251582771,0.04340634200434748,0.6011253861964161,0.0547011738677133,0.7392563862418404,0.0406512253274316,0.6033272701366926,0.05567082825823952,0.6026791128897473,0.07417847798341988,0.18201661109924316,0.028643106165562506,0.012802934646606446,0.0017874696544220008
Perceptron,0.6808612440191388,0.028176000316521673,0.667917020651659,0.03476421346495449,0.5924412575929223,0.05368636727986876,0.7197929842697889,0.04291564507444594,0.5812060606508296,0.06500164302719927,0.6093832904059161,0.07036833925007321,0.09465928077697754,0.014203034070882076,0.012847304344177246,0.0025963969192767436
GaussianNB,0.647846889952153,0.030942633015062917,0.6492565524086931,0.03180349403393075,0.5880661023847857,0.046394451171191536,0.708218952548392,0.04114288823908332,0.533762188927396,0.0541313791148161,0.6570384140029171,0.04719798603620069,0.05605812072753906,0.006477308438124537,0.017811679840087892,0.0010505969459884558
PassiveAggressive,0.6803827751196172,0.04337414334521221,0.6638656978761089,0.04188774252208473,0.5875079023984211,0.049000265730230017,0.7319152608920343,0.04091726535324493,0.5839961656763435,0.058953722310832665,0.5928980759021928,0.04885272470633892,0.1446528673171997,0.024248128398800802,0.011336207389831543,0.004683059514603709
Bagging,0.7200956937799042,0.039083096506675755,0.6754593054511332,0.03582086576725824,0.5672613873484054,0.05303928919927968,0.7628058584593994,0.051338409415516414,0.7005327183748203,0.0709399445232349,0.4790866215910078,0.0555590578978664,7.453880834579468,0.09088710372095461,0.03907699584960937,0.0024234468999828613
BernoulliNB,0.6162679425837321,0.03885790706945088,0.6181018806210071,0.04043461051554751,0.5544537372753033,0.050132774192910116,0.6730270150290723,0.03834016150189625,0.5009334406076038,0.055336068871258526,0.6238559986061718,0.05508202023907613,0.06982684135437012,0.005280172663376422,0.017116022109985352,0.0011084697541652807
AdaBoost,0.6894736842105263,0.04186109183316993,0.6530893377927067,0.03941278754315339,0.5508178218291356,0.05428202093618654,0.7249363536316125,0.0392553807329136,0.6204344319914148,0.06247677245419675,0.49768019400580804,0.05954077026096559,7.343991684913635,0.024284683541128105,0.021413302421569823,0.005215356188274888
DecisionTree,0.6344497607655504,0.02959811345368304,0.6217714936410291,0.0314723244882599,0.541067769422099,0.04697372222288738,0.6217714936410291,0.03147232448825992,0.5241350968879802,0.06164382770875433,0.5638820163875242,0.0571310728793226,1.6496534109115601,0.09377727493914599,0.010749125480651855,0.00525558943428347
ExtraTree,0.6191387559808612,0.04678241746059452,0.6058029994850884,0.04622466433822069,0.5224853972023954,0.0546379107736237,0.6058029994850884,0.04622466433822071,0.5066207515576785,0.06713930747783263,0.5437884618158801,0.061019563822112516,0.05711705684661865,0.0027501459877689077,0.01215817928314209,0.0013469903190523253
QDA,0.615311004784689,0.03768817987302565,0.5,0.0,0.0,0.0,0.5801714301648289,0.03834255966936004,0.0,0.0,0.0,0.0,0.5539381027221679,0.03473528317901051,0.025725626945495607,0.004865790936857604
