Model,Accuracy_mean,Accuracy_std,BalAcc_mean,BalAcc_std,F1_mean,F1_std,ROC_AUC_mean,ROC_AUC_std,Precision_mean,Precision_std,Recall_mean,Recall_std,FitTime_mean,FitTime_std,ScoreTime_mean,ScoreTime_std
NuSVC,0.7401913875598087,0.037745505460476,0.7263399408787625,0.044289568389897824,0.6610480428060505,0.05925377829158583,0.8018065686158826,0.0325055951890658,0.6598508885465677,0.06062802705786224,0.6647534864661123,0.0733391718231333,4.359355068206787,0.37734898038627673,0.5116012811660766,0.2525965081406712
SVC,0.7397129186602871,0.03652277776450996,0.7242949703293569,0.040315868441379,0.6574947738245476,0.05176014525643479,0.7934351581668467,0.03251649316843514,0.6634527232209966,0.05136964101577799,0.654594986872876,0.06952194567931887,3.9559837579727173,0.6084323555578958,0.5708698034286499,0.31021710306854083
XGBoost,0.7492822966507177,0.03215209739930883,0.7242945072347841,0.03660828798972615,0.6500225970370472,0.05273436106006052,0.80049658882277,0.03714999586339144,0.6991167114847158,0.054376742427136124,0.6113676433504672,0.07248245364439172,55.902165222167966,0.5747473666915723,0.026791834831237794,0.005570511782484733
LightGBM,0.75311004784689,0.02533828020189539,0.7256576996998234,0.027177520795424227,0.649350756973061,0.038764704150887445,0.7962502646592575,0.035840061137265025,0.7159449432414139,0.04776356668854702,0.5999247073844917,0.06985270155101388,52.35037553310394,1.9445498495441267,0.028226280212402345,0.0048044173565130735
CatBoost,0.7421052631578947,0.02918703863158548,0.718737640591487,0.03195188906384075,0.6442370003296158,0.0439616600580588,0.7961627734701444,0.03825701793125615,0.6859135116626822,0.058267456475379585,0.6116250507085084,0.0616584122307479,86.50275611877441,23.682351061412643,0.02799644470214844,0.008222280187726333
HistGradientBoosting,0.7406698564593301,0.03156122132303421,0.7161785363502536,0.03572092291741967,0.6408833199849981,0.05063098292884601,0.7914177872058249,0.036144656630583055,0.6834094840698168,0.0598086399548826,0.6067256572342646,0.06435163054476602,15.696591711044311,0.13780344819056264,0.02297675609588623,0.009414186443581518
GradientBoosting,0.7162679425837322,0.0404141821122762,0.7041641142707535,0.04304492873550997,0.634773091023131,0.051794924179356674,0.7762223339207914,0.038509606362478764,0.629470166227512,0.061647234607936974,0.6449081949141687,0.07053276896184457,49.92567043304443,0.39991835611550286,0.011981725692749023,0.001835460021438588
KNeighbors,0.6712918660287082,0.03678994076938733,0.6840290939712882,0.04000549213280688,0.6330893225654017,0.051006141489655335,0.760151411625442,0.046089659767207226,0.553611027241842,0.05295654612893505,0.7428052559865265,0.07005811218339207,0.07979724407196045,0.0133475897206186,0.04804625511169434,0.002962451060890027
ExtraTrees,0.7507177033492823,0.034829410215486405,0.7161532708091503,0.037449547015953676,0.6317359114823042,0.05705719997763502,0.7994335156497542,0.04019595288779564,0.7279064821805917,0.05344524956199251,0.5617052301363804,0.07346434467227976,1.4001370668411255,0.4817187685819815,0.4029738187789917,0.4755942589271806
LogisticRegression,0.7038277511961722,0.04131058595448891,0.6957113425218834,0.040677409257074686,0.6304081002788184,0.04480106401229183,0.7340446313627241,0.044636410333265084,0.6081381869522402,0.058979398464539465,0.6585289867751088,0.05691747160053933,2.3157386779785156,0.0393252966968816,0.02090575695037842,0.012821125549822265
