Model,Accuracy_mean,Accuracy_std,BalAcc_mean,BalAcc_std,F1_mean,F1_std,ROC_AUC_mean,ROC_AUC_std,Precision_mean,Precision_std,Recall_mean,Recall_std,FitTime_mean,FitTime_std,ScoreTime_mean,ScoreTime_std
NuSVC,0.769377990430622,0.03898861011954712,0.7428708722914191,0.040778747601080106,0.6741994833890913,0.05587232743750814,0.8200640299421297,0.034581165697770255,0.736008403520307,0.05371992879924179,0.6248947347022438,0.07096992322368652,2.5924253463745117,0.31399309166493294,0.43334963321685793,0.21822252494409058
MLPClassifier,0.7526315789473684,0.039907480587733704,0.7367829246661058,0.03602198759287934,0.6735896628754469,0.042565488071399996,0.811502419869055,0.038105993073197814,0.6881229008556969,0.06441859566490997,0.6640789122333032,0.05278130195923806,4.3809428215026855,0.5689027167045021,0.014802384376525878,0.004296064036560708
KNeighbors,0.74688995215311,0.03526488547644161,0.7280043669816824,0.03590395370031562,0.6611888663440049,0.04759815922840127,0.7907387669676555,0.04376431957646852,0.6807637659304326,0.05826532682597953,0.6450581862002767,0.053825550600511654,0.04669420719146729,0.001524063933520892,0.04694120883941651,0.0015959022982622393
LogisticRegression,0.7416267942583732,0.035087719298245626,0.7243248273487831,0.036903983548369,0.6560971350753603,0.04526860556441675,0.7856976070493813,0.036279604804394905,0.6722553397359083,0.050389812790513314,0.644417147135773,0.06550142658352591,1.7089960098266601,0.04589920416951402,0.018945980072021484,0.009726032049358551
XGBoost,0.7622009569377991,0.042079277661217454,0.7299309610652529,0.04178971046998578,0.6542925333915098,0.05777594625202894,0.8157918318699793,0.04136973417279644,0.7399504047560569,0.0561441317514617,0.5883928327869264,0.06633239068789329,51.365627312660216,0.7572023721800579,0.024370551109313965,0.006626919667599503
LightGBM,0.7617224880382775,0.042724173908142184,0.7294928823706065,0.04534034367259943,0.6533594018938398,0.06386780507345353,0.8113223298722684,0.042142549310959954,0.7384689524442215,0.06854779553824468,0.5879809056222893,0.07114545033904282,45.95712170600891,0.94515927372967,0.025522804260253905,0.004358985904937624
HistGradientBoosting,0.7602870813397129,0.046958796795337425,0.727794066613516,0.04847384788632638,0.6524098130559464,0.06825957517246399,0.81029280160939,0.03955572632864197,0.735140704711482,0.07712872704048668,0.5880392630332498,0.06840578298945794,15.04396653175354,0.06152172231016302,0.023453426361083985,0.008062796659934356
CatBoost,0.7631578947368421,0.038887353557373536,0.7263236948936267,0.039802249942945137,0.6460170369967214,0.05757181190061873,0.813060483839308,0.03652278734797844,0.7561497704614275,0.05706049208935621,0.5655285099968942,0.06421001088066712,86.06361663341522,23.801314110107917,0.0306072473526001,0.009928444188704323
RidgeClassifier,0.7177033492822967,0.04273607976706304,0.7066733206403897,0.0455633080132899,0.639705642338756,0.054790664071702876,0.7714657162898371,0.04088922646131088,0.6282525177392689,0.05966252334803217,0.6552070254892074,0.0715819295935095,0.07749545574188232,0.0010764865732880184,0.013590168952941895,0.0006936916202843527
LDA,0.7071770334928231,0.0452118651097978,0.6963638040524397,0.04837341099071973,0.6287722081564581,0.058898747558372495,0.7591295064515019,0.04547889891963682,0.6129773499655912,0.06167530150491097,0.6480807656859916,0.07140425071792161,0.2359375,0.01642971899411989,0.011989235877990723,0.0046815827095277205
GradientBoosting,0.744976076555024,0.032767260609117575,0.7086725997602211,0.032272429765811544,0.6217563625275035,0.046195805552805204,0.7986731132299305,0.036037032980973695,0.7228673112941074,0.06278532469239909,0.5474876467412357,0.04937313591249395,38.61132800579071,0.11531604291113476,0.010844659805297852,0.0030274364612419688
LinearSVC,0.6980861244019139,0.04167839780523157,0.6848343950816382,0.041240423253352726,0.6139548446267639,0.04970973462639783,0.7499538642753013,0.044632904200755115,0.604866771594843,0.05844889816793429,0.6267010825393323,0.06120786671739211,5.652483987808227,0.2493567841604692,0.015523386001586915,0.003427422473535697
ExtraTrees,0.7526315789473684,0.043739141392960916,0.708317427028019,0.043676281384747336,0.6138343263972754,0.06863201860278202,0.8069974023408848,0.040865310883419735,0.7650022085964883,0.07778186455417223,0.5145409525449377,0.06786210604403249,1.4406496286392212,0.07542576758123194,0.12746968269348144,0.0679084044166621
RandomForest,0.75311004784689,0.038621526935031084,0.7084011322414909,0.03813227449128767,0.6131817365692456,0.05776177410376741,0.8039843493742872,0.03615226426098955,0.7708423386983515,0.07853561681571428,0.5111476209462673,0.05673305583130685,6.693067622184754,0.19769504783862576,0.22503993511199952,0.062169524246221256
SVC,0.7497607655502393,0.034358820247551033,0.7063192164466743,0.03259724941351,0.6126837211197184,0.04971380292557813,0.8098268783321654,0.03441843694071401,0.7552847536957706,0.061031130339412626,0.516789531745298,0.05111096630834395,1.7239380836486817,0.520759527952757,0.43552322387695314,0.19967201677271557
PassiveAggressive,0.6904306220095695,0.0401616304615772,0.6788465995181712,0.04314616586686586,0.6046983325468889,0.051507021452621114,0.7448514719489804,0.03603025134865654,0.594501989979515,0.05216653552234632,0.620823346121379,0.07924635758111646,0.16226532459259033,0.021646923337386558,0.012429308891296387,0.0017962163905373813
SGDClassifier,0.6866028708133971,0.0389527105002227,0.6740562716459835,0.036893450540996596,0.5990188440811484,0.044491000183705005,0.7368804554412568,0.05398409974757237,0.5950168303282439,0.075780817444808,0.610938267910843,0.05791047033412802,0.16700990200042726,0.024988137456072004,0.012654519081115723,0.0020682880382869766
Perceptron,0.6779904306220096,0.04483049044495442,0.6581813435435679,0.045448469490391816,0.5752744883228786,0.05865100936699327,0.7297519022032615,0.036936602783711844,0.5850241834270387,0.06623515271874107,0.5708135661660739,0.07342368425570983,0.09286084175109863,0.015033923679550386,0.011743879318237305,0.002111182531093526
Bagging,0.7263157894736842,0.037458000224790226,0.6817979780184247,0.04405714554886671,0.5752699851762909,0.07252774214225806,0.7528942194474755,0.03907752341186582,0.7083447532132677,0.09202501721237277,0.4870888060006232,0.07160005750695922,8.00678563117981,0.16427280544605355,0.03865809440612793,0.002181174460635683
AdaBoost,0.7033492822966506,0.02376342013676449,0.6699691900988318,0.021353297240793816,0.5737690505174178,0.02930842616577232,0.7393988285495798,0.026831180645726985,0.6430621734442215,0.06200983632432354,0.5210612676597794,0.03202117379165691,7.25211193561554,0.017265157075602274,0.021494007110595702,0.004492331431854666
DecisionTree,0.6464114832535885,0.04329489965685031,0.6259086589757284,0.039345983543088964,0.5375070250475267,0.044559734601728886,0.6259086589757284,0.039345983543088985,0.542829272117397,0.055767116791133636,0.5353596765592272,0.049554077929389144,1.6067474365234375,0.16456036170025273,0.011615371704101563,0.0035603018844140126
ExtraTree,0.6368421052631578,0.030549655349437748,0.6145753864367739,0.030551598799758842,0.5215889320872271,0.04108903860770807,0.6145753864367739,0.030551598799758814,0.5289494707551152,0.05808799622411314,0.516531140459006,0.037435178919848426,0.049460649490356445,0.0012033684997657282,0.011616134643554687,0.0003923470883566251
GaussianNB,0.6181818181818182,0.037321937297043084,0.5880935235710381,0.03523156380389212,0.47860992544255704,0.046235547173021196,0.6338951496663319,0.04452951468007682,0.5051563047777444,0.06247107957171821,0.456995243853289,0.04361046904491979,0.06828761100769043,0.004524127796654605,0.016315102577209473,0.0018372232334206888
BernoulliNB,0.5755980861244019,0.03552360830055543,0.5476351143169044,0.031553288808158164,0.43563319115637844,0.038161143895715885,0.6156459480524104,0.037955165872033236,0.44634753836886665,0.04851507285865746,0.42714328895423126,0.03799810890408825,0.06973471641540527,0.004142484139796327,0.017687106132507326,0.001465737479983908
QDA,0.615311004784689,0.03768817987302565,0.5,0.0,0.0,0.0,0.6058251957616637,0.018835527128501006,0.0,0.0,0.0,0.0,0.5323412179946899,0.040271871940703544,0.02957627773284912,0.01426884591792013
