Model,Accuracy_mean,Accuracy_std,BalAcc_mean,BalAcc_std,F1_mean,F1_std,ROC_AUC_mean,ROC_AUC_std,Precision_mean,Precision_std,Recall_mean,Recall_std,FitTime_mean,FitTime_std,ScoreTime_mean,ScoreTime_std
NuSVC,0.7899521531100478,0.0377050493872642,0.777973983293515,0.04196841482467285,0.7255017571306034,0.05857368787089915,0.8462021666061215,0.037588268147006575,0.7252142122300375,0.0657414875537355,0.7277682329562578,0.06443185473996207,0.8186514139175415,0.1532562903866587,0.14516215324401854,0.046735455946045
SVC,0.7842105263157895,0.030798435152185662,0.7704557180274216,0.03892055477715233,0.7152545110665244,0.0577527267656326,0.8405062466498139,0.03618226733202812,0.718614043389628,0.05476093256762594,0.7135868128567899,0.07050971892323256,0.708188796043396,0.19395907678410096,0.16865694522857666,0.07663099703819463
LightGBM,0.7909090909090909,0.0316618054945392,0.7681236232777983,0.03039671339303559,0.710592559400484,0.03867149210810395,0.843749176129023,0.03366721060234105,0.7592361918519425,0.04174134915071611,0.6689366960486637,0.046138457800421674,18.184226274490356,0.5480649529484954,0.018263912200927733,0.003095805693277024
CatBoost,0.7870813397129186,0.028373918460378303,0.7651387605408942,0.030981804138389694,0.7063374873285355,0.04383807471463207,0.8336387952347662,0.03394919148129693,0.7487621586414338,0.04926667527323824,0.6703432572887735,0.0542457975085872,43.74282443523407,12.737663588644185,0.02011706829071045,0.005526210256627567
XGBoost,0.7832535885167464,0.03713403674400287,0.7613704918097134,0.037110761382198626,0.7020221750352476,0.04817724405177784,0.8416749493571134,0.03581472045779097,0.7440066069115086,0.053102303408937,0.666238064360295,0.05654003994003312,23.944676518440247,0.19729822413317802,0.02234330177307129,0.006797859766753862
HistGradientBoosting,0.7822966507177033,0.024630694117193784,0.7606189738069203,0.023962809874865827,0.701008045557527,0.03172695210256406,0.8367130344504856,0.031571448372773786,0.7414426140394215,0.034158442611259755,0.6662221752558615,0.04430055621647419,7.089214944839478,0.024177688487775982,0.0188800573348999,0.0037081782145725168
MLPClassifier,0.7669856459330143,0.031012430060060582,0.7538307428603497,0.038126723250273054,0.6955454065006468,0.05823444082739179,0.8220108202834184,0.0401728301549144,0.6926436374156154,0.060719549744337534,0.7004777941409421,0.06932598499167514,1.4787743091583252,0.09344427848544623,0.011574625968933105,0.002921335569736879
RandomForest,0.7818181818181819,0.03159344309898408,0.7521258444259139,0.0314847077092227,0.6866771068350757,0.04551218843259529,0.8392361088012343,0.032494742898512854,0.764249270575539,0.04857274017093155,0.6252318936677052,0.05507604247654735,4.817144107818604,0.9936304533732907,1.1818026542663573,0.9704252337342085
KNeighbors,0.7196172248803828,0.03481114719172774,0.7346263145804341,0.03279399838232351,0.6856843683930143,0.044452906666470345,0.8052695249679205,0.03358042291870326,0.6016560415243932,0.05618921012824938,0.7992302254890307,0.031936306292703956,0.03919150829315186,0.0028451372179545786,0.029579544067382814,0.001791107533580678
GradientBoosting,0.7598086124401914,0.03381782017403144,0.7459895391638441,0.036577127022759545,0.6856327241590955,0.04929485354354144,0.8105743193508506,0.03652915438131495,0.6883055010706075,0.05520111449427251,0.685577122097882,0.061829750134708615,24.3422621011734,0.2868672026991347,0.010299086570739746,0.0009471269288946342
ExtraTrees,0.7851674641148325,0.028031182137895128,0.7520286499851465,0.02827003518742872,0.684409453842169,0.041182858165513266,0.8398458300468855,0.031474180015572215,0.7834402710899084,0.03915148039554224,0.6093824173487998,0.053439173892517094,1.183889126777649,0.08305732342134584,0.14546377658843995,0.03387793449396035
LDA,0.722488038277512,0.04047393154848333,0.7133681002709518,0.04553156417886297,0.6504194361022811,0.06211166111958053,0.7638557465119579,0.04500547751557684,0.6273174412410083,0.06408555358169886,0.6766504878224157,0.0682084007475668,0.10801441669464111,0.0040196881173249115,0.011384940147399903,0.0015271030028182002
RidgeClassifier,0.7181818181818181,0.037502114386285965,0.710104546587768,0.04187852774735859,0.6472823736833724,0.05613558438945338,0.7660062992986871,0.04488362063465998,0.621207015096925,0.05758646111357141,0.6772433438260116,0.06491760560825525,0.0533832311630249,0.003621626617154117,0.010799622535705567,0.002264938266191611
Bagging,0.7516746411483253,0.03256479936095209,0.7228116345021602,0.040386495898484115,0.6464017783206011,0.06169301909502773,0.7867358036252319,0.04110712903121544,0.7085202325747118,0.07499851553696919,0.596258692846794,0.06376568732646432,4.059628748893738,0.05063442024870412,0.03775477409362793,0.004081195298412024
LogisticRegression,0.7157894736842105,0.04160203850580699,0.7076845411460232,0.04788279745776902,0.6438937158387207,0.06603607992265671,0.7659252522430211,0.049739362528793574,0.6179248074809853,0.06649755119090009,0.6744123177080544,0.07771802178073743,0.28378987312316895,0.07167098822997223,0.014843320846557618,0.006426748724230731
LinearSVC,0.7133971291866029,0.04524842040677489,0.704675200314415,0.05071246436536282,0.6408718590680716,0.06703388688452948,0.756052274769986,0.05060121545469242,0.614810963688618,0.06367930558377335,0.6705838350001454,0.07795456649584856,1.5404661655426026,0.03723171602988853,0.012847280502319336,0.0035300755369495488
AdaBoost,0.6866028708133971,0.024003057325825236,0.681975138774823,0.024127908051089143,0.6190840021668139,0.033441959182016354,0.7473890495689923,0.0238350368681845,0.57997631611989,0.035728382314543915,0.6659985365874929,0.04875312774005022,4.701707863807679,0.045039172096524936,0.018699240684509278,0.0019042201115444346
SGDClassifier,0.6751196172248803,0.039613192489593795,0.6684749153780759,0.048386929679771595,0.6004475634293273,0.0695000480824869,0.7247279575420364,0.05786820912001238,0.565671651525981,0.06696905235261641,0.6417258130421972,0.0816280422665395,0.13204483985900878,0.023270242028919082,0.008601784706115723,0.0042474470429677506
