Model,Accuracy_mean,Accuracy_std,BalAcc_mean,BalAcc_std,F1_mean,F1_std,ROC_AUC_mean,ROC_AUC_std,Precision_mean,Precision_std,Recall_mean,Recall_std,FitTime_mean,FitTime_std,ScoreTime_mean,ScoreTime_std
XGBoost,0.8033492822966506,0.01946165672826998,0.7721752523286458,0.02956122746703413,0.71066568387082,0.048395663905130296,0.8479730406346372,0.028746612128129848,0.8098515889807386,0.05216472126752418,0.6362136964411172,0.06350116277794361,22.680386877059938,0.36178759072811745,0.019500112533569335,0.00575283879363075
CatBoost,0.8014354066985646,0.025040380331910004,0.7702365490500077,0.029859779553141622,0.7076225237712854,0.045433348000172936,0.8435438598154166,0.023371626178647117,0.8129365697941868,0.059903273381618424,0.6306720781458987,0.0640856170965271,43.56721403598785,12.505702378786355,0.018433761596679688,0.003617573222156897
LightGBM,0.7971291866028708,0.02493348930891584,0.7679733863632825,0.032697845502661256,0.7053710267895579,0.050302867323954524,0.8411233631205771,0.028302050706255435,0.7929640542421115,0.05285483927309307,0.6387800994411175,0.06897550981783568,17.13365454673767,0.33559067622678107,0.02031717300415039,0.0032734212570071767
HistGradientBoosting,0.7985645933014354,0.01569980823263121,0.7662839168316586,0.022049762995239242,0.7035393182467535,0.037862739397912,0.8379574061579026,0.024834788059444217,0.8044718639706719,0.04633792230706484,0.6271739631261449,0.04740402541706755,6.324182772636414,0.052829019726351116,0.017434120178222656,0.005216323068990313
MLPClassifier,0.7770334928229665,0.02462552990828552,0.7612814150527362,0.03181713722270041,0.7016019527110003,0.050021390620852445,0.8349100280837943,0.02729127731785862,0.7199179753525285,0.06411397183897304,0.6903565054901875,0.07337416386075021,2.0362895250320436,0.18912507319394295,0.008777332305908204,0.005342773772040122
NuSVC,0.7913875598086124,0.03473799908149787,0.7589383144256862,0.04170067502659782,0.6912417114608861,0.06618689877721733,0.8357597698401268,0.033137443766054056,0.7942902250895352,0.05674698353553358,0.6163017119203476,0.08423922044947058,0.3669257402420044,0.04834543381040567,0.0767249345779419,0.013232239612489764
ExtraTrees,0.7909090909090908,0.022673346022310626,0.7522478768599411,0.027258727829569552,0.6797017592044938,0.042932003107505175,0.8339610287975789,0.025968173048276484,0.8232921768487398,0.06025308231167266,0.5814991557731983,0.05375219798809841,0.8825600385665894,0.11148434835211263,0.19649507999420165,0.09233165512732719
KNeighbors,0.7526315789473684,0.017623424046649138,0.7342917056443671,0.01795170499728623,0.6683961222942231,0.0251892909584766,0.7970481136287353,0.0361370330720355,0.6893837177019643,0.04553718117574872,0.6516794444568208,0.04129783561170577,0.020037078857421876,0.0024135565265979682,0.07272014617919922,0.003363952757235402
GradientBoosting,0.7727272727272727,0.038294121861381085,0.7378318820973806,0.03660512703277915,0.6631592157158629,0.05260074243467244,0.8201889578686277,0.028078689666251287,0.7699834162520729,0.04043967309484892,0.5850273431117297,0.06632848669222981,18.272074937820435,0.038927678819079645,0.008017373085021973,0.004190469907411867
RandomForest,0.783732057416268,0.018434683606762217,0.7413713522696208,0.01512744635611693,0.6626386103933818,0.02411050476407433,0.8331354737374814,0.022518087730956583,0.8280533471954301,0.05411198447338437,0.5544591319861327,0.03381016260954113,3.6185938835144045,1.4626992029495904,1.0621353149414063,1.456806556803322
LDA,0.7444976076555023,0.031106612080727004,0.7260421221988368,0.03549046226024501,0.6580091339767263,0.05461677128233655,0.7944813747141561,0.029349639262032517,0.675849215923179,0.074406947801476,0.6446816171480091,0.05785909159748596,0.06366930007934571,0.006234139664619996,0.00885927677154541,0.002129992457508123
LinearSVC,0.7387559808612439,0.03324125159837457,0.7190142657822525,0.035952325990894735,0.649256485114638,0.05139163460346046,0.7964867792537224,0.03233130970440102,0.6691616620157204,0.06334977864936195,0.632875733569956,0.054814241787041064,3.6005974054336547,0.46695002679709113,0.008390426635742188,0.003567190825210833
RidgeClassifier,0.7473684210526316,0.030244213884870332,0.7212131132054288,0.03535402682748441,0.6457192287618403,0.055576127664259935,0.7994341744244153,0.025177538809566424,0.6984133965720696,0.06959554314184922,0.6047544063844192,0.06660221759788075,0.02551264762878418,0.0025397925581105,0.008391094207763673,0.001583992559757312
LogisticRegression,0.7425837320574162,0.028512535859759557,0.7168752243044106,0.032180113285949975,0.6418426639159456,0.049094979263572494,0.7986337952014921,0.02932705818689332,0.6870443667127331,0.05726170980471097,0.6044836087430789,0.05668683798335583,0.15582756996154784,0.025702392577219332,0.01355593204498291,0.0033003610315483606
SVC,0.7669856459330144,0.0208010192529035,0.7220439541250425,0.02002721996697647,0.6325900536632443,0.034636178765847986,0.822632007725764,0.031568713094895146,0.8007427009185765,0.04526326464755866,0.5244961642321523,0.04209353739392371,0.3013141393661499,0.05835504623717283,0.08079667091369629,0.022983810354366245
QDA,0.7483253588516747,0.02257778420310865,0.704818885744603,0.020264544086472467,0.6092726037503542,0.03475390896207407,0.7675173027386155,0.02172236695532358,0.7562609544494585,0.05819446281006997,0.5133749392460711,0.048001282033673806,0.11707007884979248,0.009291223815829596,0.013344168663024902,0.0035880747331035866
Bagging,0.7382775119617224,0.029064770427727166,0.6976562203968949,0.023332205869001917,0.6029802634663096,0.03387715317082305,0.7820592163404403,0.027245554802334808,0.7251229608550879,0.04830565223542281,0.5189541841629508,0.048183525262060815,3.255876350402832,0.03371049920505223,0.03745293617248535,0.006309267638866193
Perceptron,0.6870813397129186,0.04843865843120439,0.6683891633834975,0.044178661385480524,0.5905450262298941,0.04444396173328684,0.7269378448708561,0.052255485805174126,0.5971344796108004,0.054577779840309086,0.587746928073791,0.060138684222729014,0.030348873138427733,0.004342120685353718,0.007238316535949707,0.001780647492229767
DecisionTree,0.6866028708133971,0.033321503055464385,0.66745133120333,0.029081820553499838,0.5888812777749952,0.03435307495510049,0.6692535062741528,0.028164341610158218,0.5952840254088447,0.047103971472766966,0.5852332627241779,0.04176603455900794,0.6373177289962768,0.027024183272611205,0.007986974716186524,0.0014473847677785353
SGDClassifier,0.6708133971291866,0.01976642218160083,0.6554596708487701,0.027214845996162477,0.5766250169132148,0.0449206515032818,0.7170643615433165,0.03939792243746735,0.5682492920103652,0.04974305699979646,0.5882461417208436,0.06110087337249476,0.06332428455352783,0.009085065676450486,0.006733393669128418,0.0018243598656222956
PassiveAggressive,0.6622009569377991,0.040799430826971544,0.6474817063521332,0.03986527970056985,0.5693639107504841,0.05206449005835826,0.7126457339343848,0.03993677493472914,0.5600807764369545,0.07063404925702141,0.5823879489374381,0.050659206848847727,0.0410466194152832,0.0049861063258570745,0.008057332038879395,0.0017434310970078323
AdaBoost,0.7066985645933015,0.03125752683889282,0.6695890395778468,0.03207211382458101,0.568134267876804,0.049371367696862394,0.7533139830787846,0.040055067726287426,0.6551839969346069,0.07132576092525006,0.5047349514226613,0.05316068206382548,3.470272350311279,0.02045834602359503,0.0153914213180542,0.00277356689035015
ExtraTree,0.6578947368421053,0.03638671306714459,0.639445251843829,0.033579114146437265,0.5565010633794467,0.03567748056346915,0.6407306417243719,0.03274961336993864,0.5545711405612683,0.034370760816864444,0.5600412931607559,0.04836059986938324,0.022191643714904785,0.0014558876749796214,0.009571051597595215,0.002269114519128845
BernoulliNB,0.6473684210526315,0.04327139217600404,0.6277421987344278,0.04271222973447638,0.5387515835618671,0.05458258585032107,0.6846005712864274,0.046156957623049534,0.5462312347960376,0.08237621234956544,0.5370611657744375,0.05205559471021815,0.0327662467956543,0.002157429126346523,0.011109876632690429,0.0018032709327381415
GaussianNB,0.6789473684210526,0.028302108364957692,0.6377053022796125,0.026289978345998423,0.5161466095417736,0.04355306313824278,0.6952241751825857,0.03669610999168458,0.6156393890003546,0.04631966219957582,0.4502149790392247,0.06725985809009725,0.028987717628479005,0.0025678670807871553,0.010097002983093262,0.0013140891852879593
