Model,Accuracy_mean,Accuracy_std,BalAcc_mean,BalAcc_std,F1_mean,F1_std,ROC_AUC_mean,ROC_AUC_std,Precision_mean,Precision_std,Recall_mean,Recall_std,FitTime_mean,FitTime_std,ScoreTime_mean,ScoreTime_std
ExtraTrees,0.7827751196172248,0.02313424480314993,0.7673842519795041,0.03010047418018729,0.7106098509879402,0.03971009679643575,0.8308561151198633,0.02350819388099973,0.7248802565726786,0.032459354374661506,0.6998347144573382,0.06627357072213264,0.6640146493911743,0.1566262100061051,0.18021996021270753,0.12421863994916377
NuSVC,0.7722488038277511,0.03254526555836607,0.7640538639075967,0.036964100434056124,0.7097155078477599,0.04909073806825913,0.8312144824583934,0.03279620410245786,0.6926991612950071,0.04899370653416854,0.7298797995486218,0.06458251688349338,0.1995716094970703,0.0181891326851292,0.069095778465271,0.011653752514333862
LightGBM,0.770334928229665,0.029147794070968222,0.7628503082154385,0.03207577759962723,0.7090861169491423,0.03866817806041139,0.8300920424774114,0.028373406723822225,0.6893993451088405,0.034736602739088025,0.7319109070228766,0.057936742615369075,20.17259156703949,0.522325637873496,0.02120678424835205,0.002744170762986323
RandomForest,0.781818181818182,0.027550651204707094,0.7645973556844792,0.023657264390033246,0.7087617176170682,0.021211666487360812,0.8315119137232309,0.020174236434292524,0.7294245560144129,0.02617663795834744,0.6904432533531301,0.034313586583645785,2.502782201766968,0.8088620356335507,0.811217212677002,0.782242794834502
CatBoost,0.769377990430622,0.031561221323034246,0.7601413272872211,0.034247056055489396,0.7052985091401228,0.04358352875498199,0.8346242004137258,0.025604603420609894,0.6916751372923136,0.046542489257818086,0.7216265146198643,0.05765676752344931,35.10172257423401,10.83324339501505,0.01682572364807129,0.003552040064072991
XGBoost,0.7674641148325358,0.025736705268190482,0.7592143190851013,0.024428151537372975,0.7047861523038074,0.028856059340200867,0.8372240704807329,0.022992935418867818,0.688542185372886,0.036518310364400106,0.7244592210003777,0.046744342670529404,20.327757000923157,0.13987065001143,0.020775485038757324,0.007204406446989172
HistGradientBoosting,0.7645933014354067,0.029905901073899115,0.7569966085200822,0.034513214928384786,0.7009567545894414,0.045362973751868325,0.8281650636482292,0.03126183038758034,0.6831483932218871,0.046090267547362715,0.723381802988768,0.06813381130758725,6.102469444274902,0.0871432092965988,0.019608426094055175,0.005522731122772701
MLPClassifier,0.74688995215311,0.02970534557599987,0.7460294329874171,0.02879258194883799,0.6917381368367455,0.044232577306472724,0.8168889556937318,0.034857545725432766,0.6492359553783013,0.056843834754098405,0.7437798226992796,0.05194646066150098,0.9412068843841552,0.16573148748415528,0.007840108871459962,0.0022440291396508315
QDA,0.7679425837320574,0.024527203348053774,0.7481408184695166,0.02626661301398427,0.6848205227498696,0.03735751741366671,0.7941315565645769,0.02856921841624309,0.7167040890183947,0.0544829185335684,0.6600013401253798,0.05736376885765544,0.09522085189819336,0.00778837778186189,0.012244915962219239,0.0036346634335696986
GradientBoosting,0.7454545454545455,0.03492786553159109,0.7390480003085617,0.03471494025145747,0.6813360790430838,0.035566993513006864,0.8110094265191549,0.03754274324769635,0.6574874713988498,0.036705432454785754,0.7098483574764869,0.05752402712004293,13.778268265724183,0.29158573226042345,0.00819103717803955,0.005032048734079003
SVC,0.75311004784689,0.02313424480314991,0.7375931857009398,0.024429255902109693,0.6749038259058713,0.036418351261325976,0.8133631742686612,0.027483736154832395,0.6818203442861446,0.046951106814381645,0.6703925455218178,0.04679964009269931,0.1735074281692505,0.020757021187080615,0.07257382869720459,0.01320739822472557
