Model,Accuracy_mean,Accuracy_std,BalAcc_mean,BalAcc_std,F1_mean,F1_std,ROC_AUC_mean,ROC_AUC_std,Precision_mean,Precision_std,Recall_mean,Recall_std,FitTime_mean,FitTime_std,ScoreTime_mean,ScoreTime_std
NuSVC,0.721531100478469,0.04458869219778386,0.7012964471591029,0.04885884977754918,0.6273028858740113,0.0687043200105207,0.7596999857210338,0.044830267596431904,0.6450774462591143,0.08188294348142125,0.6138229533570747,0.07439754382144802,5.165198111534119,0.06573523372891235,0.5255701303482055,0.040051242933901304
MLPClassifier,0.7052631578947369,0.04801671085852304,0.6842001009461036,0.05224885301189815,0.6060169682005332,0.07356871133342117,0.7383504402625535,0.05212002337839808,0.6226584203497152,0.08666039394268421,0.593462207334942,0.07627058362585075,3.55300977230072,0.6895174169937459,0.014908027648925782,0.003565252381760724
KNeighbors,0.6311004784688995,0.033183810305071205,0.6474066458787641,0.033757868460385344,0.5994886271882336,0.04455561606068643,0.7009850569309943,0.043388118090800676,0.5140858411342218,0.048321671874058315,0.7216842569225574,0.05186132259418957,0.07800328731536865,0.006990666280621329,0.050955915451049806,0.0030805603008516986
LightGBM,0.7148325358851675,0.04534669204462125,0.6862572895646772,0.048591185665154225,0.5987492535528316,0.06749030680282368,0.7417456753080549,0.054437382804919235,0.6525312409394305,0.08091899174692567,0.557599545351947,0.07644871857076897,39.67010498046875,1.1808104024058135,0.025969815254211426,0.004686055305988756
XGBoost,0.7090909090909091,0.04096121050715663,0.68294162101259,0.04497078790464643,0.5978356784663658,0.06655451281722823,0.739969567010686,0.05544338588115311,0.6363550943722884,0.07420582617670117,0.567578109039457,0.07577381924172902,53.74261758327484,0.3451499203293496,0.02745950222015381,0.006815177628156702
LogisticRegression,0.6746411483253588,0.04115945103848147,0.6642523147085753,0.043602524952720656,0.5941258185185028,0.05822550427191807,0.7215673372442286,0.05017437835447759,0.5697760387485037,0.0651629797943969,0.6229417473300087,0.0631818057363658,3.0842850685119627,0.08103087715555232,0.019039154052734375,0.00855858057574707
HistGradientBoosting,0.7095693779904307,0.035018781051963974,0.6808620475681246,0.039542174493290234,0.5919573339235463,0.058265039793238244,0.7442025798006402,0.049544222444489076,0.6453972003514492,0.08670189600251595,0.5525092910108744,0.06805350903985385,15.429493474960328,0.06467412530993923,0.02462797164916992,0.00629083230925145
RidgeClassifier,0.6679425837320574,0.05662218917575006,0.658422935861767,0.05816550344271535,0.5875377619717224,0.07319044716123678,0.7051577012357166,0.04712686627753363,0.5632889716061773,0.08471902827786726,0.6172784368982097,0.07097129834938842,0.12292935848236083,0.0037353478090889083,0.01393430233001709,0.0017737594115366235
SVC,0.6799043062200956,0.048451785083414446,0.6633494684296374,0.049615001335820204,0.5860254132710041,0.06854130754924807,0.716297889565204,0.04179244755837646,0.5840489070644961,0.08615962027483393,0.5919280415322125,0.06567329350607515,4.58090660572052,0.6390250956771457,0.7232087850570679,0.40716785492556645
GradientBoosting,0.6712918660287082,0.04309467733949967,0.6572333033154307,0.04422898047365736,0.5801355005185064,0.060522854645655724,0.7113342239947988,0.05746417834765103,0.5718796864000246,0.07935756817547164,0.5933830511915605,0.062028867911691085,49.47395000457764,0.5387558160303224,0.011073803901672364,0.0029347855725546973
