Model,Accuracy_mean,Accuracy_std,BalAcc_mean,BalAcc_std,F1_mean,F1_std,ROC_AUC_mean,ROC_AUC_std,Precision_mean,Precision_std,Recall_mean,Recall_std,FitTime_mean,FitTime_std,ScoreTime_mean,ScoreTime_std
NuSVC,0.6856459330143541,0.041836778724202627,0.6811624926411242,0.046467387285664505,0.6169777062348875,0.062279602045271144,0.7480285474341186,0.05271415830361442,0.5788880009465155,0.06623409061270309,0.6632846037239541,0.07266238404871415,0.8509298324584961,0.21088328379116927,0.31419758796691893,0.1377770510473295
MLPClassifier,0.6741626794258373,0.04619421128035411,0.6736461025447524,0.040932287241125444,0.6116151128949058,0.04875461068467083,0.7252332241591347,0.0524545309955209,0.5691337772842056,0.07478282115757968,0.6674500619459851,0.04378609705862781,2.3853276014328,0.5897373703249903,0.014284014701843262,0.004344644930541504
LightGBM,0.6760765550239234,0.04183677872420261,0.672276108651711,0.04338890084044659,0.6071705735843074,0.05493261264785717,0.7311021892225555,0.0586234990667608,0.5694483825204182,0.06493296594002033,0.6553685053922116,0.06962207318264879,42.2736013174057,0.6939379184378678,0.024838995933532716,0.005027662151932497
LogisticRegression,0.6645933014354066,0.0390961111911879,0.6662524382642325,0.039522688033482606,0.6059897872273403,0.05540211438792671,0.7163268910188296,0.04588683621920064,0.5524176254319706,0.06449601930586232,0.6751950650641076,0.06332791039670807,0.8098193645477295,0.20023614496453418,0.02184462547302246,0.011571080786064345
XGBoost,0.6746411483253588,0.03699334451273748,0.6702756508748512,0.042195014814413206,0.6035505120712784,0.05565333105859401,0.7320590161235974,0.05062607991914523,0.5669928459190443,0.058064590636847185,0.6499318052495301,0.07806918437229915,47.41502809524536,0.24097539882633454,0.028973603248596193,0.004716593031181931
HistGradientBoosting,0.6727272727272726,0.045290562932820015,0.6663888591930036,0.04628944673889986,0.5992004250137988,0.056230019989366616,0.7228943735110345,0.05629979680471676,0.5669511733944703,0.06295394734644923,0.6395391039831995,0.06958911825548002,14.16147038936615,0.06763171904390325,0.025174617767333984,0.007277560604470001
CatBoost,0.667464114832536,0.035894026905667946,0.6644785406501282,0.04041370417023558,0.5980990650093816,0.05818696767911032,0.7305010044941121,0.0532686093786659,0.5580666087515469,0.0634098081665273,0.6502498432932252,0.08012892960733889,86.64594855308533,23.463583252044057,0.030847835540771484,0.015170540239890071
RandomForest,0.6641148325358851,0.03976380744433152,0.655910857150668,0.04024707660996697,0.5854910183870654,0.04928692317289817,0.7223698579374708,0.05440355896828135,0.5574743667341981,0.0538366902754905,0.6202496066659369,0.06483531325019129,4.927662992477417,0.3716383955869917,0.39273068904876707,0.35643800849434004
ExtraTrees,0.6660287081339713,0.043432749159464934,0.6570706214602862,0.04720170742550373,0.5852230971320674,0.0637907716406114,0.7244009362450317,0.060301435001582304,0.5597560986726369,0.07072927267569518,0.6178073597041752,0.07695877082138249,0.9276196241378785,0.2861101261246215,0.3307744741439819,0.25794015783545876
RidgeClassifier,0.6425837320574164,0.040727669450806456,0.6453830709171797,0.03872000770509793,0.5842654490730441,0.04376450357571041,0.691581908945851,0.04048850973742472,0.530379915265911,0.0592827123316773,0.6550836513339483,0.04753106037256382,0.07823503017425537,0.0028842178501379883,0.01347808837890625,0.0016039444826549947
